vehicle_id,vin,model,model_year,fuel_type,region,manufacturing_date,fault_count,avg_temperature,latest_odometer,maintenance_count,risk_score,risk_category,primary_risk_factor
BMW001,WBA000000000001,i7,2019,EV,Chennai,2020-12-17,24,85.73,235135,6,74.55,MEDIUM,High Mileage
BMW002,WBA000000000002,X1,2021,Diesel,Hyderabad,2022-06-15,13,81.13,208106,10,64.05,MEDIUM,Frequent Maintenance
BMW003,WBA000000000003,X5,2023,Petrol,Hyderabad,2024-12-20,27,83.29,248791,5,77.11,HIGH,Frequent Faults
BMW004,WBA000000000004,i7,2020,EV,Chennai,2020-05-27,20,82.67,226328,10,75.59,HIGH,Frequent Maintenance
BMW005,WBA000000000005,X3,2022,Petrol,Delhi,2020-09-02,26,74.17,232382,6,75.13,HIGH,Frequent Faults
BMW006,WBA000000000006,X1,2019,Petrol,Chennai,2024-08-15,29,78.35,244696,2,72.96,MEDIUM,Frequent Faults
BMW007,WBA000000000007,i7,2025,Diesel,Bangalore,2019-11-17,22,80.86,249464,6,71.15,MEDIUM,High Mileage
BMW008,WBA000000000008,X3,2020,Petrol,Chennai,2021-01-02,23,81.54,235659,7,74.23,MEDIUM,High Mileage
BMW009,WBA000000000009,iX,2025,Diesel,Chennai,2020-07-26,22,86.48,244258,6,72.07,MEDIUM,High Mileage
BMW010,WBA000000000010,X5,2021,Diesel,Bangalore,2019-12-23,23,77.96,240514,4,67.71,MEDIUM,High Mileage
BMW011,WBA000000000011,X1,2021,Petrol,Delhi,2024-01-19,21,77.74,236825,1,58.52,MEDIUM,High Mileage
BMW012,WBA000000000012,X1,2022,EV,Mumbai,2024-07-21,20,77.75,244572,4,63.33,MEDIUM,High Mileage
BMW013,WBA000000000013,i7,2022,Diesel,Mumbai,2021-04-15,24,76.64,249815,4,69.32,MEDIUM,High Mileage
BMW014,WBA000000000014,X3,2020,Petrol,Mumbai,2022-05-22,14,84.83,240520,3,53.59,MEDIUM,High Mileage
BMW015,WBA000000000015,X3,2023,Petrol,Mumbai,2024-02-22,15,79.48,227216,7,61.48,MEDIUM,High Mileage
BMW016,WBA000000000016,X1,2022,EV,Delhi,2020-10-03,22,78.15,245859,4,66.46,MEDIUM,High Mileage
BMW017,WBA000000000017,X3,2022,Petrol,Bangalore,2021-11-28,22,80.32,245656,5,68.89,MEDIUM,High Mileage
