vehicle_id,vin,model,model_year,fuel_type,region,manufacturing_date,fault_count,avg_temperature,latest_odometer,maintenance_count,risk_score,risk_category,primary_risk_factor
BMW109,WBA000000000109,i4,2021,Diesel,Mumbai,2023-04-16,33,81.44,246955,10,95.67,HIGH,Frequent Faults
BMW120,WBA000000000120,X1,2021,EV,Chennai,2020-03-03,31,81.83,244156,10,92.63,HIGH,Frequent Faults
BMW095,WBA000000000095,i7,2025,EV,Hyderabad,2023-08-09,36,77.98,245435,4,87.41,HIGH,Frequent Faults
BMW040,WBA000000000040,X3,2024,Petrol,Bangalore,2020-01-28,29,77.09,244268,9,86.69,HIGH,Frequent Faults
BMW181,WBA000000000181,X5,2021,EV,Bangalore,2021-12-07,30,79.76,244348,7,84.73,HIGH,Frequent Faults
BMW059,WBA000000000059,X1,2019,EV,Chennai,2023-03-05,27,81.5,237297,9,84.29,HIGH,Frequent Faults
BMW101,WBA000000000101,X5,2024,EV,Mumbai,2020-11-20,28,79.21,249145,8,83.81,HIGH,Frequent Faults
BMW113,WBA000000000113,i7,2022,Petrol,Mumbai,2024-07-08,31,81.28,245967,5,82.59,HIGH,Frequent Faults
BMW157,WBA000000000157,i7,2023,Diesel,Delhi,2022-11-18,20,83.43,248790,12,80.64,HIGH,Frequent Maintenance
BMW096,WBA000000000096,i7,2023,EV,Mumbai,2022-06-10,28,83.41,240737,6,80.31,HIGH,Frequent Faults
