service_id,vehicle_id,dealer_id,service_date,service_type,odometer,parts_cost,labour_cost,failure_code
SER00001,BMW004,D009,2025-01-31,Wheel Alignment,189038,22639,2135,F003
SER00002,BMW156,D001,2024-05-13,General Service,35389,31896,6355,F002
SER00003,BMW091,D013,2026-02-12,General Service,104366,32806,8932,F002
SER00004,BMW154,D016,2026-07-29,General Service,154953,27089,1287,F002
SER00005,BMW016,D007,2025-05-22,Battery Check,65398,38473,5628,F001
SER00006,BMW129,D017,2026-01-28,Motor Inspection,56891,38075,7481,F003
SER00007,BMW024,D013,2026-03-15,General Service,116395,32594,8454,F005
SER00008,BMW043,D016,2025-02-03,Battery Check,113657,20129,6933,F001
SER00009,BMW066,D002,2025-12-13,General Service,215201,47604,7412,F002
SER00010,BMW026,D002,2024-02-01,Battery Check,157508,7404,8346,F002
SER00011,BMW127,D016,2025-10-15,Wheel Alignment,211195,14930,790,F002
SER00012,BMW142,D004,2026-04-28,Battery Check,199315,22049,9901,F001
SER00013,BMW024,D001,2025-04-23,Motor Inspection,204591,16955,1221,F001
SER00014,BMW129,D005,2026-04-03,Brake Service,162245,3231,2011,F004
SER00015,BMW173,D001,2025-06-15,Battery Check,194349,39333,4534,F004
SER00016,BMW023,D015,2025-06-11,Wheel Alignment,64728,32365,8681,
SER00017,BMW045,D006,2026-07-05,Brake Service,10767,27481,8350,F002
SER00018,BMW050,D008,2024-01-13,Battery Check,137086,23648,6552,F004
SER00019,BMW097,D004,2025-05-30,Motor Inspection,180376,12437,2109,
SER00020,BMW154,D009,2025-05-24,Brake Service,198249,27589,8956,F004
SER00021,BMW198,D017,2024-04-04,Battery Check,11745,10907,4460,
SER00022,BMW076,D017,2025-04-17,Motor Inspection,152148,2265,4565,F004
SER00023,BMW114,D019,2024-11-25,Wheel Alignment,209648,4585,1810,F005
SER00024,BMW186,D008,2024-08-08,Motor Inspection,95290,49436,710,F003
SER00025,BMW089,D016,2025-08-20,Wheel Alignment,130926,49711,656,F002
SER00026,BMW119,D001,2026-08-12,Wheel Alignment,228437,24682,9294,F002
SER00027,BMW145,D010,2026-03-07,General Service,30530,26360,5859,F001
SER00028,BMW091,D012,2025-11-08,Wheel Alignment,174359,23028,3666,F004
SER00029,BMW191,D002,2025-09-21,Battery Check,159249,46648,9001,
SER00030,BMW023,D013,2025-06-26,Motor Inspection,48758,3996,2559,F002
SER00031,BMW044,D015,2024-10-01,Wheel Alignment,209941,3001,9897,F005
SER00032,BMW005,D008,2026-09-04,Wheel Alignment,173366,4125,998,F003
SER00033,BMW004,D011,2026-04-23,Battery Check,42396,32382,5554,F002
SER00034,BMW198,D020,2025-12-08,Motor Inspection,209425,15178,3832,F002
SER00035,BMW164,D003,2026-07-04,Brake Service,156051,1477,6207,F002
SER00036,BMW194,D003,2025-01-21,Wheel Alignment,114303,49390,6645,F004
SER00037,BMW018,D007,2024-11-28,Motor Inspection,184699,17345,6577,F003
SER00038,BMW149,D014,2025-11-07,General Service,108821,42075,4101,F001
SER00039,BMW106,D001,2025-01-09,Wheel Alignment,186296,6961,4696,F003
SER00040,BMW027,D011,2025-03-22,Motor Inspection,192761,31567,7897,F003
SER00041,BMW120,D012,2025-06-01,Motor Inspection,71272,18182,5973,F001
SER00042,BMW135,D012,2024-10-11,Battery Check,188971,11600,5119,
SER00043,BMW175,D005,2026-05-11,General Service,153449,5170,2366,F002
SER00044,BMW027,D001,2025-07-13,General Service,162412,42105,4456,F002
SER00045,BMW109,D012,2024-08-22,Wheel Alignment,234334,23719,9713,F004
SER00046,BMW049,D016,2024-03-09,General Service,53817,44601,8356,F002
SER00047,BMW069,D007,2024-12-17,Brake Service,104931,17406,1425,F002
SER00048,BMW002,D003,2026-05-22,Wheel Alignment,77404,26237,1377,F004
SER00049,BMW036,D013,2026-06-17,Motor Inspection,150053,16735,4119,F002
SER00050,BMW056,D015,2025-08-09,Wheel Alignment,93813,42716,8467,F003
SER00051,BMW019,D017,2026-04-08,Motor Inspection,47867,3546,1970,F002
SER00052,BMW186,D009,2025-03-03,Wheel Alignment,112419,28501,3265,
SER00053,BMW156,D015,2024-02-07,Motor Inspection,40762,21493,3563,F001
SER00054,BMW185,D012,2025-11-06,Battery Check,155223,14868,3086,F001
SER00055,BMW113,D001,2024-03-06,Motor Inspection,248692,32544,6195,F005
SER00056,BMW037,D004,2024-10-28,Brake Service,76948,11376,3750,F004
SER00057,BMW096,D004,2025-11-03,Wheel Alignment,11369,16627,7811,F003
SER00058,BMW105,D010,2025-02-12,Battery Check,180426,25746,5481,F001
SER00059,BMW005,D008,2025-11-25,Brake Service,98797,16485,8268,F001
SER00060,BMW023,D020,2025-03-25,Battery Check,78575,48977,3111,F004
SER00061,BMW001,D008,2024-12-03,Brake Service,146719,3290,4781,F002
SER00062,BMW109,D010,2024-12-08,Motor Inspection,41609,5475,9034,F001
SER00063,BMW169,D013,2025-12-15,Wheel Alignment,78840,7307,8380,F001
SER00064,BMW157,D001,2025-08-01,Wheel Alignment,44010,2782,6781,F001
SER00065,BMW040,D012,2025-08-10,Wheel Alignment,17803,33145,9026,F003
SER00066,BMW052,D020,2024-05-12,Battery Check,183095,47561,8407,F004
SER00067,BMW157,D007,2025-09-03,Motor Inspection,245883,26243,4716,F004
SER00068,BMW094,D004,2026-08-17,Brake Service,17666,11001,5547,F004
SER00069,BMW042,D005,2025-05-11,Brake Service,103848,14659,532,F002
SER00070,BMW036,D015,2025-10-08,Battery Check,12410,48433,2102,F004
SER00071,BMW117,D009,2025-09-28,General Service,32277,41818,3737,F005
SER00072,BMW127,D005,2025-01-07,Motor Inspection,45472,39942,1412,F003
SER00073,BMW146,D003,2024-10-09,Wheel Alignment,84358,28691,3495,
