vehicle_id,vin,model,model_year,fuel_type,region,manufacturing_date
BMW001,WBA000000000001,i7,2019,EV,Chennai,2020-12-17
BMW002,WBA000000000002,X1,2021,Diesel,Hyderabad,2022-06-15
BMW003,WBA000000000003,X5,2023,Petrol,Hyderabad,2024-12-20
BMW004,WBA000000000004,i7,2020,EV,Chennai,2020-05-27
BMW005,WBA000000000005,X3,2022,Petrol,Delhi,2020-09-02
BMW006,WBA000000000006,X1,2019,Petrol,Chennai,2024-08-15
BMW007,WBA000000000007,i7,2025,Diesel,Bangalore,2019-11-17
BMW008,WBA000000000008,X3,2020,Petrol,Chennai,2021-01-02
BMW009,WBA000000000009,iX,2025,Diesel,Chennai,2020-07-26
BMW010,WBA000000000010,X5,2021,Diesel,Bangalore,2019-12-23
BMW011,WBA000000000011,X1,2021,Petrol,Delhi,2024-01-19
BMW012,WBA000000000012,X1,2022,EV,Mumbai,2024-07-21
BMW013,WBA000000000013,i7,2022,Diesel,Mumbai,2021-04-15
BMW014,WBA000000000014,X3,2020,Petrol,Mumbai,2022-05-22
BMW015,WBA000000000015,X3,2023,Petrol,Mumbai,2024-02-22
BMW016,WBA000000000016,X1,2022,EV,Delhi,2020-10-03
BMW017,WBA000000000017,X3,2022,Petrol,Bangalore,2021-11-28
BMW018,WBA000000000018,iX,2021,Petrol,Bangalore,2025-04-14
BMW019,WBA000000000019,X3,2022,EV,Mumbai,2020-04-07
BMW020,WBA000000000020,iX,2025,Petrol,Delhi,2023-12-11
BMW021,WBA000000000021,i4,2020,EV,Delhi,2023-02-26
BMW022,WBA000000000022,i4,2021,EV,Chennai,2020-11-05
BMW023,WBA000000000023,X1,2023,EV,Hyderabad,2023-08-08
BMW024,WBA000000000024,X3,2020,EV,Mumbai,2023-03-18
BMW025,WBA000000000025,X3,2021,Diesel,Delhi,2023-11-21
BMW026,WBA000000000026,X1,2022,Petrol,Delhi,2021-05-06
BMW027,WBA000000000027,X5,2025,Petrol,Hyderabad,2024-03-26
BMW028,WBA000000000028,i7,2025,EV,Hyderabad,2021-07-13
BMW029,WBA000000000029,X5,2022,Diesel,Mumbai,2020-10-15
BMW030,WBA000000000030,iX,2021,Petrol,Bangalore,2020-01-28
BMW031,WBA000000000031,i7,2022,Diesel,Hyderabad,2021-09-19
