event_id,vehicle_id,timestamp,speed,battery_level,temperature,odometer,fault_code
EVT00001,BMW119,2026-03-26 13:08:27.752588,86,74,70,128194,F004
EVT00002,BMW046,2026-04-12 00:08:27.752611,72,81,93,243250,F004
EVT00003,BMW080,2026-05-19 04:08:27.752623,125,25,65,80638,F002
EVT00004,BMW035,2026-04-25 20:08:27.752633,18,62,59,127092,F004
EVT00005,BMW141,2026-08-25 02:08:27.752642,64,44,78,134905,F004
EVT00006,BMW137,2026-07-06 14:08:27.752651,85,91,72,210548,F001
EVT00007,BMW053,2026-03-07 20:08:27.752660,0,91,56,162822,F003
EVT00008,BMW093,2026-06-15 21:08:27.752669,169,30,97,88812,
EVT00009,BMW054,2026-08-02 05:08:27.752678,109,19,87,38346,F003
EVT00010,BMW164,2026-09-14 14:08:27.752687,65,93,79,92178,
EVT00011,BMW095,2026-04-28 18:08:27.752696,47,38,54,118319,F001
EVT00012,BMW180,2026-04-19 17:08:27.752704,42,89,65,55155,F003
EVT00013,BMW165,2026-08-11 01:08:27.752713,134,87,55,121514,F005
EVT00014,BMW106,2026-06-26 01:08:27.752722,18,84,101,210401,
EVT00015,BMW130,2026-06-26 23:08:27.752731,92,16,72,47729,F001
EVT00016,BMW159,2026-05-12 04:08:27.752739,61,27,78,195641,
EVT00017,BMW119,2026-07-05 15:08:27.752748,110,24,51,163195,F001
EVT00018,BMW172,2026-04-11 19:08:27.752757,15,20,95,140868,F002
EVT00019,BMW161,2026-04-30 07:08:27.752765,24,65,92,133481,F002
EVT00020,BMW195,2026-04-07 02:08:27.752774,89,74,105,22818,
EVT00021,BMW017,2026-07-27 06:08:27.752783,153,23,105,113866,
EVT00022,BMW121,2026-06-27 08:08:27.752791,8,15,93,238496,
EVT00023,BMW114,2026-03-25 18:08:27.752800,124,35,52,106200,F003
EVT00024,BMW057,2026-06-22 20:08:27.752809,25,99,74,140586,F002
EVT00025,BMW045,2026-09-02 10:08:27.752818,170,65,105,179748,F002
EVT00026,BMW084,2026-03-28 04:08:27.752841,31,58,102,199091,F002
EVT00027,BMW110,2026-09-07 17:08:27.752850,89,10,75,40088,
EVT00028,BMW092,2026-03-12 02:08:27.752859,19,35,87,241927,F002
EVT00029,BMW135,2026-07-19 16:08:27.752868,180,39,86,74054,F004
EVT00030,BMW082,2026-04-01 03:08:27.752877,113,37,54,225978,F003
EVT00031,BMW167,2026-06-13 20:08:27.752886,16,79,104,203119,F004
EVT00032,BMW145,2026-08-27 18:08:27.752895,53,72,85,200298,
EVT00033,BMW163,2026-05-07 19:08:27.752903,48,63,92,106363,F003
EVT00034,BMW189,2026-03-13 20:08:27.752912,42,85,107,24670,F005
EVT00035,BMW095,2026-05-21 04:08:27.752921,120,15,68,188192,F005
EVT00036,BMW093,2026-05-09 09:08:27.752929,105,71,67,38395,F005
EVT00037,BMW163,2026-03-09 08:08:27.752938,31,95,69,230528,
EVT00038,BMW182,2026-09-01 08:08:27.752947,37,67,109,21613,F004
EVT00039,BMW101,2026-09-04 17:08:27.752955,49,99,100,92859,F002
EVT00040,BMW104,2026-05-14 02:08:27.752964,35,99,83,111142,F005
EVT00041,BMW084,2026-05-21 00:08:27.752973,56,66,103,79398,F004
EVT00042,BMW141,2026-07-03 07:08:27.752982,84,57,62,198255,F001
EVT00043,BMW063,2026-03-16 19:08:27.752990,37,98,98,198884,
EVT00044,BMW146,2026-05-31 21:08:27.752999,58,32,91,202037,F001
EVT00045,BMW167,2026-03-04 03:08:27.753008,93,48,81,144397,F002
EVT00046,BMW087,2026-07-24 09:08:27.753017,144,32,109,119801,F005
EVT00047,BMW180,2026-07-01 03:08:27.753025,169,38,103,138008,F003
EVT00048,BMW095,2026-05-17 17:08:27.753034,180,63,101,174478,F001
EVT00049,BMW193,2026-05-06 09:08:27.753053,169,60,56,21434,F005
EVT00050,BMW048,2026-05-31 05:08:27.753062,42,19,60,171318,F001
EVT00051,BMW094,2026-04-25 04:08:27.753071,175,87,75,40051,F001
EVT00052,BMW046,2026-02-21 18:08:27.753080,79,31,97,14891,F002
EVT00053,BMW055,2026-09-06 08:08:27.753088,71,49,83,195897,F003
EVT00054,BMW017,2026-07-14 15:08:27.753098,15,15,87,206596,F005
EVT00055,BMW179,2026-02-26 18:08:27.753107,19,25,73,133666,F001
EVT00056,BMW113,2026-07-28 02:08:27.753116,144,84,105,35953,F001
