Vehicle_ID,Session_Start,Session_End,Energy_Delivered_kWh,Initial_SoC_Percent,Final_SoC_Percent,Charging_Duration_Min,Charging_Power_kW,Charging_Type,Charging_Interruptions,Charger_Temperature_C,Environment_Temperature_C,Health_Category
BMW0001,2026-01-05 18:10:00,2026-01-05 19:11:00,39,31,85,61,31.1,AC,0,30.7,22.2,Healthy
BMW0002,2026-01-05 20:20:00,2026-01-05 21:22:00,40,32,86,62,32.2,AC,0,32.4,23.4,Healthy
BMW0003,2026-01-05 22:30:00,2026-01-05 23:33:00,41,33,87,63,33.2,DC_Fast,0,32.0,24.6,Healthy
BMW0004,2026-01-06 00:00:00,2026-01-06 01:04:00,42,34,88,64,34.2,AC,0,33.7,25.8,Healthy
BMW0005,2026-01-06 02:10:00,2026-01-06 03:15:00,43,35,89,65,35.3,AC,1,35.4,27.0,Healthy
BMW0006,2026-01-06 18:20:00,2026-01-06 19:26:00,44,36,90,66,36.1,DC_Fast,0,35.0,21.0,Healthy
BMW0007,2026-01-06 20:30:00,2026-01-06 21:37:00,45,37,91,67,37.1,AC,0,36.7,22.2,Healthy
BMW0008,2026-01-06 22:00:00,2026-01-06 23:08:00,46,38,92,68,38.2,AC,0,30.4,23.4,Healthy
BMW0009,2026-01-07 00:10:00,2026-01-07 01:19:00,47,39,93,69,39.2,DC_Fast,0,30.0,24.6,Healthy
BMW0010,2026-01-07 02:20:00,2026-01-07 03:30:00,48,40,94,70,40.2,AC,1,31.7,25.8,Healthy
BMW0011,2026-01-07 18:30:00,2026-01-07 19:41:00,49,41,95,71,41.3,AC,0,33.4,27.0,Healthy
BMW0012,2026-01-07 20:00:00,2026-01-07 21:12:00,50,42,84,72,30.1,DC_Fast,0,33.0,21.0,Healthy
BMW0013,2026-01-07 22:10:00,2026-01-07 23:23:00,51,43,85,73,31.1,AC,0,34.7,22.2,Healthy
BMW0014,2026-01-08 00:20:00,2026-01-08 01:34:00,52,44,86,74,32.2,AC,0,36.4,23.4,Healthy
BMW0015,2026-01-08 02:30:00,2026-01-08 03:45:00,53,45,87,75,33.2,DC_Fast,1,36.0,24.6,Healthy
BMW0016,2026-01-08 18:00:00,2026-01-08 19:16:00,54,46,88,76,34.2,AC,0,29.7,25.8,Healthy
BMW0017,2026-01-08 20:10:00,2026-01-08 21:27:00,38,47,89,77,35.3,AC,0,31.4,27.0,Healthy
BMW0018,2026-01-08 22:20:00,2026-01-08 23:38:00,39,48,90,78,36.1,DC_Fast,0,31.0,21.0,Healthy
BMW0019,2026-01-09 00:30:00,2026-01-09 01:49:00,40,49,91,79,37.1,AC,0,32.7,22.2,Healthy
BMW0020,2026-01-09 02:00:00,2026-01-09 03:20:00,41,30,92,80,38.2,AC,1,34.4,23.4,Healthy
BMW0021,2026-01-09 18:10:00,2026-01-09 19:31:00,42,31,93,81,39.2,DC_Fast,0,34.0,24.6,Healthy
BMW0022,2026-01-09 20:20:00,2026-01-09 21:42:00,43,32,94,82,40.2,AC,0,35.7,25.8,Healthy
BMW0023,2026-01-09 22:30:00,2026-01-09 23:53:00,44,33,95,83,41.3,AC,0,37.4,27.0,Healthy
BMW0024,2026-01-10 00:00:00,2026-01-10 01:24:00,45,34,84,84,30.1,DC_Fast,0,29.0,21.0,Healthy
BMW0025,2026-01-10 02:10:00,2026-01-10 03:35:00,46,35,85,85,31.1,AC,1,30.7,22.2,Healthy
BMW0026,2026-01-10 18:20:00,2026-01-10 19:46:00,47,36,86,86,32.2,AC,0,32.4,23.4,Healthy
