Vehicle_ID,Timestamp,SoC_Percent,SoH_Percent,Battery_Voltage_V,Battery_Current_A,Battery_Temperature_C,Charging_Power_kW,Vehicle_Speed_kmh,Odometer_km,Health_Category
BMW0001,2026-01-05 08:15:00,52,93.7,372.9,19.8,24.7,0,31,12450,Healthy
BMW0002,2026-01-05 10:30:00,69,95.4,375.8,27.6,28.4,0,42,18620,Healthy
BMW0003,2026-01-05 12:00:00,86,95.6,376.6,35.4,32.1,0,53,9320,Healthy
BMW0004,2026-01-05 14:15:00,48,97.3,379.5,40.0,21.0,0,64,24180,Healthy
BMW0005,2026-01-05 16:30:00,65,98.0,376.4,13.8,24.7,0,75,15890,Healthy
BMW0006,2026-01-06 08:00:00,82,92.0,377.2,21.6,28.4,0,26,21340,Healthy
BMW0007,2026-01-06 10:15:00,44,93.7,380.1,29.4,32.1,0,37,7650,Healthy
BMW0008,2026-01-06 12:30:00,61,95.4,383.0,34.0,21.0,0,48,28740,Healthy
BMW0009,2026-01-06 14:00:00,78,95.6,383.8,41.8,24.7,0,59,11320,Healthy
BMW0010,2026-01-06 16:15:00,40,97.3,380.7,15.6,28.4,0,70,19870,Healthy
BMW0011,2026-01-07 08:30:00,57,98.0,383.6,23.4,32.1,0,21,10230,Healthy
BMW0012,2026-01-07 10:00:00,74,92.0,384.4,28.0,21.0,0,32,17650,Healthy
BMW0013,2026-01-07 12:15:00,36,93.7,387.3,35.8,24.7,0,43,8450,Healthy
BMW0014,2026-01-07 14:30:00,53,95.4,390.2,43.6,28.4,0,54,26840,Healthy
BMW0015,2026-01-07 16:00:00,70,95.6,385.0,17.4,32.1,0,65,14920,Healthy
BMW0016,2026-01-08 08:15:00,87,97.3,387.9,22.0,21.0,0,76,22180,Healthy
BMW0017,2026-01-08 10:30:00,49,98.0,390.8,29.8,24.7,0,27,6820,Healthy
BMW0018,2026-01-08 12:00:00,66,92.0,373.6,37.6,28.4,0,38,29560,Healthy
BMW0019,2026-01-08 14:15:00,83,93.7,376.5,45.4,32.1,0,49,12540,Healthy
BMW0020,2026-01-08 16:30:00,45,95.4,373.4,16.0,21.0,0,60,20780,Healthy
BMW0021,2026-01-09 08:00:00,62,95.6,374.2,23.8,24.7,0,71,11980,Healthy
BMW0022,2026-01-09 10:15:00,79,97.3,377.1,31.6,28.4,0,22,18340,Healthy
BMW0023,2026-01-09 12:30:00,41,98.0,380.0,39.4,32.1,0,33,9140,Healthy
BMW0024,2026-01-09 14:00:00,58,92.0,380.8,44.0,21.0,0,44,25320,Healthy
BMW0025,2026-01-09 16:15:00,75,93.7,377.7,17.8,24.7,0,55,16480,Healthy
BMW0026,2026-01-10 08:30:00,37,95.4,380.6,25.6,28.4,0,66,21860,Healthy
BMW0027,2026-01-10 10:00:00,54,95.6,381.4,33.4,32.1,0,77,7980,Healthy
BMW0028,2026-01-10 12:15:00,71,97.3,384.3,38.0,21.0,0,28,28120,Healthy
BMW0029,2026-01-10 14:30:00,88,98.0,387.2,45.8,24.7,0,39,13560,Healthy
BMW0030,2026-01-10 16:00:00,50,92.0,382.0,19.6,28.4,0,50,19430,Healthy
BMW0031,2026-01-11 08:15:00,67,93.7,384.9,27.4,32.1,0,61,10890,Healthy
