model,region,sale_month,monthly_revenue,monthly_units
2 SERIES,Africa,2024-01-01,336992.32,8
2 SERIES,Africa,2024-02-01,650927.46,15
2 SERIES,Africa,2024-03-01,2088912.75,50
2 SERIES,Africa,2024-04-01,564662.5800000001,14
2 SERIES,Africa,2024-05-01,966659.7,23
2 SERIES,Africa,2024-06-01,1404175.6,34
2 SERIES,Africa,2024-07-01,2999742.1799999997,71
2 SERIES,Africa,2024-08-01,638982.4,15
2 SERIES,Africa,2024-09-01,746804.3400000001,18
2 SERIES,Africa,2024-11-01,714941.26,17
2 SERIES,Africa,2024-12-01,332956.4,8
2 SERIES,Africa,2025-01-01,538370.67,13
2 SERIES,Africa,2025-02-01,1659328.81,40
2 SERIES,Africa,2025-04-01,913701.9800000001,22
2 SERIES,Africa,2025-06-01,1569441.92,37
2 SERIES,Africa,2025-07-01,736068.6699999999,18
2 SERIES,Africa,2025-08-01,465929.58,11
2 SERIES,Africa,2025-09-01,1649005.92,39
2 SERIES,Africa,2025-10-01,211384.0,5
2 SERIES,Africa,2025-11-01,892221.96,21
2 SERIES,Africa,2025-12-01,1548276.99,37
2 SERIES,Africa,2026-01-01,806182.56,18
2 SERIES,Africa,2026-02-01,583978.5599999999,14
2 SERIES,Africa,2026-03-01,1013944.43,24
2 SERIES,Africa,2026-05-01,658845.49,16
2 SERIES,Africa,2026-06-01,2382111.44,57
2 SERIES,Africa,2026-07-01,322446.08,8
2 SERIES,Africa,2026-08-01,1680917.24,40
2 SERIES,Africa,2026-09-01,2208963.67,53
2 SERIES,Africa,2026-10-01,760249.66,18
2 SERIES,Africa,2026-11-01,1037746.24,24
2 SERIES,Africa,2026-12-01,1822643.82,42
2 SERIES,Asia,2024-01-01,7169352.75,171
2 SERIES,Asia,2024-02-01,8239084.25,195
2 SERIES,Asia,2024-03-01,14664222.3,346
2 SERIES,Asia,2024-04-01,11809719.59,283
2 SERIES,Asia,2024-05-01,11043322.69,266
2 SERIES,Asia,2024-06-01,5296037.390000001,125
2 SERIES,Asia,2024-07-01,9050805.49,217
2 SERIES,Asia,2024-08-01,6912642.07,163
2 SERIES,Asia,2024-09-01,5519016.46,132
2 SERIES,Asia,2024-10-01,5945974.81,143
2 SERIES,Asia,2024-11-01,6137184.57,146
2 SERIES,Asia,2024-12-01,6798167.87,160
2 SERIES,Asia,2025-01-01,9543503.65,231
2 SERIES,Asia,2025-02-01,9110924.16,217
2 SERIES,Asia,2025-03-01,10576374.94,255
2 SERIES,Asia,2025-04-01,5769263.8100000005,137
2 SERIES,Asia,2025-05-01,6129395.25,146
2 SERIES,Asia,2025-06-01,7022055.45,168
2 SERIES,Asia,2025-07-01,12081996.17,289
2 SERIES,Asia,2025-08-01,4262007.42,100
2 SERIES,Asia,2025-09-01,10608886.45,253
2 SERIES,Asia,2025-10-01,9054726.12,218
2 SERIES,Asia,2025-11-01,9954846.77,234
2 SERIES,Asia,2025-12-01,7450738.21,176
2 SERIES,Asia,2026-01-01,7376058.449999999,176
2 SERIES,Asia,2026-02-01,6547049.59,157
2 SERIES,Asia,2026-03-01,13161832.89,318
2 SERIES,Asia,2026-04-01,17796674.84,424
2 SERIES,Asia,2026-05-01,9606294.92,229
2 SERIES,Asia,2026-06-01,12660837.02,298
2 SERIES,Asia,2026-07-01,14993594.57,353
2 SERIES,Asia,2026-08-01,7876640.98,185
2 SERIES,Asia,2026-09-01,11155733.93,265
2 SERIES,Asia,2026-10-01,8404256.59,198
2 SERIES,Asia,2026-11-01,4609084.26,111
2 SERIES,Asia,2026-12-01,9874091.33,236
2 SERIES,Europe,2024-01-01,3996315.88,95
2 SERIES,Europe,2024-02-01,7413571.03,179
2 SERIES,Europe,2024-03-01,9978654.97,237
2 SERIES,Europe,2024-04-01,12682016.09,304
2 SERIES,Europe,2024-05-01,9383889.14,222
2 SERIES,Europe,2024-06-01,8137923.28,194
2 SERIES,Europe,2024-07-01,4110231.21,98
2 SERIES,Europe,2024-08-01,7013873.01,165
2 SERIES,Europe,2024-09-01,6520229.09,153
2 SERIES,Europe,2024-10-01,4723595.2,113
2 SERIES,Europe,2024-11-01,5944058.11,140
2 SERIES,Europe,2024-12-01,6656827.28,161
2 SERIES,Europe,2025-01-01,3092300.63,74
2 SERIES,Europe,2025-02-01,4762691.79,114
2 SERIES,Europe,2025-03-01,6211344.95,147
2 SERIES,Europe,2025-04-01,5777813.0600000005,137
2 SERIES,Europe,2025-05-01,7318518.76,173
2 SERIES,Europe,2025-06-01,8436346.3,200
2 SERIES,Europe,2025-07-01,7894462.43,189
2 SERIES,Europe,2025-08-01,3488656.48,83
2 SERIES,Europe,2025-09-01,4031014.0300000003,98
2 SERIES,Europe,2025-10-01,6941918.17,167
2 SERIES,Europe,2025-11-01,4238928.3,101
2 SERIES,Europe,2025-12-01,8143130.4,193
2 SERIES,Europe,2026-01-01,8542454.93,206
2 SERIES,Europe,2026-02-01,5939037.33,141
2 SERIES,Europe,2026-03-01,7019640.96,166
2 SERIES,Europe,2026-04-01,7797887.87,184
2 SERIES,Europe,2026-05-01,7524111.85,182
2 SERIES,Europe,2026-06-01,7306304.4399999995,171
2 SERIES,Europe,2026-07-01,7925981.05,187
2 SERIES,Europe,2026-08-01,7444793.96,179
2 SERIES,Europe,2026-09-01,10213491.450000001,244
2 SERIES,Europe,2026-10-01,6883931.63,167
2 SERIES,Europe,2026-11-01,7260056.91,171
2 SERIES,Europe,2026-12-01,7620510.5,180
2 SERIES,Middle East,2024-01-01,4565290.73,110
2 SERIES,Middle East,2024-02-01,2046278.44,48
2 SERIES,Middle East,2024-03-01,3286861.28,78
2 SERIES,Middle East,2024-04-01,3178562.26,76
2 SERIES,Middle East,2024-05-01,3059585.88,74
2 SERIES,Middle East,2024-06-01,1683460.25,40
2 SERIES,Middle East,2024-07-01,995086.4199999999,23
2 SERIES,Middle East,2024-08-01,562737.77,14
2 SERIES,Middle East,2024-09-01,2274195.82,55
2 SERIES,Middle East,2024-10-01,3517016.7800000003,83
2 SERIES,Middle East,2024-11-01,2296196.18,56
2 SERIES,Middle East,2024-12-01,2092795.15,51
2 SERIES,Middle East,2025-01-01,3815988.71,92
2 SERIES,Middle East,2025-02-01,3231021.81,76
2 SERIES,Middle East,2025-03-01,2435867.66,58
2 SERIES,Middle East,2025-04-01,4381146.7299999995,106
2 SERIES,Middle East,2025-05-01,1483044.28,35
2 SERIES,Middle East,2025-06-01,1846759.3299999998,45
2 SERIES,Middle East,2025-07-01,551876.26,13
2 SERIES,Middle East,2025-08-01,2746787.14,66
2 SERIES,Middle East,2025-09-01,1434574.95,33
