forecast_month,model,region,predicted_revenue,created_at
2027-01-01,2 SERIES,Africa,1.4105781e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,2 SERIES,Asia,1.0865451e+07,2026-09-22 06:23:46.748334+00:00
2027-01-01,2 SERIES,Europe,8.2786925e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,2 SERIES,Middle East,4.6218425e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,2 SERIES,North America,7.0423985e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,2 SERIES,Oceania,1.4044682e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,3 SERIES,Africa,1.6068094e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,3 SERIES,Asia,1.6057134e+07,2026-09-22 06:23:46.748334+00:00
2027-01-01,3 SERIES,Europe,1.2838359e+07,2026-09-22 06:23:46.748334+00:00
2027-01-01,3 SERIES,Middle East,4.7036655e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,3 SERIES,North America,1.027675e+07,2026-09-22 06:23:46.748334+00:00
2027-01-01,3 SERIES,Oceania,4.0968392e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,5 SERIES,Africa,1.5373971e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,5 SERIES,Asia,1.6900338e+07,2026-09-22 06:23:46.748334+00:00
2027-01-01,5 SERIES,Europe,1.0132314e+07,2026-09-22 06:23:46.748334+00:00
2027-01-01,5 SERIES,Middle East,4.8896265e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,5 SERIES,North America,7.235328e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,5 SERIES,Oceania,2.0109855e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,7 SERIES,Africa,1.38643e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,7 SERIES,Asia,3.6957398e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,7 SERIES,Europe,3.5330415e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,7 SERIES,Middle East,1.5866826e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,7 SERIES,North America,4.1038448e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,7 SERIES,Oceania,1.7585891e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,I4,Africa,1.7579754e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,I4,Asia,6.0392555e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,I4,Europe,7.2370665e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,I4,Middle East,3.461591e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,I4,North America,5.575541e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,I4,Oceania,1.4335089e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,IX,Africa,1.5196418e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,IX,Asia,6.960241e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,IX,Europe,4.948359e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,IX,Middle East,2.440313e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,IX,North America,6.329793e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,IX,Oceania,1.5406401e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,X1,Africa,2.063544e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,X1,Asia,1.8079532e+07,2026-09-22 06:23:46.748334+00:00
2027-01-01,X1,Europe,1.5157428e+07,2026-09-22 06:23:46.748334+00:00
2027-01-01,X1,Middle East,5.2955425e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,X1,North America,1.7178646e+07,2026-09-22 06:23:46.748334+00:00
2027-01-01,X1,Oceania,4.9166225e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,X3,Africa,1.9145142e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,X3,Asia,2.0474938e+07,2026-09-22 06:23:46.748334+00:00
2027-01-01,X3,Europe,2.0661586e+07,2026-09-22 06:23:46.748334+00:00
2027-01-01,X3,Middle East,6.0058005e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,X3,North America,1.4437305e+07,2026-09-22 06:23:46.748334+00:00
2027-01-01,X3,Oceania,4.462049e+06,2026-09-22 06:23:46.748334+00:00
2026-12-01,X5,Africa,1.3999314e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,X5,Asia,1.7394924e+07,2026-09-22 06:23:46.748334+00:00
2027-01-01,X5,Europe,8.139375e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,X5,Middle East,5.206705e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,X5,North America,1.0055232e+07,2026-09-22 06:23:46.748334+00:00
2027-01-01,X5,Oceania,3.3335558e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,X7,Africa,999537.56,2026-09-22 06:23:46.748334+00:00
2027-01-01,X7,Asia,2.903031e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,X7,Europe,1.5103716e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,X7,Middle East,1.7390354e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,X7,North America,1.8000321e+06,2026-09-22 06:23:46.748334+00:00
2027-01-01,X7,Oceania,1.2177475e+06,2026-09-22 06:23:46.748334+00:00
