sale_id,vehicle_id,dealer_id,customer_id,sale_date,model,region,price,quantity
S0015425,BMWV0002555,D0098,C004970,2024-01-01,5 Series,Europe,61053.7,9
S0004642,BMWV0001745,D0048,C002021,2024-01-01,X3,North America,56787.56,19
S0013066,BMWV0008274,D0058,C000838,2024-01-01,X3,Middle East,53111.47,18
S0000559,BMWV0010943,D0070,C004414,2024-01-01,X5,Oceania,78002.24,9
S0014725,BMWV0001506,D0072,C000217,2024-01-01,X7,Asia,118084.17,5
S0008305,BMWV0006871,D0088,C003124,2024-01-01,3 Series,Middle East,45665.71,15
S0002331,BMWV0009657,D0095,C001042,2024-01-01,X3,Africa,56391.42,6
S0000743,BMWV0007038,D0061,C000880,2024-01-01,X1,Middle East,45794.03,14
S0008389,BMWV0004982,D0028,C003569,2024-01-01,i4,Europe,60048.24,12
S0010411,BMWV0000689,D0026,C004513,2024-01-01,X1,Africa,43127.24,11
S0015147,BMWV0006368,D0056,C002752,2024-01-01,3 Series,Oceania,49767.22,7
S0002480,BMWV0001082,D0033,C002125,2024-01-01,iX,Middle East,86882.82,1
S0012063,BMWV0002702,D0037,C003726,2024-01-01,2 Series,Asia,39550.1,20
S0004899,BMWV0010936,D0090,C000681,2024-01-01,X7,Asia,115936.47,3
S0015141,BMWV0001059,D0065,C000625,2024-01-01,X5,Asia,80502.83,9
S0008550,BMWV0004199,D0061,C004849,2024-01-01,X5,Asia,79232.37,9
S0015981,BMWV0010274,D0021,C003094,2024-01-01,X5,Europe,73879.7,12
S0004765,BMWV0000289,D0050,C004141,2024-01-01,X1,Asia,46343.98,8
S0002691,BMWV0007872,D0041,C002796,2024-01-01,X1,North America,42851.82,16
S0015807,BMWV0011555,D0099,C003029,2024-01-01,3 Series,North America,44173.3,17
S0005741,BMWV0008081,D0036,C004170,2024-01-01,i4,Europe,60004.39,12
S0007250,BMWV0011840,D0078,C000854,2024-01-01,X3,Asia,54578.86,19
S0015905,BMWV0003807,D0025,C001836,2024-01-01,5 Series,Africa,62122.89,9
S0001459,BMWV0011879,D0058,C004468,2024-01-02,5 Series,Middle East,62082.13,15
S0005082,BMWV0001584,D0026,C001978,2024-01-02,X1,Asia,45805.91,20
S0000189,BMWV0002716,D0069,C001159,2024-01-02,X5,North America,75151.39,9
S0014181,BMWV0005956,D0037,C003101,2024-01-02,2 Series,North America,41327.42,9
S0001624,BMWV0005860,D0003,C001510,2024-01-02,5 Series,Europe,62704.97,11
S0010861,BMWV0007515,D0034,C001439,2024-01-02,X1,North America,45601.05,17
S0010138,BMWV0001385,D0095,C004917,2024-01-02,i4,North America,57662.92,10
S0001364,BMWV0007025,D0037,C004909,2024-01-02,3 Series,North America,47047.08,13
S0000146,BMWV0003536,D0074,C004015,2024-01-02,i4,North America,55901.08,4
S0015347,BMWV0008533,D0078,C004129,2024-01-02,3 Series,North America,48656.8,23
S0017202,BMWV0010194,D0034,C004315,2024-01-03,i4,Europe,57216.01,6
S0010349,BMWV0003296,D0044,C002369,2024-01-03,X3,Asia,56519.38,16
S0015074,BMWV0006867,D0018,C004616,2024-01-03,X1,Oceania,44164.93,13
S0004910,BMWV0005312,D0015,C002257,2024-01-03,3 Series,North America,48985.7,19
S0001178,BMWV0004512,D0061,C000110,2024-01-03,3 Series,Middle East,47880.59,11
S0009763,BMWV0008945,D0066,C003323,2024-01-03,X3,Asia,53319.32,9
S0015254,BMWV0008656,D0019,C000795,2024-01-03,3 Series,Middle East,49346.42,10
S0003502,BMWV0010194,D0097,C003523,2024-01-03,iX,Europe,92107.96,4
S0001138,BMWV0003566,D0057,C003064,2024-01-03,X3,Africa,52947.41,11
S0002927,BMWV0004154,D0025,C004373,2024-01-03,X7,Europe,109335.34,2
S0010307,BMWV0008827,D0037,C000454,2024-01-03,X3,North America,58238.97,19
S0007320,BMWV0008877,D0006,C002018,2024-01-03,5 Series,North America,57728.69,9
S0009438,BMWV0007673,D0094,C002518,2024-01-03,3 Series,Oceania,50448.66,14
S0017635,BMWV0001689,D0078,C000033,2024-01-04,3 Series,North America,50088.08,10
S0004312,BMWV0007433,D0058,C003082,2024-01-04,7 Series,North America,93124.71,2
S0014609,BMWV0004713,D0042,C002913,2024-01-04,5 Series,Asia,62161.73,8
S0016867,BMWV0011593,D0047,C003401,2024-01-04,2 Series,Europe,41873.86,13
S0012707,BMWV0008874,D0068,C001104,2024-01-04,3 Series,North America,48963.46,18
S0013269,BMWV0003631,D0023,C001807,2024-01-04,2 Series,North America,40712.2,13
S0008020,BMWV0004830,D0099,C000212,2024-01-04,X1,Europe,46761.51,15
S0017124,BMWV0001235,D0066,C001971,2024-01-04,X1,Africa,45268.71,11
S0005516,BMWV0007990,D0049,C000915,2024-01-04,X3,North America,56267.1,20
S0017206,BMWV0003444,D0015,C000216,2024-01-04,5 Series,Europe,64773.53,10
S0000990,BMWV0004364,D0039,C000684,2024-01-04,X3,Oceania,53577.12,15
S0010087,BMWV0008581,D0041,C004360,2024-01-04,5 Series,Middle East,61646.64,6
S0000723,BMWV0008637,D0027,C000480,2024-01-04,X1,North America,45269.94,13
S0017217,BMWV0005166,D0043,C003924,2024-01-05,X1,North America,42822.3,16
S0004011,BMWV0001852,D0062,C002927,2024-01-05,X5,Oceania,76616.29,5
S0017717,BMWV0009781,D0025,C002986,2024-01-05,X1,Middle East,46204.63,18
S0002912,BMWV0002205,D0095,C001028,2024-01-05,X3,Middle East,57665.95,14
S0008953,BMWV0008153,D0048,C001243,2024-01-05,5 Series,Europe,60760.84,10
S0016194,BMWV0006444,D0086,C004997,2024-01-05,2 Series,North America,43516.9,9
S0011033,BMWV0000466,D0081,C000190,2024-01-05,X5,Asia,86641.4,15
S0017195,BMWV0011081,D0023,C004744,2024-01-05,5 Series,Asia,57729.46,8
S0000308,BMWV0010682,D0028,C002400,2024-01-05,i4,Asia,60507.01,7
S0000773,BMWV0007049,D0089,C003478,2024-01-05,2 Series,Asia,42567.24,11
S0005425,BMWV0004772,D0005,C004806,2024-01-05,i4,Middle East,58634.15,5
S0011703,BMWV0000888,D0073,C003507,2024-01-05,7 Series,Oceania,94553.02,1
S0014732,BMWV0006325,D0044,C004656,2024-01-05,X1,Asia,47730.07,14
S0004141,BMWV0011132,D0048,C003423,2024-01-06,iX,North America,88044.56,5
S0000720,BMWV0004861,D0096,C004776,2024-01-06,X1,Europe,44013.45,21
S0004067,BMWV0002476,D0015,C004760,2024-01-06,X3,North America,55495.17,13
S0003830,BMWV0004395,D0051,C001714,2024-01-06,2 Series,Europe,45229.37,13
S0011013,BMWV0011436,D0055,C004854,2024-01-06,X1,Asia,47843.29,15
S0016268,BMWV0003827,D0082,C001724,2024-01-06,iX,North America,83773.86,1
S0010105,BMWV0005855,D0093,C000604,2024-01-06,7 Series,Africa,97917.55,2
S0011784,BMWV0006008,D0082,C001556,2024-01-06,X3,Oceania,55723.76,11
S0007644,BMWV0002097,D0088,C004938,2024-01-06,X3,Asia,57770.25,24
S0006008,BMWV0001191,D0015,C004105,2024-01-06,3 Series,North America,45964.43,14
S0007823,BMWV0011343,D0088,C003149,2024-01-07,X5,Asia,79439.54,9
S0009391,BMWV0001012,D0063,C004074,2024-01-07,X1,Europe,45293.39,11
S0012941,BMWV0007371,D0062,C002165,2024-01-07,5 Series,Africa,60512.96,3
S0004492,BMWV0006519,D0081,C003013,2024-01-07,X7,North America,118378.5,8
S0015528,BMWV0008216,D0029,C004599,2024-01-07,iX,Asia,87699.07,8
S0001389,BMWV0010596,D0018,C000645,2024-01-07,2 Series,North America,44071.09,8
S0016953,BMWV0008479,D0009,C002730,2024-01-07,X3,Europe,57507.79,13
S0000955,BMWV0011053,D0096,C000347,2024-01-07,X7,Asia,117121.55,7
S0001225,BMWV0008687,D0060,C000193,2024-01-07,X5,Middle East,78263.7,7
S0002546,BMWV0005950,D0072,C002627,2024-01-07,X3,Europe,50639.3,15
S0006052,BMWV0011038,D0080,C004232,2024-01-07,5 Series,Oceania,61070.98,9
S0015132,BMWV0004945,D0044,C000848,2024-01-07,5 Series,Europe,62084.17,11
S0013978,BMWV0001730,D0088,C002545,2024-01-07,X1,Middle East,43293.95,15
S0008121,BMWV0011325,D0072,C004401,2024-01-07,iX,Asia,85921.83,2
S0012705,BMWV0004497,D0058,C001123,2024-01-07,i4,Europe,55675.44,10
S0011644,BMWV0001288,D0064,C001156,2024-01-08,i4,Middle East,59493.41,8
S0011745,BMWV0004035,D0077,C001849,2024-01-08,X3,North America,55351.69,17
S0008470,BMWV0008739,D0022,C004631,2024-01-08,3 Series,North America,45788.67,12
S0004047,BMWV0008967,D0050,C000768,2024-01-08,X1,North America,44476.88,17
S0015379,BMWV0001351,D0048,C004045,2024-01-08,2 Series,North America,39921.5,15
S0016163,BMWV0001396,D0057,C001585,2024-01-08,2 Series,Africa,42124.04,8
S0010657,BMWV0007396,D0057,C000897,2024-01-08,5 Series,Middle East,61521.38,12
S0002240,BMWV0002751,D0005,C001358,2024-01-08,X7,North America,115838.88,4
S0010674,BMWV0009487,D0068,C003164,2024-01-08,7 Series,North America,100359.89,7
S0014161,BMWV0007495,D0085,C000091,2024-01-08,iX,Europe,86852.8,7
S0000656,BMWV0001642,D0010,C001087,2024-01-08,X1,Europe,44462.75,14
S0002960,BMWV0004403,D0077,C002799,2024-01-08,5 Series,Asia,61934.72,18
S0010226,BMWV0000680,D0037,C000104,2024-01-08,iX,Asia,83262.16,7
S0004435,BMWV0008824,D0024,C003065,2024-01-08,5 Series,Middle East,62227.23,8
S0008959,BMWV0005617,D0081,C003251,2024-01-08,iX,North America,88406.94,8
S0016317,BMWV0001025,D0035,C004945,2024-01-09,5 Series,Asia,64603.2,12
S0010372,BMWV0001319,D0005,C000845,2024-01-09,X1,Europe,46972.53,21
S0010949,BMWV0000751,D0039,C002320,2024-01-09,3 Series,Europe,46843.65,15
S0004634,BMWV0009503,D0010,C000111,2024-01-09,3 Series,Europe,49992.17,7
S0008046,BMWV0010773,D0056,C000288,2024-01-09,iX,North America,87462.59,11
S0011318,BMWV0003378,D0076,C000540,2024-01-09,5 Series,North America,58259.46,9
S0006111,BMWV0009329,D0014,C000947,2024-01-09,7 Series,Europe,96109.65,3
S0017417,BMWV0002013,D0094,C002504,2024-01-09,X5,Europe,77080.98,9
S0011165,BMWV0000928,D0071,C002187,2024-01-09,X3,Africa,56965.22,6
S0016636,BMWV0005536,D0058,C004768,2024-01-09,X5,Oceania,74855.41,8
S0012392,BMWV0000919,D0081,C002950,2024-01-09,iX,Middle East,88156.46,3
S0007444,BMWV0006246,D0084,C002528,2024-01-09,X3,Europe,54718.96,18
S0014667,BMWV0000745,D0100,C003627,2024-01-09,iX,Europe,88562.43,7
S0001381,BMWV0003417,D0056,C003056,2024-01-09,iX,Asia,91093.04,4
S0016703,BMWV0003473,D0029,C004282,2024-01-09,5 Series,Europe,63481.18,11
S0000195,BMWV0005819,D0049,C002314,2024-01-09,X1,Asia,45295.38,18
S0013361,BMWV0005254,D0029,C004977,2024-01-09,X1,Asia,42595.98,12
S0002984,BMWV0003948,D0010,C004150,2024-01-10,i4,Middle East,58555.61,6
S0010321,BMWV0008211,D0089,C000272,2024-01-10,X1,North America,45533.15,19
S0008689,BMWV0006259,D0033,C003406,2024-01-10,X5,Africa,79330.59,4
S0003095,BMWV0002417,D0005,C003673,2024-01-10,3 Series,North America,47068.71,16
S0000528,BMWV0000134,D0050,C001611,2024-01-10,iX,Asia,86678.6,8
S0001645,BMWV0007286,D0051,C000151,2024-01-10,X3,North America,61935.34,16
S0007419,BMWV0011279,D0047,C000439,2024-01-10,3 Series,Africa,48135.14,9
S0015950,BMWV0008219,D0087,C000793,2024-01-10,X5,Oceania,79353.64,6
S0000752,BMWV0001357,D0090,C003367,2024-01-10,5 Series,Europe,61245.56,8
S0005929,BMWV0008944,D0010,C000685,2024-01-10,X1,North America,46000.5,15
S0014857,BMWV0003584,D0094,C002477,2024-01-10,X1,North America,44567.39,12
S0012092,BMWV0007714,D0051,C004518,2024-01-10,i4,Asia,60215.57,11
S0012946,BMWV0011606,D0034,C000483,2024-01-10,2 Series,North America,42162.6,15
S0011792,BMWV0001356,D0061,C003121,2024-01-10,X5,Oceania,78083.24,4
S0017969,BMWV0001443,D0094,C003326,2024-01-10,iX,Europe,85315.99,7
S0006910,BMWV0008907,D0009,C001260,2024-01-11,X5,Asia,76078.61,9
S0015250,BMWV0011106,D0091,C001135,2024-01-11,X1,Europe,43737.23,17
S0001027,BMWV0010268,D0053,C001681,2024-01-11,X5,Europe,77012.76,6
S0014726,BMWV0009810,D0089,C004653,2024-01-11,iX,Asia,82726.36,3
S0009558,BMWV0007068,D0097,C002867,2024-01-11,X1,Middle East,42013.01,12
S0000830,BMWV0001715,D0010,C003237,2024-01-11,i4,Europe,55650.35,6
S0003762,BMWV0003486,D0019,C000280,2024-01-11,X3,North America,55639.76,20
S0005462,BMWV0003244,D0090,C002723,2024-01-11,i4,Middle East,58626.53,9
S0001348,BMWV0011618,D0023,C004009,2024-01-11,3 Series,Asia,48799.63,10
S0009827,BMWV0007640,D0030,C004787,2024-01-11,X1,Europe,46090.93,16
S0011594,BMWV0002675,D0058,C000064,2024-01-11,i4,North America,56160.03,11
S0001155,BMWV0008229,D0021,C002903,2024-01-11,X1,North America,42936.33,11
S0007508,BMWV0011993,D0084,C000746,2024-01-11,i4,North America,57486.74,16
S0008957,BMWV0006375,D0093,C003075,2024-01-11,X5,Europe,77883.01,5
S0001590,BMWV0000290,D0100,C003350,2024-01-12,5 Series,Africa,61065.72,7
S0007776,BMWV0001219,D0085,C002379,2024-01-12,X1,North America,44339.44,15
S0010114,BMWV0010750,D0037,C000856,2024-01-12,3 Series,North America,49356.84,11
S0004350,BMWV0007677,D0004,C004293,2024-01-12,X3,Europe,56444.1,7
S0001066,BMWV0007115,D0076,C000911,2024-01-12,X3,Asia,55876.75,20
S0004325,BMWV0007264,D0015,C004799,2024-01-12,X3,North America,55353.84,16
S0013151,BMWV0011379,D0081,C002889,2024-01-12,X1,Asia,47463.57,20
S0004226,BMWV0000629,D0027,C003106,2024-01-12,X3,Europe,57153.03,18
S0001767,BMWV0006685,D0038,C002789,2024-01-12,X5,Middle East,76923.65,8
S0013132,BMWV0003758,D0022,C004665,2024-01-12,5 Series,Europe,58881.89,11
S0017147,BMWV0001611,D0014,C000457,2024-01-12,X3,Europe,54152.29,12
S0009003,BMWV0002331,D0097,C000111,2024-01-12,X1,Asia,45847.37,16
S0008535,BMWV0000041,D0052,C003454,2024-01-12,3 Series,Asia,49947.48,17
S0004646,BMWV0008702,D0016,C001927,2024-01-12,X1,Europe,46696.8,18
S0016077,BMWV0008438,D0071,C000935,2024-01-12,7 Series,Asia,100319.69,6
S0011178,BMWV0011240,D0019,C003093,2024-01-12,X1,North America,43200.85,9
S0016767,BMWV0011913,D0020,C000264,2024-01-12,X3,Middle East,57224.94,12
S0007966,BMWV0001194,D0028,C001586,2024-01-12,2 Series,Middle East,41035.41,15
S0000381,BMWV0001754,D0077,C001122,2024-01-12,i4,Oceania,59703.88,5
S0007001,BMWV0007346,D0050,C001617,2024-01-12,X7,Middle East,118466.35,2
S0012017,BMWV0011643,D0022,C001011,2024-01-12,X3,North America,57485.46,16
S0002859,BMWV0004340,D0030,C004152,2024-01-12,X3,Europe,54275.22,10
S0015886,BMWV0002442,D0027,C002062,2024-01-13,5 Series,Oceania,61815.21,4
S0009845,BMWV0008346,D0048,C003033,2024-01-13,7 Series,Africa,94736.46,1
S0007445,BMWV0011510,D0035,C001296,2024-01-13,2 Series,Middle East,40184.05,11
S0010064,BMWV0006645,D0003,C001139,2024-01-13,3 Series,Europe,47505.34,9
S0003687,BMWV0005877,D0028,C003929,2024-01-13,X3,North America,57180.99,14
S0010298,BMWV0010039,D0026,C003035,2024-01-13,i4,North America,56582.16,13
S0011667,BMWV0002215,D0061,C004352,2024-01-13,2 Series,North America,40134.4,10
S0009289,BMWV0000750,D0036,C003503,2024-01-13,X1,Europe,47066.09,17
S0006377,BMWV0011796,D0026,C002072,2024-01-13,iX,Europe,85846.71,4
S0011388,BMWV0006626,D0097,C003936,2024-01-13,3 Series,North America,47423.92,20
S0004081,BMWV0003322,D0068,C000499,2024-01-13,3 Series,Asia,48135.15,17
S0004996,BMWV0000784,D0046,C001381,2024-01-13,X3,Asia,52544.25,15
S0003866,BMWV0004212,D0057,C004981,2024-01-13,iX,Oceania,94403.79,5
S0012576,BMWV0004351,D0033,C003355,2024-01-13,5 Series,Asia,64180.52,14
S0011137,BMWV0001911,D0084,C000801,2024-01-13,X3,Middle East,54969.85,11
