sale_date,model,region,country,units_sold,unit_price,revenue
2025-01-01,X5,Asia,China,14,79898.82,1118583.48
2025-01-02,X1,Middle East,UAE,11,44670.33,491373.63
2025-01-02,X7,Asia,South Korea,4,113070.37,452281.48
2025-01-03,X1,North America,Canada,14,46610.55,652547.7
2025-01-04,X5,Oceania,New Zealand,9,75026.07,675234.63
2025-01-05,X3,Europe,Germany,15,52497.7,787465.5
2025-01-05,X5,Asia,India,9,80831.44,727482.96
2025-01-06,2 Series,Asia,South Korea,8,42039.06,336312.48
2025-01-08,i4,Middle East,UAE,8,60585.62,484684.96
2025-01-08,X1,Asia,India,9,45618.84,410569.56
2025-01-09,X5,North America,USA,9,80269.99,722429.91
2025-01-10,2 Series,Middle East,Saudi Arabia,13,43239.76,562116.88
2025-01-10,7 Series,Asia,China,3,100523.52,301570.56
2025-01-11,X7,Asia,Japan,4,117095.02,468380.08
2025-01-11,i4,Asia,India,7,56014.03,392098.21
2025-01-12,iX,Africa,South Africa,3,87149.37,261448.11
2025-01-12,X1,Asia,India,19,43591.06,828230.14
2025-01-12,X3,Middle East,Saudi Arabia,16,55485.58,887769.28
2025-01-12,2 Series,Asia,China,14,40301.39,564219.46
2025-01-13,X1,North America,Mexico,15,44778.79,671681.85
2025-01-13,X5,Middle East,Qatar,6,74381.39,446288.34
2025-01-13,X1,North America,USA,15,44137.19,662057.85
2025-01-14,iX,Asia,South Korea,4,87496.68,349986.72
2025-01-17,X1,Africa,Morocco,13,43029.68,559385.84
2025-01-18,X1,Europe,Germany,17,44285.28,752849.76
2025-01-19,3 Series,Europe,Italy,16,47170.48,754727.68
2025-01-19,i4,North America,Mexico,5,57844.93,289224.65
2025-01-19,X1,Asia,India,15,44841.37,672620.55
2025-01-20,5 Series,Oceania,Australia,6,60702.86,364217.16
2025-01-20,X1,Europe,France,15,44930.35,673955.25
2025-01-21,i4,Europe,Italy,6,55220.65,331323.9
2025-01-21,X3,Middle East,UAE,14,52225.08,731151.12
2025-01-22,X3,Europe,Italy,17,54911.33,933492.61
2025-01-22,3 Series,Asia,China,11,51374.23,565116.53
2025-01-23,3 Series,Europe,Germany,10,48482.62,484826.2
2025-01-23,3 Series,North America,USA,14,45427.02,635978.28
2025-01-23,X3,Asia,China,17,56793.75,965493.75
2025-01-24,X5,Europe,Italy,12,79372.62,952471.44
2025-01-25,2 Series,Asia,Japan,11,44353.82,487892.02
2025-01-25,2 Series,Asia,India,14,42840.92,599772.88
2025-01-26,5 Series,North America,USA,9,62021.74,558195.66
2025-01-26,X7,North America,USA,4,120324.05,481296.2
2025-01-26,X1,Oceania,New Zealand,8,45092.9,360743.2
2025-01-26,X1,Europe,UK,18,45220.96,813977.28
2025-01-28,2 Series,Asia,India,14,43577.39,610083.46
2025-01-30,X3,Asia,South Korea,9,56315.79,506842.11
2025-01-30,7 Series,Europe,France,5,97065.57,485327.85
2025-01-31,X1,North America,Mexico,18,44351.91,798334.38
2025-01-31,X1,Middle East,Qatar,10,47238.05,472380.5
2025-01-31,7 Series,Asia,India,4,104405.78,417623.12
2025-02-01,X5,Middle East,Qatar,4,80057.43,320229.72
2025-02-01,3 Series,Asia,South Korea,25,45614.26,1140356.5
2025-02-01,i4,Africa,Egypt,2,56610.59,113221.18
