feedback_id,dealer_id,feedback_date,rating,feedback_category
F001,D001,2025-01-02,5,Sales Experience
F002,D002,2025-01-03,4,Service Quality
F003,D003,2025-01-04,5,Vehicle Delivery
F004,D004,2025-01-05,4,Sales Experience
F005,D005,2025-01-06,5,Service Quality
F006,D006,2025-01-07,4,Vehicle Delivery
F007,D007,2025-01-08,5,Sales Experience
F008,D008,2025-01-09,3,Service Quality
F009,D009,2025-01-10,5,Vehicle Delivery
F010,D010,2025-01-11,4,Sales Experience
F011,D001,2025-01-12,4,Service Quality
F012,D002,2025-01-13,5,Vehicle Delivery
F013,D003,2025-01-14,4,Sales Experience
F014,D004,2025-01-15,5,Service Quality
F015,D005,2025-01-16,4,Vehicle Delivery
F016,D006,2025-01-17,5,Sales Experience
F017,D007,2025-01-18,4,Service Quality
F018,D008,2025-01-19,5,Vehicle Delivery
F019,D009,2025-01-20,4,Sales Experience
F020,D010,2025-01-21,5,Service Quality
F021,D001,2025-01-22,5,Vehicle Delivery
F022,D002,2025-01-23,4,Sales Experience
F023,D003,2025-01-24,5,Service Quality
F024,D004,2025-01-25,4,Vehicle Delivery
F025,D005,2025-01-26,5,Sales Experience
F026,D006,2025-01-27,4,Service Quality
F027,D007,2025-01-28,5,Vehicle Delivery
F028,D008,2025-01-29,4,Sales Experience
F029,D009,2025-01-30,5,Service Quality
F030,D010,2025-01-31,4,Vehicle Delivery
F031,D001,2025-02-02,4,Sales Experience
F032,D002,2025-02-03,5,Service Quality
F033,D003,2025-02-04,4,Vehicle Delivery
F034,D004,2025-02-05,5,Sales Experience
F035,D005,2025-02-06,4,Service Quality
F036,D006,2025-02-07,5,Vehicle Delivery
F037,D007,2025-02-08,4,Sales Experience
F038,D008,2025-02-09,5,Service Quality
F039,D009,2025-02-10,4,Vehicle Delivery
F040,D010,2025-02-11,5,Sales Experience
F041,D001,2025-02-12,5,Service Quality
F042,D002,2025-02-13,4,Vehicle Delivery
F043,D003,2025-02-14,5,Sales Experience
F044,D004,2025-02-15,4,Service Quality
F045,D005,2025-02-16,5,Vehicle Delivery
F046,D006,2025-02-17,4,Sales Experience
F047,D007,2025-02-18,5,Service Quality
F048,D008,2025-02-19,4,Vehicle Delivery
F049,D009,2025-02-20,5,Sales Experience
F050,D010,2025-02-21,4,Service Quality
F051,D001,2025-02-22,4,Vehicle Delivery
F052,D002,2025-02-23,5,Sales Experience
F053,D003,2025-02-24,4,Service Quality
F054,D004,2025-02-25,5,Vehicle Delivery
F055,D005,2025-02-26,4,Sales Experience
F056,D006,2025-02-27,5,Service Quality
F057,D007,2025-02-28,4,Vehicle Delivery
F058,D008,2025-03-01,5,Sales Experience
F059,D009,2025-03-02,4,Service Quality
F060,D010,2025-03-03,5,Vehicle Delivery
F061,D001,2025-03-04,5,Sales Experience
F062,D002,2025-03-05,4,Service Quality
F063,D003,2025-03-06,5,Vehicle Delivery
F064,D004,2025-03-07,4,Sales Experience
F065,D005,2025-03-08,5,Service Quality
F066,D006,2025-03-09,4,Vehicle Delivery
F067,D007,2025-03-10,5,Sales Experience
F068,D008,2025-03-11,4,Service Quality
F069,D009,2025-03-12,5,Vehicle Delivery
F070,D010,2025-03-13,4,Sales Experience
F071,D001,2025-03-14,4,Service Quality
F072,D002,2025-03-15,5,Vehicle Delivery
F073,D003,2025-03-16,4,Sales Experience
F074,D004,2025-03-17,5,Service Quality
