sale_id,dealer_id,sale_date,vehicle_model,quantity,unit_price
S001,D001,2025-01-05,3 Series,2,48500
S002,D002,2025-01-06,5 Series,3,62500
S003,D003,2025-01-08,X3,2,55200
S004,D004,2025-01-10,X5,1,78500
S005,D005,2025-01-12,7 Series,2,96500
S006,D006,2025-01-15,iX,3,87200
S007,D007,2025-01-17,4 Series,2,59800
S008,D008,2025-01-20,X1,4,41200
S009,D009,2025-01-22,X7,1,108500
S010,D010,2025-01-25,i4,3,68400
S011,D001,2025-02-04,X1,3,41200
S012,D002,2025-02-06,3 Series,2,48500
S013,D003,2025-02-08,5 Series,3,62500
S014,D004,2025-02-11,X3,2,55200
S015,D005,2025-02-13,X5,2,78500
S016,D006,2025-02-15,7 Series,1,96500
S017,D007,2025-02-18,iX,2,87200
S018,D008,2025-02-20,4 Series,3,59800
S019,D009,2025-02-22,X1,4,41200
S020,D010,2025-02-25,X7,2,108500
S021,D001,2025-03-04,5 Series,3,62500
S022,D002,2025-03-06,X3,2,55200
S023,D003,2025-03-08,X5,1,78500
S024,D004,2025-03-11,7 Series,2,96500
S025,D005,2025-03-13,iX,3,87200
S026,D006,2025-03-15,4 Series,2,59800
S027,D007,2025-03-18,X1,4,41200
S028,D008,2025-03-20,X7,1,108500
S029,D009,2025-03-22,i4,3,68400
S030,D010,2025-03-25,3 Series,2,48500
S031,D001,2025-04-04,X3,2,55200
S032,D002,2025-04-06,X5,2,78500
S033,D003,2025-04-08,7 Series,1,96500
S034,D004,2025-04-11,iX,3,87200
S035,D005,2025-04-13,4 Series,2,59800
S036,D006,2025-04-15,X1,4,41200
S037,D007,2025-04-18,X7,1,108500
S038,D008,2025-04-20,i4,3,68400
S039,D009,2025-04-22,3 Series,2,48500
S040,D010,2025-04-25,5 Series,3,62500
S041,D001,2025-05-04,X5,2,78500
S042,D002,2025-05-06,7 Series,1,96500
S043,D003,2025-05-08,iX,3,87200
S044,D004,2025-05-11,4 Series,2,59800
S045,D005,2025-05-13,X1,4,41200
S046,D006,2025-05-15,X7,1,108500
S047,D007,2025-05-18,i4,3,68400
S048,D008,2025-05-20,3 Series,2,48500
S049,D009,2025-05-22,5 Series,3,62500
S050,D010,2025-05-25,X3,2,55200
S051,D001,2025-06-04,7 Series,1,96500
S052,D002,2025-06-06,iX,3,87200
S053,D003,2025-06-08,4 Series,2,59800
S054,D004,2025-06-11,X1,4,41200
S055,D005,2025-06-13,X7,1,108500
S056,D006,2025-06-15,i4,3,68400
S057,D007,2025-06-18,3 Series,2,48500
S058,D008,2025-06-20,5 Series,3,62500
S059,D009,2025-06-22,X3,2,55200
S060,D010,2025-06-25,X5,2,78500
S061,D001,2025-07-04,iX,3,87200
S062,D002,2025-07-06,4 Series,2,59800
S063,D003,2025-07-08,X1,4,41200
S064,D004,2025-07-11,X7,1,108500
S065,D005,2025-07-13,i4,3,68400
S066,D006,2025-07-15,3 Series,2,48500
S067,D007,2025-07-18,5 Series,3,62500
S068,D008,2025-07-20,X3,2,55200
S069,D009,2025-07-22,X5,2,78500
S070,D010,2025-07-25,7 Series,1,96500
S071,D001,2025-08-04,4 Series,2,59800
S072,D002,2025-08-06,X1,4,41200
S073,D003,2025-08-08,X7,1,108500
S074,D004,2025-08-11,i4,3,68400
S075,D005,2025-08-13,3 Series,2,48500
S076,D006,2025-08-15,5 Series,3,62500
S077,D007,2025-08-18,X3,2,55200
S078,D008,2025-08-20,X5,2,78500
S079,D009,2025-08-22,7 Series,1,96500
S080,D010,2025-08-25,iX,3,87200
S081,D001,2025-09-04,X1,4,41200
S082,D002,2025-09-06,X7,1,108500
S083,D003,2025-09-08,i4,3,68400
S084,D004,2025-09-11,3 Series,2,48500
S085,D005,2025-09-13,5 Series,3,62500
S086,D006,2025-09-15,X3,2,55200
S087,D007,2025-09-18,X5,2,78500
S088,D008,2025-09-20,7 Series,1,96500
S089,D009,2025-09-22,iX,3,87200
S090,D010,2025-09-25,4 Series,2,59800
S091,D001,2025-10-04,X7,1,108500
S092,D002,2025-10-06,i4,3,68400
S093,D003,2025-10-08,3 Series,2,48500
S094,D004,2025-10-11,5 Series,3,62500
S095,D005,2025-10-13,X3,2,55200
S096,D006,2025-10-15,X5,2,78500
