service_id,dealer_id,service_date,service_type,service_count
V001,D001,2025-01-03,Oil Service,3
V002,D002,2025-01-04,Brake Inspection,2
V003,D003,2025-01-05,Vehicle Inspection,4
V004,D004,2025-01-07,Tire Service,3
V005,D005,2025-01-09,Oil Service,5
V006,D006,2025-01-11,Repair,2
V007,D007,2025-01-13,Vehicle Inspection,4
V008,D008,2025-01-15,Brake Inspection,3
V009,D009,2025-01-17,Repair,5
V010,D010,2025-01-19,Oil Service,2
V011,D001,2025-02-03,Brake Inspection,4
V012,D002,2025-02-04,Vehicle Inspection,3
V013,D003,2025-02-05,Tire Service,5
V014,D004,2025-02-07,Oil Service,2
V015,D005,2025-02-09,Repair,4
V016,D006,2025-02-11,Vehicle Inspection,3
V017,D007,2025-02-13,Brake Inspection,5
V018,D008,2025-02-15,Repair,2
V019,D009,2025-02-17,Oil Service,4
V020,D010,2025-02-19,Tire Service,3
V021,D001,2025-03-03,Vehicle Inspection,5
V022,D002,2025-03-04,Tire Service,2
V023,D003,2025-03-05,Oil Service,4
V024,D004,2025-03-07,Repair,3
V025,D005,2025-03-09,Vehicle Inspection,5
V026,D006,2025-03-11,Brake Inspection,2
V027,D007,2025-03-13,Repair,4
V028,D008,2025-03-15,Oil Service,3
V029,D009,2025-03-17,Tire Service,5
V030,D010,2025-03-19,Vehicle Inspection,2
V031,D001,2025-04-03,Tire Service,2
V032,D002,2025-04-04,Oil Service,4
V033,D003,2025-04-05,Repair,3
V034,D004,2025-04-07,Vehicle Inspection,5
V035,D005,2025-04-09,Brake Inspection,2
V036,D006,2025-04-11,Repair,4
V037,D007,2025-04-13,Oil Service,3
V038,D008,2025-04-15,Tire Service,5
V039,D009,2025-04-17,Vehicle Inspection,2
V040,D010,2025-04-19,Brake Inspection,4
V041,D001,2025-05-03,Oil Service,3
V042,D002,2025-05-04,Repair,5
V043,D003,2025-05-05,Vehicle Inspection,2
V044,D004,2025-05-07,Brake Inspection,4
V045,D005,2025-05-09,Repair,3
V046,D006,2025-05-11,Oil Service,5
V047,D007,2025-05-13,Tire Service,2
V048,D008,2025-05-15,Vehicle Inspection,4
V049,D009,2025-05-17,Brake Inspection,3
V050,D010,2025-05-19,Repair,5
V051,D001,2025-06-03,Repair,4
V052,D002,2025-06-04,Vehicle Inspection,2
V053,D003,2025-06-05,Brake Inspection,5
V054,D004,2025-06-07,Oil Service,3
V055,D005,2025-06-09,Tire Service,4
V056,D006,2025-06-11,Vehicle Inspection,2
V057,D007,2025-06-13,Brake Inspection,5
V058,D008,2025-06-15,Repair,3
V059,D009,2025-06-17,Oil Service,4
V060,D010,2025-06-19,Tire Service,2
V061,D001,2025-07-03,Vehicle Inspection,5
V062,D002,2025-07-04,Brake Inspection,3
V063,D003,2025-07-05,Repair,4
V064,D004,2025-07-07,Oil Service,2
V065,D005,2025-07-09,Tire Service,5
V066,D006,2025-07-11,Vehicle Inspection,3
V067,D007,2025-07-13,Brake Inspection,4
V068,D008,2025-07-15,Repair,2
V069,D009,2025-07-17,Oil Service,5
V070,D010,2025-07-19,Tire Service,3
V071,D001,2025-08-03,Brake Inspection,2
V072,D002,2025-08-04,Repair,4
V073,D003,2025-08-05,Oil Service,3
V074,D004,2025-08-07,Tire Service,5
V075,D005,2025-08-09,Vehicle Inspection,2
V076,D006,2025-08-11,Brake Inspection,4
V077,D007,2025-08-13,Repair,3
V078,D008,2025-08-15,Oil Service,5
V079,D009,2025-08-17,Tire Service,2
V080,D010,2025-08-19,Vehicle Inspection,4
V081,D001,2025-09-03,Repair,3
V082,D002,2025-09-04,Oil Service,5
V083,D003,2025-09-05,Tire Service,2
V084,D004,2025-09-07,Vehicle Inspection,4
V085,D005,2025-09-09,Brake Inspection,3
V086,D006,2025-09-11,Repair,5
