dealer_id,dealer_name,city,region,capacity,rating
D0001,BMW_Jaipur_1,Jaipur,North,214,3.1
D0002,BMW_Mumbai_2,Mumbai,West,350,3.4
D0003,BMW_Chandigarh_3,Chandigarh,North,204,4.4
D0004,BMW_Patna_4,Patna,East,658,3.2
D0005,BMW_Ahmedabad_5,Ahmedabad,West,132,3.1
D0006,BMW_Kochi_6,Kochi,South,338,4.0
D0007,BMW_Bengaluru_7,Bengaluru,South,674,3.4
D0008,BMW_Jaipur_8,Jaipur,North,818,4.1
D0009,BMW_Kochi_9,Kochi,South,559,4.2
D0010,BMW_Kolkata_10,Kolkata,East,990,3.0
D0011,BMW_Kolkata_11,Kolkata,East,263,4.4
D0012,BMW_Pune_12,Pune,West,384,3.3
D0013,BMW_Kolkata_13,Kolkata,East,444,3.2
D0014,BMW_Ahmedabad_14,Ahmedabad,West,199,3.7
D0015,BMW_Pune_15,Pune,West,718,3.5
D0016,BMW_Bengaluru_16,Bengaluru,South,847,3.9
D0017,BMW_Chennai_17,Chennai,South,487,3.2
D0018,BMW_Mumbai_18,Mumbai,West,949,4.3
D0019,BMW_Patna_19,Patna,East,982,3.7
D0020,BMW_Kochi_20,Kochi,South,821,3.1
D0021,BMW_Jaipur_21,Jaipur,North,333,4.5
D0022,BMW_Chennai_22,Chennai,South,975,3.5
D0023,BMW_Chennai_23,Chennai,South,489,3.6
D0024,BMW_Jaipur_24,Jaipur,North,954,3.7
D0025,BMW_Pune_25,Pune,West,463,3.4
D0026,BMW_Mumbai_26,Mumbai,West,818,4.9
D0027,BMW_Jaipur_27,Jaipur,North,173,4.2
D0028,BMW_Hyderabad_28,Hyderabad,South,646,4.5
D0029,BMW_Hyderabad_29,Hyderabad,South,573,3.8
D0030,BMW_Patna_30,Patna,East,755,4.4
D0031,BMW_Kochi_31,Kochi,South,801,3.6
D0032,BMW_Kolkata_32,Kolkata,East,894,3.1
D0033,BMW_Bhubaneswar_33,Bhubaneswar,East,132,4.6
D0034,BMW_Ahmedabad_34,Ahmedabad,West,374,3.1
D0035,BMW_Patna_35,Patna,East,680,4.8
D0036,BMW_Pune_36,Pune,West,317,4.3
D0037,BMW_Ahmedabad_37,Ahmedabad,West,758,3.9
D0038,BMW_Mumbai_38,Mumbai,West,242,3.5
D0039,BMW_Delhi_39,Delhi,North,651,3.5
D0040,BMW_Gurugram_40,Gurugram,North,538,4.8
D0041,BMW_Ahmedabad_41,Ahmedabad,West,470,3.4
D0042,BMW_Hyderabad_42,Hyderabad,South,621,4.0
D0043,BMW_Kolkata_43,Kolkata,East,148,4.7
D0044,BMW_Hyderabad_44,Hyderabad,South,742,3.3
D0045,BMW_Jaipur_45,Jaipur,North,532,4.2
D0046,BMW_Ahmedabad_46,Ahmedabad,West,490,4.2
D0047,BMW_Surat_47,Surat,West,641,3.5
D0048,BMW_Delhi_48,Delhi,North,981,4.9
D0049,BMW_Jaipur_49,Jaipur,North,838,3.2
D0050,BMW_Patna_50,Patna,East,649,4.5
D0051,BMW_Kolkata_51,Kolkata,East,756,3.7
D0052,BMW_Mumbai_52,Mumbai,West,545,3.3
D0053,BMW_Bengaluru_53,Bengaluru,South,839,4.8
D0054,BMW_Mumbai_54,Mumbai,West,612,4.5
D0055,BMW_Delhi_55,Delhi,North,208,4.7
D0056,BMW_Mumbai_56,Mumbai,West,961,4.3
D0057,BMW_Gurugram_57,Gurugram,North,303,3.3
D0058,BMW_Kolkata_58,Kolkata,East,265,4.1
D0059,BMW_Kolkata_59,Kolkata,East,643,4.8
D0060,BMW_Gurugram_60,Gurugram,North,431,4.0
D0061,BMW_Chennai_61,Chennai,South,471,4.8
D0062,BMW_Bhubaneswar_62,Bhubaneswar,East,926,3.6
D0063,BMW_Bengaluru_63,Bengaluru,South,346,4.8
D0064,BMW_Chennai_64,Chennai,South,187,4.5
D0065,BMW_Bhubaneswar_65,Bhubaneswar,East,170,5.0
D0066,BMW_Delhi_66,Delhi,North,884,3.3
D0067,BMW_Jaipur_67,Jaipur,North,586,4.9
D0068,BMW_Hyderabad_68,Hyderabad,South,371,4.1
D0069,BMW_Gurugram_69,Gurugram,North,533,4.9
D0070,BMW_Patna_70,Patna,East,652,4.5
D0071,BMW_Chandigarh_71,Chandigarh,North,305,4.4
D0072,BMW_Ahmedabad_72,Ahmedabad,West,787,4.3
D0073,BMW_Surat_73,Surat,West,629,3.9
D0074,BMW_Kochi_74,Kochi,South,330,3.1
D0075,BMW_Bengaluru_75,Bengaluru,South,702,4.1
D0076,BMW_Gurugram_76,Gurugram,North,325,3.0
D0077,BMW_Chandigarh_77,Chandigarh,North,746,3.1
D0078,BMW_Chennai_78,Chennai,South,132,4.7
D0079,BMW_Chennai_79,Chennai,South,626,3.5
D0080,BMW_Jaipur_80,Jaipur,North,597,3.4
D0081,BMW_Hyderabad_81,Hyderabad,South,840,4.9
D0082,BMW_Gurugram_82,Gurugram,North,690,3.9
D0083,BMW_Kolkata_83,Kolkata,East,584,4.6
D0084,BMW_Kochi_84,Kochi,South,196,3.2
D0085,BMW_Ahmedabad_85,Ahmedabad,West,462,3.8
D0086,BMW_Surat_86,Surat,West,984,4.5
D0087,BMW_Jaipur_87,Jaipur,North,769,5.0
D0088,BMW_Chennai_88,Chennai,South,162,3.8
D0089,BMW_Pune_89,Pune,West,919,4.7
D0090,BMW_Kochi_90,Kochi,South,296,3.4
D0091,BMW_Surat_91,Surat,West,243,3.8
D0092,BMW_Mumbai_92,Mumbai,West,573,3.5
D0093,BMW_Patna_93,Patna,East,177,3.9
D0094,BMW_Bhubaneswar_94,Bhubaneswar,East,976,4.1
D0095,BMW_Bengaluru_95,Bengaluru,South,767,5.0
D0096,BMW_Bhubaneswar_96,Bhubaneswar,East,115,4.9
D0097,BMW_Patna_97,Patna,East,871,4.7
D0098,BMW_Hyderabad_98,Hyderabad,South,516,4.0
D0099,BMW_Kochi_99,Kochi,South,985,3.8
D0100,BMW_Bengaluru_100,Bengaluru,South,268,3.8
D0101,BMW_Ahmedabad_101,Ahmedabad,West,371,4.9
D0102,BMW_Kolkata_102,Kolkata,East,565,3.6
D0103,BMW_Chandigarh_103,Chandigarh,North,848,5.0
D0104,BMW_Delhi_104,Delhi,North,777,4.4
D0105,BMW_Hyderabad_105,Hyderabad,South,294,3.6
D0106,BMW_Bengaluru_106,Bengaluru,South,693,4.5
D0107,BMW_Bengaluru_107,Bengaluru,South,865,3.6
D0108,BMW_Bengaluru_108,Bengaluru,South,698,4.0
D0109,BMW_Patna_109,Patna,East,973,4.1
D0110,BMW_Bengaluru_110,Bengaluru,South,620,3.2
D0111,BMW_Hyderabad_111,Hyderabad,South,170,4.2
D0112,BMW_Jaipur_112,Jaipur,North,982,3.5
D0113,BMW_Chennai_113,Chennai,South,683,3.5
D0114,BMW_Gurugram_114,Gurugram,North,140,4.2
D0115,BMW_Ahmedabad_115,Ahmedabad,West,773,4.2
D0116,BMW_Delhi_116,Delhi,North,423,4.9
D0117,BMW_Kochi_117,Kochi,South,785,4.4
D0118,BMW_Kochi_118,Kochi,South,371,3.8
D0119,BMW_Jaipur_119,Jaipur,North,760,3.6
D0120,BMW_Pune_120,Pune,West,869,4.9
D0121,BMW_Bengaluru_121,Bengaluru,South,569,4.2
D0122,BMW_Gurugram_122,Gurugram,North,202,3.1
D0123,BMW_Kochi_123,Kochi,South,618,3.5
D0124,BMW_Patna_124,Patna,East,457,4.8
D0125,BMW_Patna_125,Patna,East,350,3.7
D0126,BMW_Hyderabad_126,Hyderabad,South,548,4.7
D0127,BMW_Chandigarh_127,Chandigarh,North,409,4.2
D0128,BMW_Kolkata_128,Kolkata,East,769,4.1
D0129,BMW_Jaipur_129,Jaipur,North,936,4.1
D0130,BMW_Patna_130,Patna,East,779,3.2
D0131,BMW_Patna_131,Patna,East,237,3.5
D0132,BMW_Patna_132,Patna,East,209,4.5
D0133,BMW_Hyderabad_133,Hyderabad,South,378,3.6
D0134,BMW_Kochi_134,Kochi,South,834,3.7
D0135,BMW_Jaipur_135,Jaipur,North,749,4.7
D0136,BMW_Delhi_136,Delhi,North,600,3.5
D0137,BMW_Patna_137,Patna,East,966,3.1
D0138,BMW_Jaipur_138,Jaipur,North,533,4.7
D0139,BMW_Bengaluru_139,Bengaluru,South,103,3.7
D0140,BMW_Hyderabad_140,Hyderabad,South,752,5.0
D0141,BMW_Hyderabad_141,Hyderabad,South,859,3.9
D0142,BMW_Chandigarh_142,Chandigarh,North,537,4.1
D0143,BMW_Chennai_143,Chennai,South,177,4.9
D0144,BMW_Chandigarh_144,Chandigarh,North,252,4.1
D0145,BMW_Bhubaneswar_145,Bhubaneswar,East,478,4.2
D0146,BMW_Hyderabad_146,Hyderabad,South,540,3.3
D0147,BMW_Mumbai_147,Mumbai,West,473,4.8
D0148,BMW_Kolkata_148,Kolkata,East,981,3.1
D0149,BMW_Pune_149,Pune,West,315,4.4
D0150,BMW_Jaipur_150,Jaipur,North,205,3.7
D0151,BMW_Delhi_151,Delhi,North,995,3.8
D0152,BMW_Gurugram_152,Gurugram,North,867,3.3
D0153,BMW_Patna_153,Patna,East,342,4.7
D0154,BMW_Kolkata_154,Kolkata,East,930,3.4
D0155,BMW_Ahmedabad_155,Ahmedabad,West,125,3.4
D0156,BMW_Patna_156,Patna,East,440,4.6
D0157,BMW_Ahmedabad_157,Ahmedabad,West,921,4.3
D0158,BMW_Chandigarh_158,Chandigarh,North,930,3.5
D0159,BMW_Hyderabad_159,Hyderabad,South,906,4.4
D0160,BMW_Ahmedabad_160,Ahmedabad,West,993,3.1
D0161,BMW_Surat_161,Surat,West,327,3.4
D0162,BMW_Patna_162,Patna,East,571,3.7
D0163,BMW_Bhubaneswar_163,Bhubaneswar,East,914,4.7
D0164,BMW_Kochi_164,Kochi,South,124,4.3
D0165,BMW_Ahmedabad_165,Ahmedabad,West,436,3.6
D0166,BMW_Chennai_166,Chennai,South,891,3.6
D0167,BMW_Jaipur_167,Jaipur,North,621,3.8
D0168,BMW_Bhubaneswar_168,Bhubaneswar,East,649,3.7
D0169,BMW_Bengaluru_169,Bengaluru,South,218,4.8
D0170,BMW_Mumbai_170,Mumbai,West,282,4.2
D0171,BMW_Mumbai_171,Mumbai,West,139,3.2
D0172,BMW_Ahmedabad_172,Ahmedabad,West,453,4.5
D0173,BMW_Pune_173,Pune,West,546,4.2
D0174,BMW_Delhi_174,Delhi,North,218,3.8
D0175,BMW_Gurugram_175,Gurugram,North,294,3.5
D0176,BMW_Chandigarh_176,Chandigarh,North,546,3.0
D0177,BMW_Patna_177,Patna,East,925,4.1
D0178,BMW_Chandigarh_178,Chandigarh,North,859,4.5
D0179,BMW_Kochi_179,Kochi,South,472,3.9
D0180,BMW_Jaipur_180,Jaipur,North,438,4.2
D0181,BMW_Jaipur_181,Jaipur,North,968,3.2
D0182,BMW_Patna_182,Patna,East,407,4.0
D0183,BMW_Jaipur_183,Jaipur,North,518,3.7
D0184,BMW_Chandigarh_184,Chandigarh,North,402,4.1
D0185,BMW_Kochi_185,Kochi,South,530,4.3
D0186,BMW_Ahmedabad_186,Ahmedabad,West,793,4.5
D0187,BMW_Hyderabad_187,Hyderabad,South,730,4.1
D0188,BMW_Ahmedabad_188,Ahmedabad,West,661,4.7
D0189,BMW_Mumbai_189,Mumbai,West,393,3.4
D0190,BMW_Kolkata_190,Kolkata,East,693,4.2
D0191,BMW_Pune_191,Pune,West,576,3.9
D0192,BMW_Jaipur_192,Jaipur,North,318,4.0
D0193,BMW_Kolkata_193,Kolkata,East,915,4.5
D0194,BMW_Jaipur_194,Jaipur,North,186,3.6
D0195,BMW_Jaipur_195,Jaipur,North,748,4.2
D0196,BMW_Chennai_196,Chennai,South,938,4.9
D0197,BMW_Kochi_197,Kochi,South,788,3.6
D0198,BMW_Kolkata_198,Kolkata,East,303,3.3
D0199,BMW_Bengaluru_199,Bengaluru,South,350,5.0
D0200,BMW_Gurugram_200,Gurugram,North,970,4.5
D0201,BMW_Surat_201,Surat,West,524,4.8
D0202,BMW_Gurugram_202,Gurugram,North,299,4.4
D0203,BMW_Ahmedabad_203,Ahmedabad,West,606,3.8
D0204,BMW_Hyderabad_204,Hyderabad,South,771,4.4
D0205,BMW_Patna_205,Patna,East,868,4.7
D0206,BMW_Patna_206,Patna,East,209,4.6
D0207,BMW_Kochi_207,Kochi,South,280,4.6
D0208,BMW_Chandigarh_208,Chandigarh,North,630,3.9
D0209,BMW_Delhi_209,Delhi,North,355,4.8
D0210,BMW_Chennai_210,Chennai,South,567,3.3
D0211,BMW_Surat_211,Surat,West,783,4.1
D0212,BMW_Delhi_212,Delhi,North,709,3.6
D0213,BMW_Kolkata_213,Kolkata,East,553,4.2
D0214,BMW_Chandigarh_214,Chandigarh,North,616,3.9
D0215,BMW_Patna_215,Patna,East,661,3.9
