dealer_id,dealer_name,city,region,capacity,total_services,avg_repair_cost,avg_service_interval_days,capacity_utilization_pct,dealer_status,regional_rank
D0360,BMW_Bhubaneswar_360,Bhubaneswar,East,101,208,31656.29,547.56,205.94,OVERLOADED,1
D0096,BMW_Bhubaneswar_96,Bhubaneswar,East,115,203,33967.3,453.38,176.52,OVERLOADED,2
D0290,BMW_Kolkata_290,Kolkata,East,117,201,31895.09,573.71,171.79,OVERLOADED,3
D0043,BMW_Kolkata_43,Kolkata,East,148,208,33650.38,418.92,140.54,OVERLOADED,4
D0364,BMW_Kolkata_364,Kolkata,East,152,199,32837.6,302.2,130.92,OVERLOADED,5
D0267,BMW_Kolkata_267,Kolkata,East,142,179,34319.67,283.11,126.06,OVERLOADED,6
D0033,BMW_Bhubaneswar_33,Bhubaneswar,East,132,160,31212.07,263.0,121.21,OVERLOADED,7
D0065,BMW_Bhubaneswar_65,Bhubaneswar,East,170,192,31636.47,598.0,112.94,OVERLOADED,8
D0093,BMW_Patna_93,Patna,East,177,198,33896.6,543.54,111.86,OVERLOADED,9
D0248,BMW_Bhubaneswar_248,Bhubaneswar,East,183,197,33870.31,476.8,107.65,OVERLOADED,10
D0410,BMW_Bhubaneswar_410,Bhubaneswar,East,202,199,31826.74,350.14,98.51,OVERLOADED,11
D0371,BMW_Patna_371,Patna,East,216,210,34719.98,315.15,97.22,OVERLOADED,12
D0132,BMW_Patna_132,Patna,East,209,198,32026.63,291.0,94.74,OVERLOADED,13
D0336,BMW_Bhubaneswar_336,Bhubaneswar,East,245,222,33453.36,384.47,90.61,OVERLOADED,14
D0206,BMW_Patna_206,Patna,East,209,181,33503.51,329.89,86.6,OPTIMAL,15
D0489,BMW_Bhubaneswar_489,Bhubaneswar,East,248,204,33482.6,373.65,82.26,OPTIMAL,16
D0058,BMW_Kolkata_58,Kolkata,East,265,213,33770.9,436.07,80.38,OPTIMAL,17
D0378,BMW_Patna_378,Patna,East,239,190,33631.39,436.64,79.5,OPTIMAL,18
D0011,BMW_Kolkata_11,Kolkata,East,263,194,31129.41,442.46,73.76,OPTIMAL,19
D0131,BMW_Patna_131,Patna,East,237,172,34511.1,575.14,72.57,OPTIMAL,20
D0288,BMW_Kolkata_288,Kolkata,East,346,222,34254.91,443.36,64.16,OPTIMAL,21
D0198,BMW_Kolkata_198,Kolkata,East,303,183,33343.21,426.82,60.4,OPTIMAL,22
D0153,BMW_Patna_153,Patna,East,342,196,33130.95,457.4,57.31,UNDER_UTILIZED,23
D0125,BMW_Patna_125,Patna,East,350,194,32326.1,547.38,55.43,UNDER_UTILIZED,24
D0450,BMW_Kolkata_450,Kolkata,East,402,222,33104.34,586.11,55.22,UNDER_UTILIZED,25
D0235,BMW_Patna_235,Patna,East,325,178,32508.79,386.0,54.77,UNDER_UTILIZED,26
D0493,BMW_Kolkata_493,Kolkata,East,343,187,33054.91,434.17,54.52,UNDER_UTILIZED,27
D0444,BMW_Patna_444,Patna,East,402,212,32589.6,374.86,52.74,UNDER_UTILIZED,28
D0435,BMW_Patna_435,Patna,East,393,199,34540.52,554.57,50.64,UNDER_UTILIZED,29
D0282,BMW_Bhubaneswar_282,Bhubaneswar,East,432,215,32730.17,470.8,49.77,UNDER_UTILIZED,30
D0013,BMW_Kolkata_13,Kolkata,East,444,220,33103.85,476.0,49.55,UNDER_UTILIZED,31
D0426,BMW_Bhubaneswar_426,Bhubaneswar,East,409,200,32741.21,422.0,48.9,UNDER_UTILIZED,32
D0182,BMW_Patna_182,Patna,East,407,197,32172.87,471.0,48.4,UNDER_UTILIZED,33
D0156,BMW_Patna_156,Patna,East,440,202,33019.04,651.63,45.91,UNDER_UTILIZED,34
D0145,BMW_Bhubaneswar_145,Bhubaneswar,East,478,212,31739.53,373.89,44.35,UNDER_UTILIZED,35
D0343,BMW_Patna_343,Patna,East,542,233,31859.25,369.2,42.99,UNDER_UTILIZED,36
D0417,BMW_Bhubaneswar_417,Bhubaneswar,East,491,208,33335.38,670.0,42.36,UNDER_UTILIZED,37
D0359,BMW_Kolkata_359,Kolkata,East,513,215,31830.21,203.17,41.91,UNDER_UTILIZED,38
D0261,BMW_Patna_261,Patna,East,484,200,34749.67,534.45,41.32,UNDER_UTILIZED,39
D0442,BMW_Kolkata_442,Kolkata,East,551,224,33175.0,474.29,40.65,UNDER_UTILIZED,40
D0456,BMW_Kolkata_456,Kolkata,East,504,204,32082.86,249.18,40.48,UNDER_UTILIZED,41
D0124,BMW_Patna_124,Patna,East,457,184,32454.17,323.58,40.26,UNDER_UTILIZED,42
D0396,BMW_Bhubaneswar_396,Bhubaneswar,East,550,213,32400.56,311.67,38.73,UNDER_UTILIZED,43
D0233,BMW_Bhubaneswar_233,Bhubaneswar,East,529,204,34552.09,624.6,38.56,UNDER_UTILIZED,44
D0397,BMW_Patna_397,Patna,East,567,214,33533.47,257.25,37.74,UNDER_UTILIZED,45
D0238,BMW_Kolkata_238,Kolkata,East,514,191,33957.08,432.33,37.16,UNDER_UTILIZED,46
D0213,BMW_Kolkata_213,Kolkata,East,553,199,32061.2,300.92,35.99,UNDER_UTILIZED,47
D0270,BMW_Bhubaneswar_270,Bhubaneswar,East,530,190,33347.32,467.9,35.85,UNDER_UTILIZED,48
D0162,BMW_Patna_162,Patna,East,571,202,33338.68,334.57,35.38,UNDER_UTILIZED,49
D0083,BMW_Kolkata_83,Kolkata,East,584,206,33811.93,518.36,35.27,UNDER_UTILIZED,50
D0215,BMW_Patna_215,Patna,East,661,227,33839.25,730.36,34.34,UNDER_UTILIZED,51
D0464,BMW_Bhubaneswar_464,Bhubaneswar,East,575,193,34278.84,450.69,33.57,UNDER_UTILIZED,52
D0239,BMW_Bhubaneswar_239,Bhubaneswar,East,578,192,35638.83,433.5,33.22,UNDER_UTILIZED,53
D0102,BMW_Kolkata_102,Kolkata,East,565,187,35082.52,292.67,33.1,UNDER_UTILIZED,54
