service_id,vehicle_id,dealer_id,service_date,service_type,odometer,parts_cost,labour_cost,failure_code,repair_cost
SVC0000001,VEH416282,D0103,2025-05-03,Oil Change,86507,7409,4779,FC104,12188
SVC0000004,VEH132663,D0271,2024-07-13,Engine Repair,31718,25073,397,FC102,25470
SVC0000006,VEH602248,D0072,2024-05-19,Battery Check,86562,19417,9277,FC107,28694
SVC0000010,VEH819425,D0122,2024-11-28,Software Update,87859,39600,1696,FC105,41296
SVC0000011,VEH213206,D0467,2024-07-21,Wheel Alignment,117354,4996,6177,FC106,11173
SVC0000014,VEH565108,D0459,2025-05-12,Engine Repair,133795,9245,13122,FC106,22367
SVC0000035,VEH734836,D0022,2024-08-19,Oil Change,123393,26202,8585,FC102,34787
SVC0000039,VEH835869,D0049,2025-02-03,Software Update,115578,4325,14470,FC102,18795
SVC0000040,VEH219971,D0475,2025-11-29,Engine Repair,5364,48327,816,FC106,49143
SVC0000050,VEH339592,D0446,2025-09-16,Software Update,241035,10258,14714,FC104,24972
SVC0000057,VEH865054,D0485,2023-12-27,Tire Replacement,178728,716,12762,FC102,13478
SVC0000065,VEH260053,D0089,2024-12-19,Oil Change,134907,39852,7813,FC106,47665
SVC0000088,VEH530764,D0002,2023-08-12,Brake Service,41914,23592,11948,FC104,35540
SVC0000090,VEH797660,D0054,2024-08-05,Tire Replacement,26485,26088,10188,FC101,36276
SVC0000097,VEH427626,D0218,2023-09-24,Engine Repair,96747,9050,12878,FC108,21928
SVC0000105,VEH605612,D0304,2026-04-04,Tire Replacement,104224,29844,9442,NONE,39286
SVC0000116,VEH701987,D0338,2024-07-17,Wheel Alignment,95691,15499,14268,FC108,29767
SVC0000118,VEH946432,D0053,2025-06-15,AC Repair,40012,8290,6360,FC103,14650
SVC0000124,VEH751924,D0380,2026-03-06,Battery Check,222627,37869,3436,FC103,41305
SVC0000131,VEH789786,D0345,2023-08-14,Brake Service,170082,10709,1890,FC108,12599
SVC0000146,VEH693830,D0289,2025-10-23,Wheel Alignment,240606,14103,10976,FC103,25079
SVC0000155,VEH882354,D0328,2023-04-10,Wheel Alignment,160983,39181,5849,FC104,45030
SVC0000157,VEH325583,D0418,2024-11-10,Engine Repair,142007,41621,13130,FC108,54751
SVC0000167,VEH914571,D0214,2025-06-30,Tire Replacement,155481,10513,9130,FC101,19643
SVC0000173,VEH265056,D0431,2025-11-19,Wheel Alignment,263312,22816,3387,FC106,26203
SVC0000185,VEH563516,D0015,2025-11-27,Tire Replacement,219786,36094,9242,FC107,45336
SVC0000197,VEH811444,D0388,2025-11-09,Wheel Alignment,48801,30171,13244,NONE,43415
SVC0000209,VEH314353,D0327,2023-09-16,AC Repair,276155,9699,10999,FC103,20698
SVC0000215,VEH367931,D0170,2023-08-14,Battery Check,159146,17761,5160,FC106,22921
SVC0000216,VEH403507,D0045,2026-04-23,Battery Check,94757,11581,1242,FC101,12823
SVC0000218,VEH225812,D0441,2025-12-12,AC Repair,95569,41383,4372,FC103,45755
SVC0000231,VEH973835,D0231,2024-04-22,Battery Check,180344,43591,3634,FC107,47225
SVC0000233,VEH945362,D0225,2025-07-03,AC Repair,168213,40532,5375,FC108,45907
SVC0000234,VEH471371,D0385,2023-08-02,AC Repair,268676,11138,8408,FC101,19546
SVC0000239,VEH557409,D0116,2024-02-08,Tire Replacement,209737,49182,6049,FC102,55231
SVC0000240,VEH119651,D0461,2024-10-11,Wheel Alignment,180215,35629,7942,FC106,43571
SVC0000249,VEH771237,D0165,2024-09-29,Wheel Alignment,114741,17636,4197,FC103,21833
SVC0000250,VEH537983,D0225,2025-07-04,Brake Service,67854,9835,10680,FC104,20515
SVC0000251,VEH403578,D0307,2024-01-14,Oil Change,285138,10292,7552,FC107,17844
SVC0000253,VEH524707,D0172,2024-06-24,Engine Repair,38494,26018,1785,FC105,27803
SVC0000256,VEH280222,D0315,2024-02-18,Brake Service,99514,31171,6873,FC105,38044
SVC0000257,VEH940247,D0374,2023-09-11,Battery Check,173504,17937,11574,FC101,29511
SVC0000259,VEH582446,D0096,2026-01-10,Oil Change,5145,3764,8392,FC101,12156
SVC0000264,VEH557925,D0318,2024-05-22,Wheel Alignment,174826,30726,8513,NONE,39239
SVC0000268,VEH556839,D0268,2025-11-16,Oil Change,66475,21630,13811,FC102,35441
SVC0000274,VEH425346,D0113,2024-07-07,Brake Service,10921,47660,9034,FC101,56694
SVC0000279,VEH916964,D0002,2026-04-21,Battery Check,274142,14648,9457,FC104,24105
SVC0000285,VEH656379,D0224,2023-07-30,Wheel Alignment,98859,23849,976,NONE,24825
SVC0000302,VEH731661,D0123,2024-05-11,AC Repair,48076,22863,8250,FC104,31113
SVC0000307,VEH179013,D0325,2024-10-18,AC Repair,28087,6090,3686,FC106,9776
SVC0000314,VEH691119,D0144,2024-08-02,Oil Change,105239,2153,12771,FC105,14924
SVC0000316,VEH707616,D0201,2023-05-19,Wheel Alignment,261500,19346,11310,FC108,30656
SVC0000318,VEH814220,D0187,2026-05-07,AC Repair,164220,14637,3770,NONE,18407
