dealer_id,service_id,vehicle_id,service_date,service_type,odometer,parts_cost,labour_cost,failure_code,repair_cost,dealer_name,city,region,capacity,rating
D0103,SVC0000001,VEH416282,2025-05-03,Oil Change,86507,7409,4779,FC104,12188,BMW_Chandigarh_103,Chandigarh,North,848,5.0
D0271,SVC0000004,VEH132663,2024-07-13,Engine Repair,31718,25073,397,FC102,25470,BMW_Chennai_271,Chennai,South,543,4.9
D0072,SVC0000006,VEH602248,2024-05-19,Battery Check,86562,19417,9277,FC107,28694,BMW_Ahmedabad_72,Ahmedabad,West,787,4.3
D0122,SVC0000010,VEH819425,2024-11-28,Software Update,87859,39600,1696,FC105,41296,BMW_Gurugram_122,Gurugram,North,202,3.1
D0467,SVC0000011,VEH213206,2024-07-21,Wheel Alignment,117354,4996,6177,FC106,11173,BMW_Mumbai_467,Mumbai,West,604,3.2
D0459,SVC0000014,VEH565108,2025-05-12,Engine Repair,133795,9245,13122,FC106,22367,BMW_Gurugram_459,Gurugram,North,490,4.6
D0022,SVC0000035,VEH734836,2024-08-19,Oil Change,123393,26202,8585,FC102,34787,BMW_Chennai_22,Chennai,South,975,3.5
D0049,SVC0000039,VEH835869,2025-02-03,Software Update,115578,4325,14470,FC102,18795,BMW_Jaipur_49,Jaipur,North,838,3.2
D0475,SVC0000040,VEH219971,2025-11-29,Engine Repair,5364,48327,816,FC106,49143,BMW_Kochi_475,Kochi,South,554,3.9
D0446,SVC0000050,VEH339592,2025-09-16,Software Update,241035,10258,14714,FC104,24972,BMW_Kolkata_446,Kolkata,East,652,4.8
D0485,SVC0000057,VEH865054,2023-12-27,Tire Replacement,178728,716,12762,FC102,13478,BMW_Bhubaneswar_485,Bhubaneswar,East,883,4.1
D0089,SVC0000065,VEH260053,2024-12-19,Oil Change,134907,39852,7813,FC106,47665,BMW_Pune_89,Pune,West,919,4.7
D0002,SVC0000088,VEH530764,2023-08-12,Brake Service,41914,23592,11948,FC104,35540,BMW_Mumbai_2,Mumbai,West,350,3.4
D0054,SVC0000090,VEH797660,2024-08-05,Tire Replacement,26485,26088,10188,FC101,36276,BMW_Mumbai_54,Mumbai,West,612,4.5
D0218,SVC0000097,VEH427626,2023-09-24,Engine Repair,96747,9050,12878,FC108,21928,BMW_Bhubaneswar_218,Bhubaneswar,East,752,3.6
D0304,SVC0000105,VEH605612,2026-04-04,Tire Replacement,104224,29844,9442,NONE,39286,BMW_Mumbai_304,Mumbai,West,114,4.4
D0338,SVC0000116,VEH701987,2024-07-17,Wheel Alignment,95691,15499,14268,FC108,29767,BMW_Chandigarh_338,Chandigarh,North,944,4.1
D0053,SVC0000118,VEH946432,2025-06-15,AC Repair,40012,8290,6360,FC103,14650,BMW_Bengaluru_53,Bengaluru,South,839,4.8
