vehicle_id,vin,model,model_year,fuel_type,region,manufacturing_date
BMWV0001,WBA27715511993,i5,2025,Petrol,North America,2025-11-28
BMWV0002,WBA24540078702,X5,2023,Electric,North America,2023-10-17
BMWV0003,WBA94956170121,i5,2024,Petrol,Europe,2024-08-13
BMWV0004,WBA19181879449,i4,2020,Petrol,North America,2020-01-29
BMWV0005,WBA30027612901,X7,2023,Hybrid,Asia,2023-01-12
BMWV0006,WBA95907419957,3 Series,2020,Electric,Europe,2020-04-23
BMWV0007,WBA40830875494,7 Series,2022,Hybrid,North America,2022-07-16
BMWV0008,WBA96024206537,5 Series,2023,Petrol,Oceania,2023-01-05
BMWV0009,WBA32191602605,X3,2022,Diesel,North America,2022-07-22
BMWV0010,WBA23663662267,X3,2022,Electric,Asia,2022-02-23
BMWV0011,WBA93332360464,X3,2023,Diesel,Middle East,2023-07-14
BMWV0012,WBA25075806428,X1,2020,Electric,North America,2020-08-22
BMWV0013,WBA68941574658,X3,2022,Hybrid,Middle East,2022-08-15
BMWV0014,WBA75392761529,7 Series,2025,Hybrid,Oceania,2025-10-15
BMWV0015,WBA23111693175,3 Series,2019,Hybrid,North America,2019-11-18
BMWV0016,WBA16869237405,X3,2023,Hybrid,Europe,2023-07-15
BMWV0017,WBA85600639890,i5,2025,Hybrid,Middle East,2025-03-21
BMWV0018,WBA81453183294,i5,2023,Diesel,Oceania,2023-05-20
BMWV0019,WBA66474523858,X1,2024,Hybrid,Europe,2024-09-14
BMWV0020,WBA64743331915,7 Series,2019,Petrol,Europe,2019-02-26
BMWV0021,WBA32376100980,3 Series,2021,Petrol,Europe,2021-01-31
BMWV0022,WBA76028519084,5 Series,2019,Diesel,Europe,2019-02-14
BMWV0023,WBA23410506077,i4,2025,Electric,North America,2025-08-01
BMWV0024,WBA84609689406,3 Series,2021,Petrol,North America,2021-12-30
BMWV0025,WBA91872995440,i4,2021,Electric,North America,2021-05-16
BMWV0026,WBA56100528952,X7,2022,Diesel,Oceania,2022-09-11
BMWV0027,WBA62284698784,i4,2023,Electric,Oceania,2023-07-29
BMWV0028,WBA81457747141,X5,2022,Electric,Oceania,2022-03-20
BMWV0029,WBA25015920275,i5,2022,Electric,Asia,2022-01-15
BMWV0030,WBA75190097966,7 Series,2020,Electric,Oceania,2020-07-26
BMWV0031,WBA35731692078,iX,2024,Diesel,North America,2024-06-24
BMWV0032,WBA69043858555,X1,2024,Petrol,North America,2024-12-08
BMWV0033,WBA56127890278,X5,2019,Hybrid,Asia,2019-09-12
BMWV0034,WBA48441300569,i4,2025,Electric,Asia,2025-06-30
BMWV0035,WBA75296114500,X3,2022,Petrol,Oceania,2022-11-23
BMWV0036,WBA83724376834,7 Series,2023,Petrol,Middle East,2023-06-16
BMWV0037,WBA64547166826,X5,2020,Diesel,Asia,2020-08-28
BMWV0038,WBA81235512157,X1,2022,Petrol,Europe,2022-09-23
BMWV0039,WBA64536080069,i5,2021,Diesel,North America,2021-10-22
BMWV0040,WBA82712151034,7 Series,2019,Electric,Europe,2019-03-15
BMWV0041,WBA64900771378,X1,2020,Electric,North America,2020-03-09
BMWV0042,WBA96140448658,X7,2020,Hybrid,North America,2020-04-09
BMWV0043,WBA52317144610,X7,2023,Hybrid,Asia,2023-05-22
BMWV0044,WBA66803267481,X1,2021,Hybrid,Asia,2021-05-31
BMWV0045,WBA88928245316,X5,2019,Petrol,Europe,2019-08-01
BMWV0046,WBA29245344723,7 Series,2024,Electric,North America,2024-10-05
BMWV0047,WBA80588562324,X5,2023,Diesel,Europe,2023-09-03
BMWV0048,WBA52680607423,5 Series,2024,Hybrid,Middle East,2024-12-20
BMWV0049,WBA30212197731,i4,2021,Diesel,Europe,2021-08-31
BMWV0050,WBA34185693785,5 Series,2021,Diesel,Oceania,2021-10-07
BMWV0051,WBA23098971773,X7,2021,Hybrid,Europe,2021-09-27
BMWV0052,WBA39652081958,i5,2024,Electric,Oceania,2024-04-13
BMWV0053,WBA86920245154,3 Series,2022,Hybrid,Oceania,2022-04-07
