claim_id,vehicle_id,claim_date,component,claim_amount,claim_status
,BMWV0005,2026-05-10,Engine,2500.0,Approved
CLM000002,BMWV0006,2026-05-11,Brake System,-500.0,Approved
CLM000003,BMWV0007,not-a-date,Battery,1200.0,Approved
CLM000004,BMWV9999,2026-05-12,Transmission,3200.0,Approved
CLM000005,BMWV0008,2026-05-13,Electrical System,850.0,Approved
CLM000006,BMWV0073,2025-01-24,Air Conditioning,815.59,Approved
CLM000006,BMWV0166,2025-03-09,Electrical System,944.68,Approved
CLM000008,BMWV0054,2024-01-22,Battery,1840.4,Approved
CLM000009,BMWV0184,2026-05-22,Cooling System,656.49,Approved
CLM000010,BMWV0100,2025-08-22,Engine,2440.79,Approved
CLM000011,BMWV0109,2025-10-26,Transmission,3595.68,Approved
CLM000012,BMWV0087,2024-05-04,Brake System,425.61,Approved
CLM000013,BMWV0173,2024-03-19,Brake System,516.46,Approved
CLM000014,BMWV0162,2026-05-07,Electrical System,2051.44,Approved
CLM000015,BMWV0137,2026-08-25,Suspension,795.04,Approved
CLM000016,BMWV0008,2024-02-20,Electrical System,504.42,Approved
CLM000017,BMWV0007,2025-12-28,Electrical System,1315.64,Approved
CLM000018,BMWV0036,2024-06-24,Engine,3276.14,Approved
CLM000019,BMWV0018,2026-05-19,Battery,2915.81,Rejected
CLM000020,BMWV0003,2024-09-09,Transmission,2011.84,Approved
CLM000021,BMWV0028,2026-08-23,Transmission,5258.85,Approved
CLM000022,BMWV0070,2024-09-02,Electrical System,3199.95,Approved
CLM000023,BMWV0172,2026-01-08,Transmission,5217.18,Approved
CLM000024,BMWV0149,2024-04-15,Transmission,4164.14,Approved
CLM000025,BMWV0028,2024-07-11,Transmission,5803.34,Approved
CLM000026,BMWV0054,2024-11-11,Cooling System,1759.33,Approved
CLM000027,BMWV0182,2024-10-28,Cooling System,322.16,Approved
CLM000028,BMWV0065,2025-07-01,Electrical System,1561.09,Approved
CLM000029,BMWV0100,2026-08-11,Fuel System,2179.55,Approved
CLM000030,BMWV0021,2025-12-16,Suspension,1230.06,Approved
CLM000031,BMWV0013,2026-07-22,Electrical System,412.69,Approved
CLM000032,BMWV0057,2026-02-17,Engine,6799.4,Rejected
CLM000033,BMWV0049,2024-09-24,Suspension,2324.89,Approved
CLM000034,BMWV0118,2024-06-18,Air Conditioning,563.16,Approved
CLM000035,BMWV0054,2025-07-04,Electrical System,2019.49,Approved
CLM000036,BMWV0138,2025-03-30,Suspension,860.69,Approved
CLM000037,BMWV0053,2025-10-12,Brake System,1364.81,Rejected
