dealer_id,model,region,month,sales,current_inventory,previous_month_sales,inventory_30_days_ago
103,3 Series,Central,1,49,99,16,78
180,X7,South,1,41,3,23,88
93,5 Series,North,1,16,97,43,90
15,i7,East,1,25,74,35,58
107,X3,South,1,14,85,10,16
72,iX1,West,1,24,37,23,81
189,X3,East,1,38,40,12,26
21,X5,South,1,49,55,20,85
103,X1,West,1,21,89,2,37
122,7 Series,Central,1,21,98,44,97
211,7 Series,East,1,37,55,5,27
215,5 Series,North,1,11,44,45,55
75,i4,East,1,31,45,49,71
203,5 Series,West,1,25,77,44,68
88,4 Series,East,1,19,30,37,85
117,X3,Central,1,43,45,38,97
100,iX3,West,1,28,96,38,82
104,2 Series,West,1,25,98,8,20
152,7 Series,North,1,15,88,40,74
131,4 Series,North,1,42,12,13,59
150,iX1,North,1,4,31,2,81
53,3 Series,Central,1,22,84,36,65
2,X7,East,1,26,60,37,16
88,7 Series,South,1,12,4,36,59
236,iX3,West,1,11,77,24,34
158,2 Series,Central,1,45,11,3,66
38,4 Series,North,1,13,39,31,5
130,4 Series,Central,1,17,70,15,11
192,X3,Central,1,13,9,38,79
188,5 Series,North,1,22,57,32,82
21,X7,East,1,4,12,37,83
161,iX,Central,1,38,51,2,10
204,iX,Central,1,20,8,33,71
58,iX3,Central,1,12,60,27,26
22,3 Series,Central,1,8,18,9,6
236,7 Series,North,1,21,91,8,91
89,2 Series,South,1,15,71,8,78
49,iX,North,1,19,19,36,30
219,5 Series,West,1,32,23,17,82
59,2 Series,South,1,39,53,44,25
170,4 Series,West,1,16,64,28,74
220,X1,North,1,11,1,41,71
188,5 Series,North,1,15,39,44,62
208,7 Series,South,1,19,62,3,24
15,X7,South,1,29,48,14,58
190,i5,South,1,14,16,26,28
190,iX1,South,1,48,76,31,21
175,X1,East,1,12,21,18,12
190,7 Series,North,1,17,90,17,71
51,i5,South,1,6,90,1,52
108,i7,Central,1,12,27,46,58
55,iX1,West,1,17,6,12,40
244,2 Series,West,1,24,89,27,86
64,i4,North,1,12,14,18,26
249,iX,South,1,19,32,45,58
131,iX1,Central,1,33,15,39,34
229,i5,East,1,39,99,22,28
51,iX1,Central,1,2,69,3,79
135,X5,West,1,49,49,3,78
21,i7,North,1,5,86,43,81
73,iX1,East,1,34,50,2,20
167,X1,West,1,17,75,9,12
18,i5,Central,1,35,93,36,72
132,X3,East,1,9,52,19,94
89,5 Series,Central,1,24,7,20,95
60,3 Series,West,1,8,8,2,39
14,7 Series,Central,1,33,92,16,8
242,X7,Central,1,14,3,19,91
250,X7,West,1,47,66,24,35
9,X5,Central,1,4,10,14,89
90,i4,West,1,46,39,46,94
53,4 Series,Central,1,43,33,32,13
130,i5,North,1,25,13,42,83
84,X1,North,1,1,20,43,19
92,X1,East,1,19,17,12,14
111,iX1,South,1,40,35,9,37
188,i4,Central,1,33,39,11,10
199,X7,Central,1,15,47,11,79
172,iX3,East,1,34,84,39,54
8,i7,East,1,22,82,41,69
175,X5,South,1,14,66,16,86
35,X1,Central,1,23,7,23,80
206,5 Series,Central,1,31,88,11,88
81,X7,South,1,6,3,45,64
164,X5,East,1,11,32,18,69
50,X1,Central,1,10,36,36,52
104,iX3,Central,1,12,45,16,3
132,X5,South,1,49,64,16,36
2,X5,East,1,28,72,48,58
134,X3,West,1,11,6,45,44
54,X1,East,1,20,69,11,54
106,iX,West,1,16,17,37,71
4,2 Series,East,1,4,5,26,17
54,X1,South,1,19,45,36,44
221,X5,North,1,33,94,42,85
191,i7,North,1,39,19,16,8
146,2 Series,South,1,31,42,28,2
218,X1,North,1,18,76,38,76
44,5 Series,South,1,7,10,22,56
162,iX3,West,1,33,88,7,20
