dealer_id,model,region,month,sales,current_inventory,previous_month_sales,inventory_30_days_ago,next_month_sales
D001,2 Series,North,2021-01,16,20,16,20,13
D001,2 Series,North,2021-02,13,18,16,16,16
D001,2 Series,North,2021-03,16,17,13,22,19
D001,2 Series,North,2021-04,19,13,16,9,16
D001,2 Series,North,2021-05,16,22,19,27,19
D001,2 Series,North,2021-06,19,22,16,24,17
D001,2 Series,North,2021-07,17,23,19,23,13
D001,2 Series,North,2021-08,13,21,17,26,18
D001,2 Series,North,2021-09,18,21,13,19,19
D001,2 Series,North,2021-10,19,24,18,19,20
D001,2 Series,North,2021-11,20,25,19,29,15
D001,2 Series,North,2021-12,15,27,20,23,16
D001,2 Series,North,2022-01,16,29,15,27,16
D001,2 Series,North,2022-02,16,26,16,27,15
D001,2 Series,North,2022-03,15,23,16,28,17
D001,2 Series,North,2022-04,17,22,15,20,21
D001,2 Series,North,2022-05,21,21,17,25,20
D001,2 Series,North,2022-06,20,19,21,20,17
D001,2 Series,North,2022-07,17,25,20,25,19
D001,2 Series,North,2022-08,19,21,17,19,16
D001,2 Series,North,2022-09,16,25,19,24,24
D001,2 Series,North,2022-10,24,28,16,25,22
D001,2 Series,North,2022-11,22,26,24,30,20
D001,2 Series,North,2022-12,20,28,22,27,17
D001,2 Series,North,2023-01,17,31,20,30,17
D001,2 Series,North,2023-02,17,35,17,40,22
D001,2 Series,North,2023-03,22,38,17,35,19
D001,2 Series,North,2023-04,19,35,22,34,17
D001,2 Series,North,2023-05,17,34,19,35,20
D001,2 Series,North,2023-06,20,38,17,38,17
D001,2 Series,North,2023-07,17,34,20,34,22
D001,2 Series,North,2023-08,22,31,17,26,15
D001,2 Series,North,2023-09,15,32,22,34,19
D001,2 Series,North,2023-10,19,33,15,32,21
D001,2 Series,North,2023-11,21,35,19,32,17
D001,2 Series,North,2023-12,17,32,21,31,18
D001,2 Series,North,2024-01,18,31,17,27,16
D001,2 Series,North,2024-02,16,31,18,31,22
D001,2 Series,North,2024-03,22,30,16,32,18
D001,2 Series,North,2024-04,18,25,22,26,21
D001,2 Series,North,2024-05,21,22,18,23,19
D001,2 Series,North,2024-06,19,22,21,17,23
