dealer_id,dealer_name,city,region,capacity,rating
D001,BMW Dealer 1,Delhi,North,239,3.6
D002,BMW Dealer 2,Chennai,South,238,3.2
D003,BMW Dealer 3,Jaipur,North,158,3.1
D004,BMW Dealer 4,Delhi,North,109,4.0
D005,BMW Dealer 5,Jaipur,North,100,4.4
D006,BMW Dealer 6,Mumbai,West,164,4.2
D007,BMW Dealer 7,Delhi,North,228,3.8
D008,BMW Dealer 8,Kolkata,East,105,4.9
D009,BMW Dealer 9,Kolkata,East,73,3.8
D010,BMW Dealer 10,Bhubaneswar,East,204,3.5
D010,BMW Dealer 11,Jaipur,North,167,4.1
D012,BMW Dealer 12,Mumbai,West,191,3.6
D013,BMW Dealer 13,Patna,East,99,4.4
D014,BMW Dealer 14,Jaipur,North,108,4.5
D015,BMW Dealer 15,Delhi,North,271,3.2
D016,BMW Dealer 16,Bhubaneswar,East,212,4.7
D017,BMW Dealer 17,Bengaluru,South,140,3.4
D018,BMW Dealer 18,Patna,East,289,4.4
D019,BMW Dealer 19,Jaipur,North,212,3.3
D020,BMW Dealer 20,Chennai,South,168,3.8
D021,BMW Dealer 21,Hyderabad,,133,4.7
D022,BMW Dealer 22,Delhi,North,260,3.1
D023,BMW Dealer 23,Bhubaneswar,East,118,3.1
D024,BMW Dealer 24,Kolkata,East,217,4.0
D025,BMW Dealer 25,Mumbai,West,117,3.3
D026,BMW Dealer 26,Patna,East,199,3.9
D027,BMW Dealer 27,Pune,West,106,5.0
D028,BMW Dealer 28,Hyderabad,South,176,3.2
D029,BMW Dealer 29,Delhi,North,89,4.3
D030,BMW Dealer 30,Ahmedabad,West,66,3.8
D031,BMW Dealer 31,Ahmedabad,West,114,8.5
D032,BMW Dealer 32,Jaipur,North,234,3.2
D033,BMW Dealer 33,Patna,East,137,3.2
D034,BMW Dealer 34,Mumbai,West,166,3.0
D035,BMW Dealer 35,Patna,East,245,3.4
D036,BMW Dealer 36,Jaipur,North,126,4.7
D037,BMW Dealer 37,Chennai,South,145,4.5
D038,BMW Dealer 38,Jaipur,North,132,4.0
D039,BMW Dealer 39,Chandigarh,North,274,5.0
D040,BMW Dealer 40,Kolkata,East,64,3.5
D041,BMW Dealer 41,Delhi,North,237,4.0
D042,BMW Dealer 42,Jaipur,North,246,3.3
D043,BMW Dealer 43,Ahmedabad,West,92,3.5
D044,BMW Dealer 44,Mumbai,West,287,4.1
D045,BMW Dealer 45,Hyderabad,South,129,3.8
D046,BMW Dealer 46,Bhubaneswar,East,280,4.0
D047,BMW Dealer 47,Delhi,North,107,3.1
D048,BMW Dealer 48,Jaipur,North,191,3.5
D049,BMW Dealer 49,Chennai,South,68,4.4
D050,BMW Dealer 50,Delhi,North,67,4.8
D051,BMW Dealer 51,Kolkata,East,181,3.5
D052,BMW Dealer 52,Mumbai,West,188,3.3
D053,BMW Dealer 53,Mumbai,West,250,3.9
D054,BMW Dealer 54,Mumbai,West,74,3.2
D055,BMW Dealer 55,Pune,West,158,3.8
D056,BMW Dealer 56,Jaipur,North,217,5.0
D057,BMW Dealer 57,Delhi,North,153,4.5
D058,BMW Dealer 58,Delhi,North,99,3.4
D059,BMW Dealer 59,Mumbai,West,158,3.4
D060,BMW Dealer 60,Mumbai,West,273,4.8
D061,BMW Dealer 61,Ahmedabad,West,75,3.1
D062,BMW Dealer 62,Delhi,North,287,4.5
D063,BMW Dealer 63,Chennai,South,154,4.0
D064,BMW Dealer 64,Bengaluru,South,281,3.1
D065,BMW Dealer 65,Mumbai,West,149,3.5
D066,BMW Dealer 66,Pune,West,158,4.4
D067,BMW Dealer 67,Mumbai,West,98,3.6
D068,BMW Dealer 68,Jaipur,North,238,4.1
D069,BMW Dealer 69,Kolkata,East,62,4.2
D070,BMW Dealer 70,Chennai,South,295,4.0
D071,BMW Dealer 71,Chennai,South,202,3.1
D072,BMW Dealer 72,Bengaluru,South,80,4.9
D073,BMW Dealer 73,Hyderabad,South,202,3.1
D074,BMW Dealer 74,Chandigarh,North,218,4.2
D075,BMW Dealer 75,Bhubaneswar,East,102,4.3
D076,BMW Dealer 76,Kolkata,East,117,3.8
D077,BMW Dealer 77,Bhubaneswar,East,130,4.9
D078,BMW Dealer 78,Delhi,North,167,4.2
D079,BMW Dealer 79,Delhi,North,187,3.4
D080,BMW Dealer 80,Kolkata,East,288,3.7
D081,BMW Dealer 81,Delhi,North,144,3.6
D082,BMW Dealer 82,Ahmedabad,West,230,3.6
D083,BMW Dealer 83,Jaipur,North,259,4.1
D084,BMW Dealer 84,Delhi,North,117,3.2
D085,BMW Dealer 85,Jaipur,North,191,3.3
D086,BMW Dealer 86,Patna,East,103,4.4
D087,BMW Dealer 87,Hyderabad,South,212,4.7
D088,BMW Dealer 88,Pune,West,281,4.8
D089,BMW Dealer 89,Delhi,North,212,3.8
D090,BMW Dealer 90,Kolkata,East,50,3.7
D091,BMW Dealer 91,Hyderabad,South,300,3.5
D092,BMW Dealer 92,Ahmedabad,West,230,3.9
D093,BMW Dealer 93,Delhi,North,69,4.9
D094,BMW Dealer 94,Hyderabad,South,59,4.7
D095,BMW Dealer 95,Bengaluru,South,82,3.1
D096,BMW Dealer 96,Kolkata,East,280,3.7
D097,BMW Dealer 97,Hyderabad,South,76,3.7
D098,BMW Dealer 98,Ahmedabad,West,241,3.3
D099,BMW Dealer 99,Chennai,South,299,4.6
D100,BMW Dealer 100,Bengaluru,South,56,3.4
