service_id,vehicle_id,dealer_id,service_date,service_type,odometer,parts_cost,labour_cost,failure_code
SRV00001,BMWV00854,D007,2026-04-21,Brake Service,141229,3980.85,1889.92,ELEC01
SRV00002,BMWV00636,D057,2026-02-21,Routine Service,122035,2915.73,216.79,NONE
SRV00003,BMWV00940,D005,2025-01-21,Brake Service,22046,3924.1,170.9,ENG01
SRV00004,BMWV00058,D039,2025-09-17,Repair,118204,375.66,1371.25,ELEC01
SRV00005,BMWV00055,D038,2026-05-20,Battery Check,110298,524.36,1516.33,BRK01
SRV00006,BMWV00887,D077,2026-03-17,Repair,7780,2294.39,955.21,ENG01
SRV00007,BMWV00903,D080,2025-09-26,Routine Service,94028,3272.06,1367.76,NONE
SRV00008,BMWV00466,D067,2024-12-02,Inspection,55457,584.63,73.96,NONE
SRV00009,BMWV00609,D025,2026-07-15,Inspection,38025,3204.95,549.76,ENG01
SRV00010,BMWV00494,D093,2025-09-27,Battery Check,53738,1253.6,1604.2,NONE
SRV00011,BMWV00132,D040,2025-08-21,Battery Check,139512,4800.72,1521.03,BAT01
SRV00012,BMWV00599,D070,2026-03-05,Oil Change,43642,2374.14,1226.49,BAT01
SRV00013,BMWV00379,D002,2025-06-14,Inspection,42906,333.72,1038.86,ELEC01
SRV00014,BMWV00881,D007,2025-03-08,Brake Service,56224,4883.73,1299.08,BRK01
SRV00015,BMWV00806,D009,2024-12-15,Oil Change,129708,3489.17,1964.75,ELEC01
SRV00016,BMWV00711,D043,2026-05-22,Inspection,92991,3099.71,866.46,BRK01
SRV00017,BMWV00109,D059,2026-06-16,Routine Service,135005,1136.06,57.21,BRK01
SRV00018,BMWV00711,D030,2025-04-22,Inspection,60872,1233.14,1482.44,BAT01
SRV00019,BMWV00828,D095,2025-01-19,Oil Change,109939,962.01,1980.26,BAT01
SRV00020,BMWV00011,D010,2025-01-01,Routine Service,35196,754.89,908.8,ELEC01
SRV00020,BMWV00936,D098,2025-01-03,Routine Service,12781,1035.66,604.0,BRK01
SRV00022,BMWV00908,D034,2026-01-06,Oil Change,94081,4245.29,529.63,BRK01
SRV00023,BMWV00023,D023,2026-05-13,Brake Service,31526,153.92,1371.03,ENG01
SRV00024,BMWV00672,D015,2024-12-12,Oil Change,84972,2308.21,770.8,BAT01
SRV00025,BMWV00678,D022,2026-08-21,Inspection,118696,4398.02,177.49,BRK01
SRV00026,BMWV00905,D017,2026-03-24,Oil Change,55248,2686.15,1403.99,BAT01
SRV00027,BMWV00615,D055,2025-10-13,Oil Change,17109,3827.26,1195.29,ELEC01
SRV00028,BMWV00303,D020,2024-12-01,Oil Change,18961,3165.82,596.14,BRK01
SRV00029,BMWV00873,D066,2025-08-21,Battery Check,59850,3650.13,1580.1,ELEC01
SRV00030,BMWV00068,D022,2025-06-04,Battery Check,138472,1902.62,1061.84,BRK01
SRV00031,BMWV00331,D092,2025-01-17,Inspection,131693,3592.47,1014.84,BAT01
SRV00032,BMWV00597,D052,2025-10-15,Inspection,14595,1075.64,1795.03,ENG01
SRV00033,BMWV00885,D031,2025-02-09,Oil Change,85215,2153.86,785.31,BRK01
SRV00034,BMWV00959,D048,2024-09-17,Inspection,27219,714.94,213.85,ENG01
SRV00035,BMWV00533,D046,2024-08-23,Inspection,15785,2353.0,1261.2,ENG01
SRV00036,BMWV00463,D060,2025-03-18,Battery Check,101341,4032.3,668.19,ENG01
SRV00037,BMWV00026,D023,2025-03-28,Oil Change,74631,3244.51,750.23,NONE
SRV00038,BMWV00303,D065,2025-06-09,Inspection,25488,3940.07,1856.88,NONE
SRV00039,BMWV00123,D010,2025-01-03,Routine Service,148137,1041.52,433.46,BAT01
SRV00040,BMWV00258,D039,2026-02-02,Repair,76949,993.68,1227.87,BRK01
SRV00041,,D097,2026-01-03,Repair,147377,4566.29,66.64,BAT01
SRV00042,BMWV00290,D045,2026-03-12,Battery Check,111367,4118.21,1527.72,NONE
SRV00043,BMWV00485,D084,2025-06-08,Oil Change,109203,1176.51,1460.5,BRK01
SRV00044,BMWV00487,D030,2025-06-12,Inspection,149864,3800.23,1458.9,ENG01
SRV00045,BMWV00350,D010,2024-11-16,Oil Change,117405,3862.15,1410.99,BRK01
SRV00046,BMWV00451,D058,2026-05-23,Inspection,12891,1904.77,1176.14,BRK01
SRV00047,BMWV00314,D095,2024-01-10,Battery Check,97972,1732.12,867.34,ENG01
SRV00048,BMWV00783,D100,2025-12-08,Inspection,83548,1664.09,95.32,NONE
SRV00049,BMWV00946,D018,2024-06-06,Brake Service,107468,4901.85,448.2,ENG01
SRV00050,BMWV00067,D069,2025-01-30,Oil Change,129460,587.76,1160.55,ENG01
SRV00051,BMWV00656,D039,2024-04-05,Oil Change,32345,3390.68,396.39,ELEC01
SRV00052,BMWV00502,D004,2024-07-10,Oil Change,23216,4561.16,802.49,BRK01
SRV00053,BMWV00240,D038,2025-11-06,Inspection,23344,2300.59,768.87,NONE
SRV00054,BMWV00177,D042,2026-05-30,Battery Check,107525,827.33,265.95,ELEC01
SRV00055,BMWV00430,D062,2026-01-30,Routine Service,106972,4777.73,1738.11,BRK01
SRV00056,BMWV00893,D027,2024-11-13,Battery Check,129460,835.97,1171.43,BAT01
SRV00057,BMWV00603,D026,2025-05-29,Repair,125312,1413.43,64.51,BRK01
SRV00058,BMWV00458,D009,2026-04-24,Battery Check,69707,2652.99,1825.09,ENG01
SRV00059,BMWV00473,D060,2025-08-12,Routine Service,28882,1475.16,1767.94,ENG01
SRV00060,BMWV00357,D090,2026-05-12,Repair,82974,1985.9,1655.69,BRK01
SRV00061,BMWV00427,D032,2024-07-02,Inspection,118266,-250,1826.12,BRK01
SRV00062,BMWV00717,D073,2024-04-07,Battery Check,16446,1236.49,1747.55,BAT01
SRV00063,BMWV00905,D081,2025-07-04,Brake Service,22496,3505.32,1458.7,BRK01
SRV00064,BMWV00932,D064,2025-02-25,Inspection,36779,4976.82,199.24,NONE
