sale_id,vehicle_id,dealer_id,customer_id,sale_date,model,region,price,quantity
S00001,BMWV00838,D031,C0081,2025-04-15,BMW 3 Series,West,86081.72,3
S00002,BMWV00460,D012,C0878,2025-05-25,BMW X3,West,86412.83,1
S00003,BMWV00511,D096,C0670,2024-01-19,BMW 5 Series,East,46803.98,2
S00004,BMWV00037,D072,C0563,2024-01-01,BMW 7 Series,South,129979.51,3
S00005,BMWV00988,D080,C0653,2024-11-07,BMW 2 Series,East,137362.75,3
S00006,BMWV00213,D084,C0688,2025-04-12,BMW i4,North,144290.84,2
S00007,BMWV00847,D007,C0837,2024-08-16,BMW X1,North,132096.51,2
S00008,BMWV00575,D099,C0635,2025-09-06,BMW 3 Series,South,89410.37,3
S00009,BMWV00374,D092,C0464,2024-04-26,BMW 3 Series,West,46205.26,3
S00010,BMWV00229,D001,C0350,2024-12-29,BMW 3 Series,North,130436.65,2
S00011,BMWV00562,D067,C0383,2025-12-19,BMW 3 Series,West,47227.06,1
S00012,BMWV00506,D018,C0842,2026-01-04,BMW X1,East,120388.75,2
S00013,BMWV00111,D033,C0626,2024-07-19,BMW 2 Series,East,56567.49,2
S00014,BMWV00222,D059,C0845,2026-03-11,BMW 3 Series,West,56916.56,2
S00015,BMWV00112,D097,C0425,2024-02-17,BMW 2 Series,South,141562.05,3
S00016,BMWV00604,D016,C0791,2026-07-02,BMW 5 Series,East,86808.03,3
S00017,BMWV00605,D065,C0138,2025-05-25,BMW 3 Series,West,35498.83,3
S00018,BMWV00050,D071,C0958,2025-03-19,BMW X7,South,131463.85,2
S00019,BMWV00948,D066,C0800,2026-08-01,BMW i4,West,139670.87,3
S00020,BMWV00594,D023,C0749,2026-04-14,BMW 2 Series,East,49763.9,2
S00020,BMWV00675,D077,C0621,2026-06-22,BMW 2 Series,East,72012.03,2
S00022,BMWV00430,D078,C0938,2025-12-10,BMW iX,North,122673.09,2
S00023,BMWV00409,D044,C0994,2024-10-28,BMW 3 Series,West,87077.26,1
S00024,BMWV00143,D053,C0617,2025-12-17,BMW 3 Series,West,136940.24,3
S00025,BMWV00308,D090,C0561,2026-05-31,BMW X5,East,71099.74,3
S00026,BMWV00959,D071,C0648,2024-08-10,BMW X5,South,58102.24,3
S00027,BMWV00733,D038,C0704,2024-12-19,BMW X5,North,140937.05,1
S00028,BMWV00729,D084,C0999,2024-07-01,BMW 3 Series,North,92947.75,3
S00029,BMWV00654,D042,C0728,2024-04-28,BMW 5 Series,North,122489.13,3
S00030,BMWV00493,D075,C0585,2026-08-23,BMW 5 Series,East,111723.08,2
S00031,BMWV00692,D096,C0916,2026-05-11,BMW iX,East,96398.82,2
S00032,BMWV00829,D002,C0536,2024-04-19,BMW i4,South,37906.3,1
S00033,BMWV00056,D086,C0058,2024-07-23,BMW iX,East,65702.5,1
S00034,BMWV00295,D088,C0257,2024-05-29,BMW 5 Series,West,131528.91,3
S00035,BMWV00805,D038,C0209,2026-02-10,BMW iX,North,97234.79,2
S00036,BMWV00835,D058,C0105,2025-09-22,BMW i4,North,134824.07,3
S00037,BMWV00577,D029,C0761,2025-10-24,BMW 3 Series,North,99546.11,1
S00038,BMWV00525,D090,C0295,2025-12-10,BMW 3 Series,East,111416.76,2
S00039,BMWV00398,D054,C0980,2026-03-18,BMW i4,West,147219.61,2
S00040,BMWV00991,D071,C0056,2024-01-14,BMW 7 Series,South,120522.05,1
S00041,,D100,C0882,2026-06-10,BMW 2 Series,South,85952.34,1
S00042,BMWV00935,D082,C0722,2025-12-27,BMW 2 Series,West,109477.72,3
S00043,BMWV00561,D095,C0618,2024-07-20,BMW X7,South,124256.88,1
S00044,BMWV00303,D058,C0182,2025-11-30,BMW X7,North,43563.93,1
S00045,BMWV00754,D066,C0123,2025-01-21,BMW 3 Series,West,39672.94,2
S00046,BMWV00571,D034,C0134,2024-06-13,BMW X3,West,102158.4,2
S00047,BMWV00006,D043,C0478,2025-12-27,BMW i4,West,142811.86,1
S00048,BMWV00159,D042,C0612,2024-02-22,BMW iX,North,123971.01,3
S00049,BMWV00632,D085,C0309,2025-05-17,BMW X3,North,125839.44,3
S00050,BMWV00368,D010,C0803,2025-12-25,BMW 5 Series,East,71553.79,1
S00051,BMWV00981,D024,C0534,2024-03-10,BMW X1,East,125419.7,1
S00052,BMWV00427,D070,C0550,2025-02-17,BMW X3,South,45573.74,1
S00053,BMWV00906,D028,C0680,2024-12-05,BMW 2 Series,South,73072.65,2
S00054,BMWV00225,D097,C0634,2025-06-27,BMW 5 Series,South,89608.58,3
S00055,BMWV00845,D097,C0665,2024-01-10,BMW 3 Series,South,48193.02,2
S00056,BMWV00458,D031,C0927,2025-10-19,BMW X7,West,105575.63,3
S00057,BMWV00251,D006,C0699,2026-06-25,BMW 2 Series,West,71907.76,1
S00058,BMWV00397,D033,C0554,2026-01-11,BMW iX,East,67525.33,3
S00059,BMWV00843,D099,C0384,2025-06-10,BMW 7 Series,South,127323.92,2
S00060,BMWV00500,D006,C0304,2026-07-08,BMW 7 Series,West,109925.74,2
S00061,BMWV00528,D010,C0971,2024-04-08,BMW i4,North,-5000,3
S00062,BMWV00548,D001,C0642,2024-03-08,BMW X3,North,59239.87,3
S00063,BMWV00794,D028,C0886,2025-12-02,BMW 5 Series,South,83784.09,1
S00064,BMWV00212,D069,C0849,2025-12-20,BMW X3,East,136043.28,3
S00065,BMWV00795,D056,C0663,2026-04-16,BMW 3 Series,North,143071.38,3
S00066,BMWV00704,D020,C0025,2025-04-15,BMW X5,South,117439.85,1
S00067,BMWV00091,D010,C0056,2024-07-01,BMW X7,East,126334.7,3
S00068,BMWV00074,D074,C0842,2024-08-21,BMW iX,North,139763.46,2
S00069,BMWV00399,D058,C0646,2025-02-18,BMW 7 Series,North,84797.88,1
S00070,BMWV00400,D087,C0122,2025-07-01,BMW X7,South,35678.38,3
S00071,BMWV00635,D009,C0775,2026-02-02,BMW X5,East,102344.92,3
S00072,BMWV00870,D010,C0367,2026-08-08,BMW X7,East,92826.25,2
S00073,BMWV00807,D088,C0309,2025-09-13,BMW i4,West,44948.1,2
S00074,BMWV00392,D051,C0842,2025-11-07,BMW X1,East,38544.2,1
S00075,BMWV00548,D029,C0140,2026-02-03,BMW X3,North,79964.15,3
S00076,BMWV00304,D082,C0148,2024-11-01,BMW i4,West,112888.24,3
S00077,BMWV00665,D048,C0981,2026-08-30,BMW X1,North,36282.27,3
S00078,BMWV00146,D016,C0043,2024-01-06,BMW 7 Series,East,100862.64,2
S00079,BMWV00552,D071,C0970,2024-03-28,BMW X3,South,70039.48,3
S00080,BMWV00761,D093,C0353,2024-08-04,BMW 5 Series,North,82455.27,3
S00081,BMWV00873,D066,C0146,not-a-date,BMW 5 Series,West,56159.16,3
S00082,BMWV00856,D033,C0199,2024-04-27,BMW 5 Series,East,55856.17,3
S00083,BMWV00874,D007,C0872,2026-02-08,BMW X1,North,142222.53,3
S00084,BMWV00474,D083,C0563,2024-03-15,BMW X7,North,68425.06,1
S00085,BMWV00258,D013,C0203,2026-01-13,BMW 7 Series,East,101768.5,2
S00086,BMWV00367,D017,C0688,2025-11-02,BMW X7,South,61971.28,2
S00087,BMWV00636,D009,C0922,2024-07-17,BMW i4,East,71545.38,2
S00088,BMWV00338,D079,C0676,2024-11-09,BMW X1,North,114747.68,1
S00089,BMWV00581,D073,C0374,2026-04-07,BMW 3 Series,South,71378.31,2
S00090,BMWV00174,D001,C0321,2024-09-09,BMW X1,North,125350.91,3
S00091,BMWV00759,D083,C0447,2024-10-10,BMW X7,North,131612.66,1
S00092,BMWV00697,D094,C0340,2026-06-17,BMW iX,South,90194.71,2
S00093,BMWV00369,D100,C0313,2025-05-13,BMW X5,South,98442.26,1
S00094,BMWV00663,D078,C0084,2026-05-11,BMW X1,North,67270.83,1
S00095,BMWV00914,D069,C0202,2024-09-26,BMW X5,East,119357.63,3
S00096,BMWV00080,D094,C0078,2026-07-02,BMW X3,South,37142.48,3
S00097,BMWV00648,D004,C0833,2025-08-18,BMW X7,North,101573.59,3
S00098,BMWV00219,D005,C0565,2024-09-23,BMW i4,North,97498.97,3
S00099,BMWV00485,D084,C0794,2024-06-01,BMW i4,North,77069.14,1
S00100,BMWV00914,D099,C0604,2026-01-20,BMW X5,South,133573.88,1
S00101,BMWV00477,D065,C0523,2024-04-02,BMW 2 Series,West,80630.29,3
S00102,BMWV00011,D085,C0245,2026-05-18,BMW i4,North,145860.03,3
S00103,BMWV00702,D022,C0776,2025-06-10,BMW 7 Series,North,51142.63,1
S00104,BMWV00185,D073,C0972,2025-08-02,BMW 3 Series,South,110832.53,1
S00105,BMWV00755,D094,C0496,2026-08-19,BMW i4,South,76261.49,1
S00106,BMWV00781,D063,C0238,2024-03-05,BMW 5 Series,South,65401.07,1
S00107,BMWV00044,D086,C0212,2025-06-14,BMW X3,East,139388.5,2
S00108,BMWV00399,D061,C0940,2025-04-10,BMW 7 Series,West,136378.48,1
S00109,BMWV00666,D042,C0106,2025-12-21,BMW X1,North,146370.76,3
S00110,BMWV00851,D036,C0855,2026-01-29,BMW i4,North,65281.35,3
S00111,BMWV00585,D023,C0386,2025-10-31,BMW X5,East,78529.63,3
S00112,BMWV00671,D010,C0530,2024-09-14,BMW 7 Series,East,78277.81,1
S00113,BMWV00530,D052,C0362,2026-04-16,BMW X5,West,134787.73,2
S00114,BMWV00813,D062,C0909,2025-09-10,BMW X3,North,35758.73,1
S00115,BMWV00452,D022,C0236,2024-03-19,BMW 3 Series,North,94172.25,2
S00116,BMWV00218,D020,C0192,2024-06-10,BMW X7,South,76655.64,3
S00117,BMWV00838,D016,C0677,2024-08-23,BMW 3 Series,East,82680.57,2
S00118,BMWV00739,D015,C0494,2025-11-22,BMW 2 Series,North,90063.68,1
S00119,BMWV00606,D021,C0663,2026-05-03,BMW 5 Series,,82253.41,1
S00120,BMWV00045,D017,C0588,2025-08-29,BMW i4,South,53529.85,3
S00121,BMWV00526,D006,C0913,2025-08-09,BMW X7,West,51889.49,1
S00122,BMWV00266,D024,C0530,2025-02-19,BMW 2 Series,East,103926.12,3
S00123,BMWV00654,D003,C0900,2026-01-06,BMW 5 Series,North,118717.05,2
S00124,BMWV00971,D010,C0222,2025-04-04,BMW X1,North,104750.48,2
S00125,BMWV00890,D062,C0175,2024-08-12,BMW X1,North,130491.81,3
S00126,BMWV00148,D075,C0841,2026-02-24,BMW 7 Series,East,55916.68,3
S00127,BMWV00525,D034,C0172,2026-01-11,BMW 3 Series,West,113842.98,2
S00128,BMWV00612,D076,C0071,2024-08-23,BMW X3,East,78494.31,1
S00129,BMWV00113,D003,C0208,2025-06-19,BMW X3,North,133853.04,3
S00130,BMWV00702,D054,C0847,2024-06-02,BMW 7 Series,West,104633.77,1
S00131,BMWV00489,D079,C0615,2024-02-09,BMW i4,North,135941.55,3
S00132,BMWV00517,D097,C0121,2024-04-05,BMW iX,South,90457.71,1
S00133,BMWV00925,D078,C0553,2026-04-27,BMW 2 Series,North,35138.02,3
S00134,BMWV00666,D056,C0535,2025-03-06,BMW X1,North,77593.41,1
S00135,BMWV00716,D068,C0440,2024-08-22,BMW X1,North,142918.49,2
S00136,BMWV00810,D099,C0391,2024-12-24,BMW 2 Series,South,102740.53,3
S00137,BMWV00931,D098,C0858,2025-12-14,BMW 5 Series,West,101253.89,2
S00138,BMWV00139,D033,C0489,2026-02-23,BMW 3 Series,East,61738.98,1
S00139,BMWV00292,D077,C0898,2025-07-10,BMW 2 Series,East,81994.37,1
S00140,BMWV00006,D091,C0762,2026-03-19,BMW i4,South,35818.12,3
S00141,BMWV00122,D067,C0008,2025-01-19,BMW 3 Series,West,110272.8,3
S00142,BMWV00825,D041,C0419,2025-01-05,BMW X7,North,47257.07,2
S00143,BMWV00669,D075,C0260,2024-09-24,BMW X1,East,133322.35,2
S00144,BMWV00580,D047,C0627,2024-10-09,BMW X3,North,149056.85,2
S00145,BMWV00775,D027,C0424,2025-07-19,BMW X1,West,125135.67,2
S00146,BMWV00185,D048,C0573,2025-07-22,BMW 3 Series,North,90632.42,2
S00147,BMWV00593,D045,C0793,2025-12-23,BMW iX,South,80784.92,1
S00148,BMWV00877,D085,C0122,2026-02-04,BMW X7,North,61423.7,3
S00149,BMWV00974,D021,C0103,2024-08-07,BMW 2 Series,,93459.51,2
S00150,BMWV00822,D071,C0629,2025-12-14,BMW 2 Series,South,113724.91,1
S00151,BMWV00166,D050,C0988,2025-10-13,BMW 7 Series,North,35608.42,1
S00152,BMWV00845,D019,C0483,2026-08-06,BMW 3 Series,North,104028.23,1
S00153,BMWV00067,D034,C0228,2025-01-14,BMW 2 Series,West,44204.57,1
S00154,BMWV00743,D050,C0954,2025-02-14,BMW X1,North,105606.04,3
S00155,BMWV00295,D092,C0987,2025-09-03,BMW 5 Series,West,41608.25,1
S00156,BMWV00657,D064,C0450,2024-01-11,BMW i4,South,58196.33,3
S00157,BMWV00955,D067,C0293,2024-07-18,BMW X3,West,38865.08,3
S00158,BMWV00524,D067,C0716,2024-08-25,BMW 3 Series,West,105746.85,3
S00159,BMWV00037,D047,C0245,2025-11-01,BMW 7 Series,North,35033.04,1
S00160,BMWV00090,D036,C0799,2025-02-13,BMW X7,North,75609.68,2
S00161,BMWV00417,D076,C0206,2025-06-14,BMW i4,East,36767.15,3
S00162,BMWV00072,D012,C0563,2024-10-18,BMW 3 Series,West,118505.95,3
S00163,BMWV00938,D075,C0357,2024-12-21,BMW 3 Series,East,145778.08,2
S00164,BMWV00233,D078,C0987,2024-07-18,BMW X5,North,87297.29,2
