vehicle_id,vin,model,model_year,fuel_type,region,manufacturing_date
BMWV00001,WBA00000000000001,BMW i4,2023,Electric,South,2020-12-28
BMWV00002,WBA00000000000002,BMW X1,2025,Petrol,North,2022-04-16
BMWV00003,WBA00000000000003,BMW 3 Series,2023,Petrol,South,2020-03-28
BMWV00004,WBA00000000000004,BMW 7 Series,2022,Hybrid,East,2020-07-21
BMWV00005,WBA00000000000005,BMW X3,2020,Diesel,South,2022-06-21
BMWV00006,WBA00000000000006,BMW i4,2022,Electric,North,2021-02-17
BMWV00007,WBA00000000000007,BMW i4,2025,Electric,West,2025-08-15
BMWV00008,WBA00000000000008,BMW X7,2022,Petrol,North,2019-04-18
BMWV00009,WBA00000000000009,BMW X5,2021,Diesel,East,2018-06-06
BMWV00010,WBA00000000000010,BMW 5 Series,2024,Diesel,West,2021-11-16
BMWV00011,WBA00000000000011,BMW i4,2023,Electric,North,2022-04-27
BMWV00012,WBA00000000000012,BMW 2 Series,2021,Petrol,East,2018-07-01
BMWV00013,WBA00000000000013,BMW iX,2020,Electric,South,2022-01-31
BMWV00014,WBA00000000000014,BMW iX,2020,Electric,East,2024-12-27
BMWV00015,WBA00000000000015,BMW i4,2025,Electric,North,2021-05-15
BMWV00016,WBA00000000000016,BMW X7,2022,Petrol,West,2021-08-29
BMWV00017,WBA00000000000017,BMW iX,2025,Electric,East,2024-03-20
BMWV00018,WBA00000000000018,BMW X1,2021,Petrol,West,2025-06-16
BMWV00019,WBA00000000000019,BMW iX,2025,Electric,South,2024-11-26
BMWV00020,WBA00000000000020,BMW 2 Series,2022,Petrol,West,2024-02-23
BMWV00021,WBA00000000000021,BMW 3 Series,2022,Petrol,East,2020-05-10
BMWV00022,WBA00000000000022,BMW iX,2024,Electric,East,2023-03-20
BMWV00023,WBA00000000000023,BMW 7 Series,2023,Hybrid,South,2023-09-25
BMWV00024,WBA00000000000024,BMW 7 Series,2025,Hybrid,South,2025-05-22
BMWV00025,WBA00000000000025,BMW 5 Series,2022,Diesel,East,2019-01-18
BMWV00026,WBA00000000000026,BMW X3,2025,Diesel,East,2020-07-09
BMWV00027,WBA00000000000027,BMW X3,2021,Diesel,North,2018-07-09
BMWV00028,WBA00000000000028,BMW X3,2023,Diesel,North,2023-02-09
BMWV00029,WBA00000000000029,BMW iX,2025,Electric,South,2025-10-23
BMWV00030,WBA00000000000030,BMW iX,2023,Electric,West,2020-09-26
BMWV00031,WBA00000000000031,BMW X1,2025,Petrol,North,2019-03-13
BMWV00032,WBA00000000000032,BMW iX,2021,Electric,South,2025-10-21
BMWV00033,WBA00000000000033,BMW X7,2023,Petrol,North,2024-04-02
BMWV00034,WBA00000000000034,BMW X3,2020,Diesel,West,2019-07-01
BMWV00035,WBA00000000000035,BMW 7 Series,2025,Hybrid,East,2022-12-18
BMWV00036,WBA00000000000036,BMW 2 Series,2025,Petrol,West,2024-02-23
BMWV00037,WBA00000000000037,BMW 7 Series,2021,Hybrid,West,2023-01-18
BMWV00038,WBA00000000000038,BMW X5,2021,Diesel,East,2023-11-06
BMWV00039,WBA00000000000039,BMW 7 Series,2025,Hybrid,South,2021-01-29
BMWV00040,WBA00000000000040,BMW 7 Series,2020,Hybrid,East,2020-08-18
BMWV00041,WBA00000000000041,BMW X5,2022,Diesel,East,2024-01-22
BMWV00042,WBA00000000000042,BMW 5 Series,2021,Diesel,South,2020-08-05
BMWV00043,WBA00000000000043,BMW iX,2025,Electric,South,2025-12-03
BMWV00044,WBA00000000000044,BMW X3,2020,Diesel,West,2022-07-28
BMWV00045,WBA00000000000045,BMW i4,2024,Electric,West,2022-08-31
BMWV00046,WBA00000000000046,BMW 3 Series,2021,Petrol,West,2022-05-15
BMWV00047,WBA00000000000047,BMW 2 Series,2025,Petrol,North,2024-06-16
BMWV00048,WBA00000000000048,BMW iX,2023,Electric,North,2021-12-11
BMWV00049,WBA00000000000049,BMW X5,2023,Diesel,West,2024-01-14
BMWV00050,WBA00000000000050,BMW X7,2024,Petrol,South,2023-06-23
,WBA00000000000051,BMW X3,2022,Diesel,West,2023-06-13
BMWV00052,WBA00000000000052,BMW 3 Series,2023,Petrol,East,2025-07-02
BMWV00053,WBA00000000000053,BMW iX,2025,Electric,South,2023-03-30
BMWV00054,WBA00000000000054,BMW X1,2024,Petrol,North,2022-06-02
BMWV00055,WBA00000000000055,BMW 2 Series,2024,Petrol,North,2018-12-10
BMWV00056,WBA00000000000056,BMW iX,2021,Electric,West,2020-01-15
BMWV00057,WBA00000000000057,BMW 3 Series,2022,Petrol,West,2021-09-02
BMWV00058,WBA00000000000058,BMW X3,2023,Diesel,East,2021-10-14
BMWV00059,WBA00000000000059,BMW iX,2022,Electric,West,2020-10-30
BMWV00060,WBA00000000000060,BMW 5 Series,2023,Diesel,North,2024-01-19
BMWV00061,WBA00000000000061,BMW 3 Series,2022,Petrol,South,2025-04-16
BMWV00062,WBA00000000000062,BMW 5 Series,2025,Diesel,North,2018-05-08
BMWV00063,WBA00000000000063,BMW X3,2021,Diesel,North,2024-12-19
BMWV00064,WBA00000000000064,BMW X1,2021,Petrol,South,2023-04-24
BMWV00065,WBA00000000000065,BMW 5 Series,2024,Diesel,South,2023-03-20
BMWV00066,WBA00000000000066,BMW X5,2022,Diesel,South,2024-10-17
BMWV00067,WBA00000000000067,BMW 2 Series,2025,Petrol,North,2019-11-02
BMWV00068,WBA00000000000068,BMW X5,2020,Diesel,North,2021-07-01
BMWV00069,WBA00000000000069,BMW 2 Series,2025,Petrol,West,2022-06-13
BMWV00070,WBA00000000000070,BMW X3,2020,Diesel,South,2019-02-22
BMWV00071,WBA00000000000071,BMW X5,2025,Diesel,North,2024-05-07
BMWV00072,WBA00000000000072,BMW 3 Series,2022,Petrol,West,2025-06-02
BMWV00073,WBA00000000000073,BMW i4,2020,Electric,East,2018-02-21
BMWV00074,WBA00000000000074,BMW iX,2023,Electric,North,2022-11-11
BMWV00075,WBA00000000000075,BMW i4,2025,Electric,West,2025-12-07
BMWV00076,WBA00000000000076,BMW X1,2023,Petrol,South,2023-11-08
BMWV00077,WBA00000000000077,BMW X5,2024,Diesel,West,2023-03-20
BMWV00078,WBA00000000000078,BMW iX,2025,Electric,East,2021-08-13
BMWV00079,WBA00000000000079,BMW X3,2020,Diesel,East,2023-01-21
BMWV00080,WBA00000000000080,BMW X3,2023,Diesel,West,2021-10-09
BMWV00081,WBA00000000000081,BMW 3 Series,2023,Petrol,East,2020-01-15
BMWV00082,WBA00000000000082,BMW 7 Series,2021,Hybrid,East,2020-11-24
BMWV00083,WBA00000000000083,BMW i4,2022,Electric,East,2024-03-26
BMWV00084,WBA00000000000084,BMW 3 Series,2024,Petrol,South,2018-12-17
BMWV00085,WBA00000000000085,BMW X3,2025,Diesel,West,2023-06-25
BMWV00086,WBA00000000000086,BMW X7,2021,Petrol,West,2025-03-30
BMWV00087,WBA00000000000087,BMW 7 Series,2023,Hybrid,North,2019-01-17
BMWV00088,WBA00000000000088,BMW X5,2021,Diesel,West,2025-10-04
BMWV00089,WBA00000000000089,BMW X3,2022,Diesel,East,2023-04-23
BMWV00090,WBA00000000000090,BMW X7,2024,Petrol,East,2022-10-09
BMWV00091,WBA00000000000091,BMW X7,2022,Petrol,East,2025-11-18
BMWV00092,WBA00000000000092,BMW 7 Series,2022,Hybrid,East,2020-10-26
BMWV00093,WBA00000000000093,BMW X3,2020,Diesel,South,2021-07-16
BMWV00094,WBA00000000000094,BMW 5 Series,2025,Diesel,South,2020-02-24
BMWV00095,WBA00000000000095,BMW X3,2025,Diesel,West,2021-02-06
BMWV00096,WBA00000000000096,BMW 2 Series,2024,Petrol,East,2019-02-16
BMWV00097,WBA00000000000097,BMW X3,2022,Diesel,South,2022-01-18
BMWV00098,WBA00000000000098,BMW X1,2022,Petrol,North,2025-12-10
BMWV00099,WBA00000000000099,BMW X7,2021,Petrol,East,2018-07-06
BMWV00100,WBA00000000000100,BMW 3 Series,2024,Petrol,East,2025-10-27
BMWV00100,WBA00000000000101,BMW X1,2025,Petrol,West,2019-02-25
BMWV00102,WBA00000000000102,BMW 3 Series,2024,Petrol,East,2023-04-07
BMWV00103,WBA00000000000103,BMW 7 Series,2023,Hybrid,East,2020-01-26
BMWV00104,WBA00000000000104,BMW 3 Series,2022,Petrol,West,2019-04-13
BMWV00105,WBA00000000000105,BMW 5 Series,2023,Diesel,West,2018-10-31
BMWV00106,WBA00000000000106,BMW 2 Series,2025,Petrol,North,2019-09-14
BMWV00107,WBA00000000000107,BMW X1,2024,Petrol,East,2018-12-15
