event_id,vehicle_id,vin,timestamp,battery_level,speed,temperature,latitude,longitude,quarantine_dataset,quarantine_error_type,quarantine_error_message,quarantine_validation_rule,quarantine_timestamp
EVT0023368,BMW00319,WBA00000000000319,2026-03-23 03:15:00,,137.94,40.25,38.369319,122.174081,telemetry,NULL_VALUE|OUT_OF_RANGE,Null values in: battery_level | Out-of-range value in: battery_level,NULL_VALUE|OUT_OF_RANGE,2026-09-18T06:14:29.923892+00:00
EVT0099310,BMW00944,WBA00000000000944,2026-12-11 19:45:00,57.61,65.89,-100.0,8.982255,35.629391,telemetry,OUT_OF_RANGE,Out-of-range value in: temperature,OUT_OF_RANGE,2026-09-18T06:14:29.923892+00:00
EVT0009294,BMW00340,WBA00000000000340,2026-15-40 99:99:99,11.91,42.14,5.82,11.969181,101.427776,telemetry,INVALID_DATE,Invalid date in: timestamp,INVALID_DATE,2026-09-18T06:14:29.923892+00:00
EVT0042160,BMW00502,INVALIDVIN,2026-05-27 09:15:00,13.32,129.35,12.31,10.411028,72.867597,telemetry,INVALID_VIN,Invalid or missing VIN,INVALID_VIN,2026-09-18T06:14:29.923892+00:00
EVT0041502,BMWX00001,WBA00000000000315,2026-05-25 02:25:00,65.94,154.76,25.33,35.404415,-1.753868,telemetry,REFERENTIAL_INTEGRITY,Referential integrity violation,REFERENTIAL_INTEGRITY,2026-09-18T06:14:29.923892+00:00
EVT0050502,BMW00760,INVALIDVIN,2026-06-25 08:25:00,57.84,143.13,1.38,46.745321,107.625722,telemetry,INVALID_VIN,Invalid or missing VIN,INVALID_VIN,2026-09-18T06:14:29.923892+00:00
EVT0076593,BMW00932,WBA00000000000932,2026-09-23 22:40:00,35.48,144.55,200.0,48.327051,4.67234,telemetry,OUT_OF_RANGE,Out-of-range value in: temperature,OUT_OF_RANGE,2026-09-18T06:14:29.923892+00:00
BAD00049,UNKNOWN,BADVIN,not-a-date,999.0,-50.0,999.0,999.0,999.0,telemetry,INVALID_VIN|INVALID_DATE|OUT_OF_RANGE|REFERENTIAL_INTEGRITY,"Invalid or missing VIN | Invalid date in: timestamp | Out-of-range value in: battery_level, temperature, speed | Referential integrity violation",INVALID_VIN|INVALID_DATE|OUT_OF_RANGE|REFERENTIAL_INTEGRITY,2026-09-18T06:14:29.923892+00:00
EVT0085900,BMWX00032,WBA00000000000886,2026-10-26 06:15:00,42.23,30.05,13.27,42.479464,-2.51924,telemetry,REFERENTIAL_INTEGRITY,Referential integrity violation,REFERENTIAL_INTEGRITY,2026-09-18T06:14:29.923892+00:00
EVT0065771,BMW00497,WBA00000000000497,2026-08-17 08:50:00,43.24,102.84,,50.812058,-102.200463,telemetry,NULL_VALUE|OUT_OF_RANGE,Null values in: temperature | Out-of-range value in: temperature,NULL_VALUE|OUT_OF_RANGE,2026-09-18T06:14:29.923892+00:00
EVT0061192,BMW00291,,2026-08-01 11:15:00,35.18,41.77,25.97,36.951546,-13.182279,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-18T06:14:29.923892+00:00
EVT0070077,BMW00470,WBA00000000000470,2026-15-40 99:99:99,33.22,130.21,26.45,19.896276,-64.509459,telemetry,INVALID_DATE,Invalid date in: timestamp,INVALID_DATE,2026-09-18T06:14:29.923892+00:00
EVT0056377,BMW00083,INVALIDVIN,2026-07-15 18:00:00,65.83,134.32,27.88,33.581077,-21.326338,telemetry,INVALID_VIN,Invalid or missing VIN,INVALID_VIN,2026-09-18T06:14:29.923892+00:00
EVT0007118,BMW00809,WBA00000000000809,2026-01-25 17:05:00,,39.77,-3.31,37.258145,108.342514,telemetry,NULL_VALUE|OUT_OF_RANGE,Null values in: battery_level | Out-of-range value in: battery_level,NULL_VALUE|OUT_OF_RANGE,2026-09-18T06:14:29.923892+00:00
EVT0071954,BMW00118,WBA00000000000118,2026-15-40 99:99:99,40.39,155.29,50.57,10.863591,-75.535631,telemetry,INVALID_DATE,Invalid date in: timestamp,INVALID_DATE,2026-09-18T06:14:29.923892+00:00
