vehicle_id,model,city,battery_date,battery_percentage,battery_status
1001,BMW X1,Chennai,2026-06-01,92,Healthy
1002,BMW X3,Chennai,2026-06-01,86,Healthy
1003,BMW 3 Series,Mumbai,2026-06-01,78,Healthy
1004,BMW X5,Delhi,2026-06-01,81,Healthy
1005,BMW i4,Chennai,2026-06-01,48,Warning
1006,BMW iX,Bengaluru,2026-06-01,35,Critical
1007,BMW X1,Mumbai,2026-06-01,74,Healthy
1008,BMW X3,Delhi,2026-06-01,68,Healthy
1009,BMW 5 Series,Chennai,2026-06-01,89,Healthy
1010,BMW i4,Bengaluru,2026-06-01,52,Warning
1011,BMW 7 Series,Mumbai,2026-07-01,78,Healthy
1012,BMW i4,Chennai,2026-06-01,88,Healthy
1013,BMW iX,Chennai,2026-08-01,73,Healthy
1014,BMW X3,Bengaluru,2026-05-15,98,Healthy
1015,BMW 5 Series,Bengaluru,2026-06-01,82,Healthy
1016,BMW X5,Chennai,2026-08-15,49,Warning
1017,BMW X1,Hyderabad,2026-08-15,46,Warning
1018,BMW X3,Mumbai,2026-08-01,78,Healthy
1019,BMW 5 Series,Mumbai,2026-08-15,53,Warning
1020,BMW i7,Chennai,2026-06-01,76,Healthy
1021,BMW 7 Series,Ahmedabad,2026-05-15,81,Healthy
1022,BMW 3 Series,Pune,2026-08-01,51,Warning
1023,BMW i5,Delhi,2026-05-01,88,Healthy
1024,BMW 3 Series,Ahmedabad,2026-08-01,52,Warning
1025,BMW X1,Delhi,2026-07-15,88,Healthy
1026,BMW X5,Hyderabad,2026-05-15,48,Warning
1027,BMW 3 Series,Bengaluru,2026-06-15,95,Healthy
1028,BMW X3,Hyderabad,2026-05-15,62,Healthy
1029,BMW 5 Series,Ahmedabad,2026-05-15,60,Healthy
1030,BMW 3 Series,Kolkata,2026-05-15,84,Healthy
1031,BMW X1,Ahmedabad,2026-08-15,86,Healthy
1032,BMW X1,Pune,2026-08-15,89,Healthy
1033,BMW 5 Series,Hyderabad,2026-05-15,73,Healthy
1034,BMW X3,Chennai,2026-05-15,47,Warning
1035,BMW X1,Ahmedabad,2026-08-15,90,Healthy
1036,BMW X1,Chennai,2026-08-01,80,Healthy
1037,BMW 3 Series,Delhi,2026-06-01,90,Healthy
1038,BMW X3,Kolkata,2026-08-01,84,Healthy
1039,BMW i7,Kolkata,2026-06-15,26,Critical
1040,BMW X5,Mumbai,2026-08-15,61,Healthy
1041,BMW iX,Delhi,2026-06-15,34,Critical
1042,BMW X1,Pune,2026-05-01,97,Healthy
1043,BMW i7,Delhi,2026-07-01,25,Critical
1044,BMW i7,Chennai,2026-06-01,32,Critical
1045,BMW i5,Pune,2026-05-15,75,Healthy
1046,BMW 7 Series,Pune,2026-05-15,81,Healthy
1047,BMW X5,Ahmedabad,2026-06-15,69,Healthy
1048,BMW 5 Series,Hyderabad,2026-08-15,82,Healthy
1049,BMW 3 Series,Pune,2026-08-15,96,Healthy
1050,BMW 5 Series,Bengaluru,2026-08-01,74,Healthy
1051,BMW X7,Delhi,2026-05-01,92,Healthy
1052,BMW i4,Kolkata,2026-06-15,87,Healthy
1053,BMW X5,Bengaluru,2026-07-15,97,Healthy
1054,BMW X3,Bengaluru,2026-06-01,93,Healthy
1055,BMW X7,Delhi,2026-07-01,55,Warning
1056,BMW 7 Series,Pune,2026-05-15,58,Healthy
1057,BMW 5 Series,Delhi,2026-07-01,83,Healthy
1058,BMW X1,Delhi,2026-08-01,91,Healthy
1059,BMW i7,Chennai,2026-06-15,73,Healthy
1060,BMW i4,Ahmedabad,2026-07-01,82,Healthy
1061,BMW 5 Series,Pune,2026-08-15,77,Healthy
1062,BMW X1,Bengaluru,2026-05-15,87,Healthy
1063,BMW i7,Chennai,2026-05-01,70,Healthy
1064,BMW i5,Bengaluru,2026-08-15,85,Healthy
1065,BMW X5,Ahmedabad,2026-08-15,83,Healthy
1066,BMW 7 Series,Chennai,2026-06-15,86,Healthy
1067,BMW X1,Ahmedabad,2026-07-01,71,Healthy
1068,BMW 3 Series,Hyderabad,2026-06-01,98,Healthy
1069,BMW X3,Ahmedabad,2026-05-01,90,Healthy
1070,BMW X7,Mumbai,2026-07-15,47,Warning
1071,BMW 7 Series,Delhi,2026-06-15,86,Healthy
1072,BMW iX,Bengaluru,2026-08-01,79,Healthy
1073,BMW iX,Hyderabad,2026-08-01,48,Warning
1074,BMW X3,Bengaluru,2026-07-01,77,Healthy
1075,BMW i4,Pune,2026-06-01,70,Healthy
1076,BMW i7,Kolkata,2026-08-01,34,Critical
1077,BMW i7,Ahmedabad,2026-07-15,37,Warning
1078,BMW i4,Pune,2026-08-15,59,Healthy
