vehicle_id,model,city,fault_date,fault_type,severity
1001,BMW X1,Chennai,2026-02-10,Engine,High
1002,BMW X3,Chennai,2026-02-22,Electrical,Medium
1005,BMW i4,Chennai,2026-03-18,Battery,High
1009,BMW 5 Series,Chennai,2026-05-11,Infotainment,Low
1003,BMW 3 Series,Mumbai,2026-02-28,Brake,Medium
1007,BMW X1,Mumbai,2026-04-02,Suspension,Medium
1004,BMW X5,Delhi,2026-03-05,Engine,High
1008,BMW X3,Delhi,2026-04-20,Electrical,Medium
1006,BMW iX,Bengaluru,2026-04-15,Battery,High
1010,BMW i4,Bengaluru,2026-05-20,Charging,Medium
1011,BMW i7,Hyderabad,2026-03-12,Electrical,Low
1012,BMW iX,Hyderabad,2026-06-17,Brake,Medium
1013,BMW X5,Hyderabad,2026-05-17,Steering,Medium
1014,BMW X7,Chennai,2026-05-16,Charging,High
1015,BMW i5,Delhi,2026-01-12,Engine,Low
1016,BMW i5,Chennai,2026-02-17,Battery,Low
1017,BMW i4,Bengaluru,2026-03-03,Charging,Medium
1018,BMW iX,Chennai,2026-06-12,Infotainment,High
1019,BMW 5 Series,Hyderabad,2026-02-01,Engine,Low
1020,BMW i5,Chennai,2026-03-28,Transmission,Medium
1021,BMW 7 Series,Chennai,2026-05-01,AC,Medium
1022,BMW i5,Delhi,2026-08-02,Infotainment,Low
1023,BMW X1,Pune,2026-02-28,Transmission,Low
1024,BMW 3 Series,Bengaluru,2026-05-02,Charging,Medium
1025,BMW i5,Ahmedabad,2026-04-16,AC,Low
1026,BMW i4,Ahmedabad,2026-04-18,Suspension,Low
1027,BMW X5,Bengaluru,2026-04-09,Transmission,Low
1028,BMW X1,Bengaluru,2026-06-16,Steering,Low
1029,BMW i4,Kolkata,2026-08-24,Cooling,Low
1030,BMW iX,Bengaluru,2026-03-01,Battery,Low
1031,BMW iX,Bengaluru,2026-06-06,Battery,Low
1032,BMW i5,Mumbai,2026-08-04,AC,Low
1033,BMW i5,Pune,2026-07-23,Charging,High
1034,BMW i4,Ahmedabad,2026-02-22,Steering,High
1035,BMW X1,Kolkata,2026-01-06,Battery,High
1036,BMW i5,Bengaluru,2026-06-06,Electrical,High
1037,BMW X5,Chennai,2026-03-06,Brake,Low
1038,BMW X1,Mumbai,2026-03-16,AC,High
1039,BMW X3,Delhi,2026-04-10,Battery,High
1040,BMW 7 Series,Kolkata,2026-03-04,Charging,High
