vehicle_id,model,city,sale_date,sales_amount,quantity
1001,BMW X1,Chennai,2026-01-15,5200000,1
1002,BMW X3,Chennai,2026-01-20,7200000,1
1003,BMW 3 Series,Mumbai,2026-02-05,6100000,1
1004,BMW X5,Delhi,2026-02-18,9800000,1
1005,BMW i4,Chennai,2026-03-02,7600000,1
1006,BMW iX,Bengaluru,2026-03-12,12500000,1
1007,BMW X1,Mumbai,2026-03-25,5300000,1
1008,BMW X3,Delhi,2026-04-08,7300000,1
1009,BMW 5 Series,Chennai,2026-04-19,8200000,1
1010,BMW i4,Bengaluru,2026-05-03,7700000,1
1011,BMW 3 Series,Mumbai,2026-07-24,12560000,2
1012,BMW 3 Series,Chennai,2026-04-12,6100000,1
1013,BMW 7 Series,Kolkata,2026-04-05,17640000,1
1014,BMW X3,Chennai,2026-07-25,6910000,1
1015,BMW X7,Ahmedabad,2026-05-16,12960000,1
1016,BMW X5,Bengaluru,2026-05-24,9410000,1
1017,BMW 3 Series,Kolkata,2026-04-19,6040000,1
1018,BMW 5 Series,Chennai,2026-06-18,8280000,1
1019,BMW X1,Pune,2026-08-09,4990000,1
1020,BMW i5,Mumbai,2026-08-26,9980000,1
1021,BMW i7,Pune,2026-03-02,21630000,1
1022,BMW i7,Pune,2026-04-10,63000000,3
1023,BMW i5,Delhi,2026-07-14,10820000,1
1024,BMW i7,Bengaluru,2026-08-20,22050000,1
1025,BMW i5,Hyderabad,2026-03-27,10080000,1
1026,BMW 5 Series,Pune,2026-02-20,8040000,1
1027,BMW i5,Chennai,2026-08-09,29940000,3
1028,BMW X3,Chennai,2026-04-03,6910000,1
1029,BMW X3,Hyderabad,2026-02-22,7130000,1
1030,BMW 7 Series,Kolkata,2026-01-14,18900000,1
1031,BMW X1,Hyderabad,2026-02-05,5460000,1
1032,BMW X3,Hyderabad,2026-08-04,7560000,1
1033,BMW 3 Series,Bengaluru,2026-04-25,5800000,1
1034,BMW i5,Pune,2026-05-06,10920000,1
1035,BMW i5,Pune,2026-06-01,10600000,1
1036,BMW X3,Hyderabad,2026-06-07,7490000,1
1037,BMW 7 Series,Delhi,2026-01-25,18720000,1
1038,BMW X5,Delhi,2026-03-03,9310000,1
1039,BMW X1,Kolkata,2026-08-18,5300000,1
1040,BMW iX,Ahmedabad,2026-01-28,12250000,1
1041,BMW X7,Delhi,2026-06-27,14040000,1
1042,BMW 5 Series,Hyderabad,2026-01-25,8280000,1
1043,BMW X3,Pune,2026-02-20,7060000,1
1044,BMW 5 Series,Pune,2026-06-14,8280000,1
1045,BMW i4,Mumbai,2026-08-12,7900000,1
1046,BMW 7 Series,Bengaluru,2026-08-11,18540000,1
1047,BMW 5 Series,Bengaluru,2026-05-14,7950000,1
1048,BMW X5,Ahmedabad,2026-08-14,10290000,1
1049,BMW X5,Delhi,2026-02-25,9310000,1
1050,BMW 5 Series,Ahmedabad,2026-03-10,8200000,1
1051,BMW i5,Kolkata,2026-04-21,10820000,1
1052,BMW 7 Series,Bengaluru,2026-03-28,18360000,1
1053,BMW 5 Series,Mumbai,2026-02-27,8200000,1
1054,BMW iX,Hyderabad,2026-06-13,12380000,1
1055,BMW X1,Mumbai,2026-04-26,10500000,2
1056,BMW X7,Mumbai,2026-05-13,13360000,1
1057,BMW X5,Delhi,2026-05-18,18820000,2
1058,BMW X3,Mumbai,2026-05-20,7270000,1
1059,BMW 7 Series,Bengaluru,2026-03-02,17460000,1
1060,BMW i7,Chennai,2026-03-04,21000000,1
1061,BMW i7,Kolkata,2026-03-13,20160000,1
1062,BMW X1,Pune,2026-03-26,5040000,1
1063,BMW 5 Series,Hyderabad,2026-08-15,8280000,1
1064,BMW i7,Pune,2026-06-25,22050000,1
1065,BMW X5,Bengaluru,2026-02-01,9510000,1
1066,BMW X7,Ahmedabad,2026-07-26,13640000,1
1067,BMW X5,Delhi,2026-03-14,9600000,1
1068,BMW iX,Delhi,2026-03-03,12620000,1
1069,BMW X5,Mumbai,2026-02-17,9600000,1
1070,BMW X7,Chennai,2026-08-07,13500000,1
1071,BMW 5 Series,Kolkata,2026-03-25,8200000,1
1072,BMW X7,Chennai,2026-08-13,13900000,1
1073,BMW i7,Chennai,2026-08-23,20580000,1
1074,BMW i4,Kolkata,2026-04-02,7900000,1
1075,BMW X3,Chennai,2026-01-16,7130000,1
1076,BMW X3,Ahmedabad,2026-01-06,13960000,2
1077,BMW i4,Pune,2026-01-24,23040000,3
1078,BMW 7 Series,Bengaluru,2026-04-01,17460000,1
1079,BMW X7,Delhi,2026-04-04,14040000,1
1080,BMW i5,Hyderabad,2026-02-13,9980000,1
1081,BMW X3,Kolkata,2026-08-14,7560000,1
1082,BMW 5 Series,Mumbai,2026-01-12,8450000,1
1083,BMW i5,Delhi,2026-04-01,10820000,1
1084,BMW 7 Series,Hyderabad,2026-01-15,17820000,1
