vehicle_id,model,city,warranty_date,fault_type,warranty_cost
1001,BMW X1,Chennai,2026-02-10,Engine,45000
1002,BMW X3,Chennai,2026-02-22,Electrical,65000
1005,BMW i4,Chennai,2026-03-18,Battery,125000
1009,BMW 5 Series,Chennai,2026-05-11,Infotainment,55000
1003,BMW 3 Series,Mumbai,2026-02-28,Brake,38000
1007,BMW X1,Mumbai,2026-04-02,Suspension,42000
1004,BMW X5,Delhi,2026-03-05,Engine,95000
1008,BMW X3,Delhi,2026-04-20,Electrical,72000
1006,BMW iX,Bengaluru,2026-04-15,Battery,145000
1010,BMW i4,Bengaluru,2026-05-20,Charging,85000
1011,BMW i5,Pune,2026-03-02,Charging,117000
1012,BMW X7,Pune,2026-03-24,Transmission,67000
1013,BMW 3 Series,Mumbai,2026-07-19,Cooling,64000
1014,BMW X5,Ahmedabad,2026-07-08,Infotainment,51000
1015,BMW iX,Ahmedabad,2026-05-17,Electrical,72000
1016,BMW X3,Kolkata,2026-07-02,Battery,142000
1017,BMW i4,Pune,2026-08-11,Battery,122000
1018,BMW X1,Pune,2026-02-21,Charging,94000
1019,BMW i4,Delhi,2026-07-24,Suspension,45000
1020,BMW iX,Mumbai,2026-04-10,Battery,150000
1021,BMW X5,Kolkata,2026-01-27,Steering,80000
1022,BMW 3 Series,Hyderabad,2026-08-09,Battery,133000
1023,BMW i7,Bengaluru,2026-08-14,Charging,81000
1024,BMW 7 Series,Mumbai,2026-07-09,Infotainment,57000
1025,BMW 3 Series,Ahmedabad,2026-07-06,Suspension,32000
1026,BMW X5,Pune,2026-02-24,AC,56000
1027,BMW 5 Series,Delhi,2026-03-18,Transmission,60000
1028,BMW i4,Ahmedabad,2026-07-09,Cooling,46000
1029,BMW X5,Delhi,2026-08-01,Brake,27000
1030,BMW X1,Delhi,2026-08-04,Steering,43000
1031,BMW iX,Delhi,2026-02-27,Transmission,63000
1032,BMW X1,Bengaluru,2026-08-22,Brake,46000
1033,BMW i4,Hyderabad,2026-02-12,Cooling,36000
1034,BMW X1,Mumbai,2026-06-18,AC,50000
1035,BMW 7 Series,Delhi,2026-03-20,Suspension,51000
1036,BMW X3,Delhi,2026-04-26,Cooling,36000
1037,BMW 3 Series,Chennai,2026-02-02,Suspension,45000
1038,BMW iX,Bengaluru,2026-03-07,Transmission,91000
1039,BMW i4,Delhi,2026-08-06,Brake,54000
1040,BMW i4,Kolkata,2026-04-14,Cooling,37000
1041,BMW X1,Bengaluru,2026-06-10,Battery,159000
1042,BMW X3,Delhi,2026-04-17,Battery,156000
1043,BMW 7 Series,Pune,2026-01-10,Suspension,38000
1044,BMW 7 Series,Pune,2026-05-22,Steering,46000
1045,BMW 3 Series,Kolkata,2026-02-18,Electrical,70000
1046,BMW i5,Kolkata,2026-03-11,Suspension,54000
1047,BMW X3,Kolkata,2026-06-01,Cooling,65000
1048,BMW i5,Chennai,2026-08-14,Suspension,63000
1049,BMW 5 Series,Bengaluru,2026-01-04,Transmission,118000
1050,BMW iX,Pune,2026-05-12,Infotainment,43000
1051,BMW 7 Series,Ahmedabad,2026-04-13,Charging,91000
1052,BMW X5,Hyderabad,2026-07-18,Cooling,72000
1053,BMW iX,Kolkata,2026-05-23,Charging,120000
1054,BMW i4,Bengaluru,2026-06-23,Transmission,126000
1055,BMW i7,Chennai,2026-03-20,Cooling,58000
1056,BMW 5 Series,Bengaluru,2026-02-11,Electrical,66000
1057,BMW 7 Series,Pune,2026-06-17,AC,34000
1058,BMW 5 Series,Mumbai,2026-07-19,Cooling,62000
1059,BMW 3 Series,Chennai,2026-06-21,Battery,94000
1060,BMW 3 Series,Ahmedabad,2026-04-24,Transmission,94000
1061,BMW X7,Kolkata,2026-05-28,Brake,40000
1062,BMW i4,Bengaluru,2026-04-06,Suspension,63000
1063,BMW X1,Bengaluru,2026-08-03,Brake,30000
1064,BMW iX,Kolkata,2026-01-28,Steering,41000
1065,BMW 7 Series,Delhi,2026-02-01,Charging,96000
1066,BMW 3 Series,Kolkata,2026-03-12,Engine,46000
1067,BMW X7,Chennai,2026-04-26,Cooling,58000
1068,BMW X7,Hyderabad,2026-03-23,AC,67000
1069,BMW i4,Kolkata,2026-03-14,Steering,49000
1070,BMW i4,Bengaluru,2026-04-26,Cooling,36000
1071,BMW 7 Series,Bengaluru,2026-03-14,AC,37000
1072,BMW X7,Kolkata,2026-03-16,Charging,119000
1073,BMW i7,Kolkata,2026-03-28,Brake,49000
1074,BMW i5,Chennai,2026-03-06,Suspension,44000
1075,BMW i4,Kolkata,2026-05-23,Charging,106000
1076,BMW i7,Delhi,2026-03-21,Engine,57000
1077,BMW i7,Kolkata,2026-02-06,AC,48000
1078,BMW i7,Kolkata,2026-05-09,Cooling,52000
1079,BMW X1,Chennai,2026-01-02,Transmission,104000
1080,BMW 5 Series,Kolkata,2026-01-13,Engine,50000
1081,BMW 3 Series,Ahmedabad,2026-04-26,AC,53000
1082,BMW i5,Pune,2026-02-25,Brake,46000
1083,BMW X5,Mumbai,2026-05-27,Charging,84000
1084,BMW X1,Mumbai,2026-07-04,Suspension,53000
1085,BMW i7,Bengaluru,2026-03-22,Charging,74000
1086,BMW i5,Delhi,2026-06-04,Battery,146000
1087,BMW i7,Pune,2026-07-25,Infotainment,37000
1088,BMW 7 Series,Delhi,2026-01-26,Infotainment,80000
1089,BMW 7 Series,Delhi,2026-05-20,Electrical,86000
1090,BMW X7,Pune,2026-05-09,Infotainment,40000
1091,BMW 7 Series,Mumbai,2026-01-06,Electrical,72000
1092,BMW 5 Series,Delhi,2026-05-02,Battery,169000
1093,BMW i7,Ahmedabad,2026-03-14,Brake,31000
1094,BMW X1,Hyderabad,2026-03-23,Transmission,77000
1095,BMW 7 Series,Kolkata,2026-07-26,AC,56000
1096,BMW i4,Delhi,2026-08-27,Transmission,94000
1097,BMW 5 Series,Hyderabad,2026-05-24,Suspension,59000
1098,BMW i5,Ahmedabad,2026-01-27,Charging,116000
1099,BMW iX,Mumbai,2026-08-02,Battery,148000
1100,BMW 7 Series,Kolkata,2026-02-24,Infotainment,51000
1101,BMW X3,Pune,2026-04-22,Suspension,62000
1102,BMW iX,Chennai,2026-03-09,Suspension,65000
1103,BMW X3,Bengaluru,2026-01-22,Battery,177000
1104,BMW 7 Series,Kolkata,2026-07-21,Battery,139000
1105,BMW 3 Series,Delhi,2026-02-13,AC,61000
1106,BMW X5,Chennai,2026-06-03,Suspension,41000
1107,BMW X3,Mumbai,2026-07-01,Transmission,66000
1108,BMW X7,Ahmedabad,2026-05-12,Steering,40000
1109,BMW 5 Series,Chennai,2026-04-12,Transmission,94000
1110,BMW i5,Chennai,2026-07-06,Transmission,83000
1111,BMW iX,Pune,2026-03-16,Suspension,43000
1112,BMW iX,Bengaluru,2026-04-16,Brake,52000
1113,BMW X5,Bengaluru,2026-06-23,Suspension,36000
1114,BMW i5,Chennai,2026-03-28,Engine,52000
1115,BMW i5,Mumbai,2026-05-21,Steering,76000
1116,BMW X7,Mumbai,2026-05-27,Steering,74000
1117,BMW 5 Series,Bengaluru,2026-08-27,Infotainment,53000
1118,BMW X5,Delhi,2026-06-03,Battery,88000
1119,BMW 5 Series,Chennai,2026-04-27,Battery,107000
1120,BMW 5 Series,Chennai,2026-04-25,Charging,106000
1121,BMW iX,Bengaluru,2026-06-22,Transmission,105000
1122,BMW iX,Ahmedabad,2026-04-13,Brake,48000
1123,BMW 3 Series,Chennai,2026-02-06,Engine,59000
1124,BMW 7 Series,Bengaluru,2026-06-06,Battery,176000
1125,BMW 5 Series,Bengaluru,2026-01-17,Engine,57000
1126,BMW 3 Series,Delhi,2026-02-01,Battery,138000
1127,BMW i7,Pune,2026-02-18,Cooling,72000
1128,BMW X5,Pune,2026-05-21,Brake,39000
1129,BMW i7,Bengaluru,2026-04-08,Electrical,42000
1130,BMW i7,Delhi,2026-02-16,Engine,50000
1131,BMW X3,Mumbai,2026-01-06,Charging,58000
1132,BMW X5,Delhi,2026-08-13,AC,45000
1133,BMW i5,Delhi,2026-05-28,Infotainment,79000
1134,BMW 5 Series,Chennai,2026-02-19,Infotainment,45000
1135,BMW i7,Bengaluru,2026-03-01,AC,39000
1136,BMW 7 Series,Bengaluru,2026-01-21,Infotainment,66000
1137,BMW i7,Mumbai,2026-05-25,Suspension,54000
1138,BMW 3 Series,Bengaluru,2026-08-11,Transmission,101000
1139,BMW X5,Delhi,2026-02-11,Brake,40000
1140,BMW i7,Hyderabad,2026-05-10,Brake,27000
1141,BMW X3,Ahmedabad,2026-07-10,Transmission,78000
1142,BMW X3,Kolkata,2026-07-21,Transmission,119000
1143,BMW iX,Bengaluru,2026-02-24,Infotainment,51000
1144,BMW X1,Bengaluru,2026-05-21,Electrical,49000
1145,BMW X1,Delhi,2026-07-17,Charging,105000
1146,BMW 3 Series,Kolkata,2026-04-01,Battery,165000
1147,BMW 3 Series,Hyderabad,2026-03-27,Brake,41000
1148,BMW iX,Chennai,2026-03-28,Steering,62000
1149,BMW X7,Kolkata,2026-04-09,Infotainment,63000
1150,BMW 7 Series,Mumbai,2026-06-21,Brake,30000
1151,BMW i4,Kolkata,2026-05-25,Battery,92000
1152,BMW X5,Chennai,2026-01-02,Suspension,52000
1153,BMW i5,Pune,2026-03-05,AC,57000
1154,BMW i7,Mumbai,2026-06-08,Steering,70000
1155,BMW X1,Delhi,2026-01-09,Infotainment,63000
1156,BMW iX,Ahmedabad,2026-07-08,Steering,41000
1157,BMW iX,Mumbai,2026-05-16,Battery,187000
1158,BMW 7 Series,Mumbai,2026-01-23,Steering,54000
1159,BMW 5 Series,Ahmedabad,2026-07-06,Brake,57000
1160,BMW i7,Chennai,2026-06-27,Steering,85000
1161,BMW X3,Bengaluru,2026-03-08,Engine,61000
1162,BMW X3,Bengaluru,2026-07-13,AC,58000
1163,BMW X1,Ahmedabad,2026-04-11,Transmission,126000
1164,BMW X3,Kolkata,2026-04-16,Electrical,68000
1165,BMW X7,Bengaluru,2026-02-22,Electrical,79000
1166,BMW X5,Hyderabad,2026-08-04,Charging,113000
1167,BMW X3,Bengaluru,2026-07-26,Brake,34000
1168,BMW i5,Pune,2026-04-27,Electrical,62000
1169,BMW i7,Kolkata,2026-08-18,Transmission,127000
1170,BMW i4,Bengaluru,2026-03-18,Battery,122000
1171,BMW i4,Chennai,2026-02-12,Engine,90000
1172,BMW 3 Series,Mumbai,2026-07-06,Steering,68000
1173,BMW iX,Pune,2026-03-20,AC,50000
1174,BMW i4,Hyderabad,2026-08-21,Brake,39000
1175,BMW 3 Series,Kolkata,2026-07-02,Battery,120000
1176,BMW 3 Series,Ahmedabad,2026-03-13,Cooling,58000
1177,BMW X1,Ahmedabad,2026-02-23,Engine,78000
1178,BMW iX,Chennai,2026-08-06,Charging,99000
1179,BMW i7,Kolkata,2026-05-07,Cooling,46000
1180,BMW 7 Series,Bengaluru,2026-02-16,Brake,43000
1181,BMW X1,Delhi,2026-02-23,Transmission,94000
1182,BMW i4,Mumbai,2026-02-13,Electrical,53000
1183,BMW X7,Hyderabad,2026-03-16,Brake,36000
1184,BMW iX,Mumbai,2026-02-11,Suspension,57000
1185,BMW X3,Chennai,2026-07-15,Electrical,62000
1186,BMW i5,Pune,2026-05-23,AC,65000
1187,BMW X5,Ahmedabad,2026-08-08,Suspension,36000
1188,BMW X1,Mumbai,2026-06-09,Cooling,56000
1189,BMW X1,Hyderabad,2026-01-06,Infotainment,58000
1190,BMW 3 Series,Mumbai,2026-02-18,Electrical,54000
1191,BMW X1,Ahmedabad,2026-02-21,Battery,87000
1192,BMW 3 Series,Hyderabad,2026-02-04,Suspension,46000
1193,BMW X5,Chennai,2026-06-23,AC,54000
1194,BMW 3 Series,Mumbai,2026-03-02,Cooling,66000
1195,BMW X7,Ahmedabad,2026-08-18,Engine,54000
1196,BMW i7,Chennai,2026-01-16,AC,60000
1197,BMW X3,Pune,2026-04-22,Cooling,69000
1198,BMW X7,Chennai,2026-03-17,Engine,46000
1199,BMW 5 Series,Hyderabad,2026-03-27,Cooling,42000
1200,BMW i5,Kolkata,2026-07-04,AC,64000
1201,BMW i4,Chennai,2026-07-26,Engine,80000
1202,BMW X1,Chennai,2026-02-14,Infotainment,79000
1203,BMW X7,Kolkata,2026-05-24,Steering,47000
1204,BMW X7,Delhi,2026-05-23,Suspension,64000
1205,BMW X3,Delhi,2026-01-02,Transmission,80000
1206,BMW i7,Delhi,2026-02-04,Infotainment,47000
1207,BMW 7 Series,Delhi,2026-04-10,AC,47000
1208,BMW i5,Kolkata,2026-04-07,AC,60000
1209,BMW X5,Pune,2026-01-17,AC,49000
1210,BMW iX,Chennai,2026-06-10,Transmission,75000
1211,BMW 5 Series,Hyderabad,2026-05-03,Electrical,55000
1212,BMW X1,Ahmedabad,2026-01-23,Cooling,40000
1213,BMW 7 Series,Pune,2026-05-07,Brake,28000
1214,BMW iX,Ahmedabad,2026-07-14,Infotainment,40000
1215,BMW i7,Ahmedabad,2026-01-08,Electrical,86000
1216,BMW i7,Hyderabad,2026-08-26,Brake,29000
1217,BMW 5 Series,Delhi,2026-06-17,Engine,85000
1218,BMW 7 Series,Delhi,2026-01-13,AC,33000
1219,BMW X7,Kolkata,2026-01-14,Infotainment,50000
1220,BMW i5,Ahmedabad,2026-08-24,Infotainment,74000
1221,BMW i4,Hyderabad,2026-01-16,Cooling,40000
1222,BMW X7,Hyderabad,2026-07-15,Steering,50000
1223,BMW X7,Chennai,2026-03-19,Electrical,71000
1224,BMW 3 Series,Ahmedabad,2026-02-25,Steering,78000
1225,BMW 7 Series,Kolkata,2026-02-18,Charging,112000
1226,BMW 7 Series,Delhi,2026-08-09,Suspension,44000
1227,BMW 5 Series,Mumbai,2026-07-02,Electrical,81000
1228,BMW X7,Ahmedabad,2026-03-25,Infotainment,70000
1229,BMW i7,Hyderabad,2026-05-25,AC,46000
1230,BMW X5,Bengaluru,2026-01-24,Infotainment,72000
1231,BMW X1,Pune,2026-04-25,Engine,75000
1232,BMW X7,Delhi,2026-04-03,Infotainment,67000
1233,BMW i7,Mumbai,2026-04-07,Electrical,89000
1234,BMW X1,Bengaluru,2026-08-13,AC,41000
1235,BMW i7,Bengaluru,2026-05-15,Battery,148000
1236,BMW i5,Mumbai,2026-04-09,Brake,46000
1237,BMW 7 Series,Hyderabad,2026-04-20,Infotainment,53000
1238,BMW i4,Delhi,2026-08-18,Electrical,94000
1239,BMW X7,Ahmedabad,2026-07-15,Battery,116000
1240,BMW i5,Chennai,2026-07-26,Cooling,58000
1241,BMW iX,Bengaluru,2026-06-09,Steering,47000
1242,BMW X7,Bengaluru,2026-06-27,Steering,47000
1243,BMW X5,Delhi,2026-08-02,Charging,104000
1244,BMW i7,Ahmedabad,2026-07-17,Suspension,54000
1245,BMW i5,Hyderabad,2026-06-16,Electrical,49000
1246,BMW 7 Series,Chennai,2026-03-20,Brake,26000
1247,BMW X1,Delhi,2026-05-11,AC,47000
1248,BMW X5,Chennai,2026-07-09,Brake,55000
1249,BMW iX,Ahmedabad,2026-01-04,Engine,98000
1250,BMW 5 Series,Chennai,2026-04-14,Charging,94000
1251,BMW i7,Ahmedabad,2026-04-19,Engine,65000
1252,BMW i7,Delhi,2026-02-26,Charging,61000
1253,BMW 3 Series,Bengaluru,2026-05-20,Engine,87000
1254,BMW i5,Bengaluru,2026-08-20,Engine,92000
1255,BMW 7 Series,Pune,2026-03-28,Charging,62000
1256,BMW 5 Series,Ahmedabad,2026-05-12,Electrical,60000
1257,BMW i4,Ahmedabad,2026-05-18,Transmission,121000
1258,BMW 3 Series,Hyderabad,2026-04-03,Suspension,35000
1259,BMW iX,Hyderabad,2026-08-14,Transmission,92000
1260,BMW i4,Chennai,2026-03-23,Suspension,40000
1261,BMW 7 Series,Chennai,2026-04-03,Steering,77000
1262,BMW i4,Pune,2026-02-04,Steering,59000
1263,BMW 3 Series,Ahmedabad,2026-03-26,Battery,87000
1264,BMW iX,Bengaluru,2026-02-21,Steering,53000
1265,BMW X3,Chennai,2026-08-19,AC,51000
1266,BMW X1,Ahmedabad,2026-05-23,Charging,94000
1267,BMW X5,Ahmedabad,2026-06-23,Transmission,75000
1268,BMW 5 Series,Bengaluru,2026-07-17,Engine,99000
1269,BMW i7,Bengaluru,2026-03-14,Engine,92000
1270,BMW X3,Delhi,2026-07-19,Infotainment,53000
1271,BMW iX,Mumbai,2026-05-09,Electrical,88000
1272,BMW X7,Bengaluru,2026-04-24,Engine,61000
1273,BMW 7 Series,Ahmedabad,2026-04-15,Brake,34000
1274,BMW 7 Series,Kolkata,2026-04-28,Engine,96000
1275,BMW X7,Ahmedabad,2026-02-01,Brake,47000
1276,BMW 3 Series,Kolkata,2026-01-17,AC,55000
1277,BMW iX,Mumbai,2026-04-26,Charging,119000
1278,BMW X7,Pune,2026-01-25,Battery,87000
1279,BMW X3,Pune,2026-02-05,AC,35000
1280,BMW X7,Chennai,2026-08-16,Charging,102000
1281,BMW X3,Mumbai,2026-07-22,AC,35000
1282,BMW i5,Mumbai,2026-06-08,Steering,67000
1283,BMW i5,Hyderabad,2026-06-18,Cooling,44000
1284,BMW X5,Kolkata,2026-07-22,Suspension,40000
1285,BMW X7,Kolkata,2026-03-19,Transmission,95000
1286,BMW 3 Series,Mumbai,2026-01-06,Electrical,52000
1287,BMW X7,Mumbai,2026-01-17,Engine,46000
1288,BMW 7 Series,Chennai,2026-01-10,Engine,87000
1289,BMW 5 Series,Chennai,2026-04-28,Suspension,33000
1290,BMW i4,Delhi,2026-02-07,Suspension,53000
1291,BMW X7,Kolkata,2026-06-13,Brake,50000
1292,BMW X7,Chennai,2026-02-15,Charging,79000
1293,BMW 5 Series,Ahmedabad,2026-07-15,Steering,68000
1294,BMW i4,Delhi,2026-04-16,Brake,56000
1295,BMW 3 Series,Mumbai,2026-02-24,Engine,81000
1296,BMW i5,Hyderabad,2026-06-10,AC,52000
1297,BMW iX,Pune,2026-04-19,Brake,26000
1298,BMW i5,Bengaluru,2026-01-21,Steering,87000
1299,BMW 5 Series,Mumbai,2026-01-28,Suspension,41000
1300,BMW i4,Kolkata,2026-01-19,AC,57000
1301,BMW i4,Chennai,2026-05-09,Electrical,59000
1302,BMW i7,Delhi,2026-06-08,Engine,100000
1303,BMW X5,Hyderabad,2026-04-13,Suspension,57000
1304,BMW iX,Kolkata,2026-01-28,Engine,79000
1305,BMW i5,Bengaluru,2026-06-17,Battery,179000
1306,BMW 7 Series,Kolkata,2026-07-02,Battery,125000
1307,BMW i7,Delhi,2026-05-22,Suspension,64000
1308,BMW 5 Series,Delhi,2026-07-04,Charging,99000
1309,BMW X3,Pune,2026-03-28,Cooling,54000
1310,BMW i5,Ahmedabad,2026-06-04,Electrical,94000
1311,BMW i7,Delhi,2026-01-09,Battery,87000
1312,BMW i5,Chennai,2026-03-21,Brake,55000
1313,BMW X1,Kolkata,2026-01-25,Charging,61000
1314,BMW X5,Mumbai,2026-06-11,Infotainment,68000
1315,BMW i5,Pune,2026-06-25,Steering,74000
1316,BMW X5,Kolkata,2026-07-12,Cooling,34000
1317,BMW 7 Series,Delhi,2026-05-23,Battery,173000
1318,BMW 7 Series,Chennai,2026-08-11,Charging,121000
1319,BMW X7,Bengaluru,2026-07-10,Transmission,117000
1320,BMW X1,Delhi,2026-08-07,Brake,51000
1321,BMW i7,Pune,2026-08-03,Infotainment,65000
1322,BMW i7,Chennai,2026-03-13,Battery,99000
1323,BMW 5 Series,Chennai,2026-04-27,Steering,74000
1324,BMW i4,Pune,2026-06-11,Suspension,44000
1325,BMW X1,Kolkata,2026-02-05,Charging,86000
1326,BMW i5,Hyderabad,2026-02-02,Brake,42000
1327,BMW X5,Kolkata,2026-02-18,Battery,182000
1328,BMW i5,Delhi,2026-01-20,AC,51000
1329,BMW 7 Series,Bengaluru,2026-02-28,Brake,30000
1330,BMW i5,Pune,2026-01-23,Brake,40000
1331,BMW 7 Series,Bengaluru,2026-02-06,Cooling,66000
1332,BMW 3 Series,Bengaluru,2026-07-18,Brake,28000
1333,BMW i4,Chennai,2026-07-04,Charging,89000
1334,BMW i7,Kolkata,2026-05-04,Electrical,49000
1335,BMW i7,Kolkata,2026-05-05,Battery,117000
1336,BMW i4,Bengaluru,2026-04-07,Brake,55000
1337,BMW i4,Kolkata,2026-07-27,Engine,74000
1338,BMW i7,Kolkata,2026-08-12,Cooling,58000
1339,BMW X3,Ahmedabad,2026-05-16,Suspension,30000
1340,BMW i7,Ahmedabad,2026-03-04,Charging,76000
1341,BMW X5,Bengaluru,2026-06-20,Battery,174000
1342,BMW iX,Mumbai,2026-04-03,Engine,48000
1343,BMW X5,Mumbai,2026-03-16,Engine,76000
1344,BMW X7,Chennai,2026-02-10,Brake,38000
1345,BMW X7,Bengaluru,2026-04-01,Infotainment,47000
1346,BMW iX,Pune,2026-07-22,Suspension,30000
1347,BMW i4,Pune,2026-03-23,Electrical,88000
1348,BMW X5,Delhi,2026-01-06,Infotainment,52000
1349,BMW i4,Chennai,2026-03-06,Brake,32000
1350,BMW i7,Mumbai,2026-06-16,Battery,127000
1351,BMW i4,Mumbai,2026-07-18,Transmission,68000
1352,BMW i4,Ahmedabad,2026-08-07,Charging,105000
