dealer_id,dealer_name,city,region,capacity,rating
DLR-0001,BMW Kolkata De Motors,Kolkata,East,116,4.2
DLR-0002,BMW Kolkata Mukherjee Motors,Kolkata,East,94,4.8
DLR-0003,BMW Hyderabad Lad Motors,Hyderabad,East,215,4.0
DLR-0004,BMW Delhi Khalsa Motors,Delhi,North,298,4.8
DLR-0005,BMW Bangalore Agrawal Motors,Bangalore,South,92,4.4
DLR-0006,BMW Mumbai Dhar Motors,Mumbai,West,129,3.8
DLR-0007,BMW Hyderabad Pradhan Motors,Hyderabad,South,273,3.8
DLR-0008,BMW Bangalore Narasimhan Motors,Bangalore,South,256,4.3
DLR-0009,BMW Hyderabad Venkatesh Motors,Hyderabad,East,251,4.0
DLR-0010,BMW Delhi Joshi Motors,Delhi,North,141,3.9
DLR-0011,BMW Mumbai Kala Motors,Mumbai,West,288,4.3
DLR-0012,BMW Bangalore Srivastava Motors,Bangalore,South,213,4.5
DLR-0013,BMW Mumbai Randhawa Motors,Mumbai,West,285,3.8
DLR-0014,BMW Mumbai Bail Motors,Mumbai,West,241,4.8
DLR-0015,BMW Mumbai Prakash Motors,Mumbai,West,190,4.2
DLR-0016,BMW Kolkata Barman Motors,Kolkata,East,85,4.2
DLR-0017,BMW Delhi Dora Motors,Delhi,North,220,3.7
DLR-0018,BMW Mumbai Dasgupta Motors,Mumbai,West,174,4.8
DLR-0019,BMW Kolkata Manne Motors,Kolkata,East,132,4.9
DLR-0020,BMW Delhi Bakshi Motors,Delhi,North,187,4.8
DLR-0021,BMW Mumbai Tandon Motors,Mumbai,West,110,4.5
DLR-0022,BMW Hyderabad Agarwal Motors,Hyderabad,South,112,3.7
DLR-0023,BMW Hyderabad Talwar Motors,Hyderabad,East,167,4.5
DLR-0024,BMW Chennai Wable Motors,Chennai,South,282,4.4
DLR-0025,BMW Delhi Gaba Motors,Delhi,North,166,4.9
DLR-0026,BMW Bangalore Padmanabhan Motors,Bangalore,South,159,4.1
DLR-0027,BMW Mumbai Kumar Motors,Mumbai,West,233,3.9
DLR-0028,BMW Hyderabad Kannan Motors,Hyderabad,East,299,4.2
DLR-0029,BMW Hyderabad Jaggi Motors,Hyderabad,South,252,4.3
DLR-0030,BMW Delhi Sagar Motors,Delhi,North,89,4.2
DLR-0031,BMW Chennai Sibal Motors,Chennai,South,196,4.9
DLR-0032,BMW Mumbai Iyer Motors,Mumbai,West,108,4.7
DLR-0033,BMW Hyderabad Basak Motors,Hyderabad,East,263,4.1
DLR-0034,BMW Pune Rajagopal Motors,Pune,West,233,3.9
DLR-0035,BMW Delhi Thakkar Motors,Delhi,North,111,3.8
DLR-0036,BMW Hyderabad Khurana Motors,Hyderabad,East,150,4.0
DLR-0037,BMW Mumbai Kale Motors,Mumbai,West,83,3.9
DLR-0038,BMW Chennai Murty Motors,Chennai,South,265,4.6
DLR-0039,BMW Hyderabad Wali Motors,Hyderabad,East,223,4.5
DLR-0040,BMW Hyderabad Mohan Motors,Hyderabad,South,205,4.2
DLR-0041,BMW Kolkata Chokshi Motors,Kolkata,East,266,4.2
DLR-0042,BMW Bangalore Tailor Motors,Bangalore,South,298,4.6
DLR-0043,BMW Bangalore Barad Motors,Bangalore,South,118,4.2
DLR-0044,BMW Pune Chaudry Motors,Pune,West,275,4.2
DLR-0045,BMW Chennai Bhat Motors,Chennai,South,233,4.8
DLR-0046,BMW Pune Mallick Motors,Pune,West,243,4.4
DLR-0047,BMW Kolkata Balan Motors,Kolkata,East,273,4.5
DLR-0048,BMW Pune Magar Motors,Pune,West,270,4.2
DLR-0049,BMW Pune Chaudhari Motors,Pune,West,80,4.0
DLR-0050,BMW Hyderabad Jani Motors,Hyderabad,East,242,4.7
DLR-0051,BMW Delhi Sastry Motors,Delhi,North,243,4.6
DLR-0052,BMW Hyderabad Sodhi Motors,Hyderabad,South,180,3.9
DLR-0053,BMW Delhi Deep Motors,Delhi,North,263,3.9
DLR-0054,BMW Bangalore Mallick Motors,Bangalore,South,120,4.8
DLR-0055,BMW Kolkata Ahluwalia Motors,Kolkata,East,299,4.4
DLR-0056,BMW Hyderabad Mitra Motors,Hyderabad,South,168,3.9
DLR-0057,BMW Pune Suresh Motors,Pune,West,105,4.9
DLR-0058,BMW Kolkata Choudhary Motors,Kolkata,East,193,3.9
DLR-0059,BMW Mumbai Buch Motors,Mumbai,West,296,4.5
DLR-0060,BMW Bangalore Dutta Motors,Bangalore,South,298,4.2
DLR-0061,BMW Delhi Raj Motors,Delhi,North,200,3.8
DLR-0062,BMW Pune Bath Motors,Pune,West,138,4.3
DLR-0063,BMW Mumbai Dash Motors,Mumbai,West,281,4.4
DLR-0064,BMW Kolkata Tella Motors,Kolkata,East,100,4.4
DLR-0065,BMW Bangalore Bir Motors,Bangalore,South,214,4.2
DLR-0066,BMW Delhi Gokhale Motors,Delhi,North,144,4.9
DLR-0067,BMW Bangalore Kala Motors,Bangalore,South,215,4.7
DLR-0068,BMW Mumbai Chaudhuri Motors,Mumbai,West,84,4.6
DLR-0069,BMW Delhi Prashad Motors,Delhi,North,281,4.2
DLR-0070,BMW Delhi Seth Motors,Delhi,North,91,4.2
DLR-0071,BMW Hyderabad Vasa Motors,Hyderabad,South,202,3.8
DLR-0072,BMW Hyderabad Barad Motors,Hyderabad,East,223,4.0
DLR-0073,BMW Chennai Ben Motors,Chennai,South,123,4.4
DLR-0074,BMW Kolkata Tailor Motors,Kolkata,East,144,4.8
DLR-0075,BMW Pune Ramanathan Motors,Pune,West,294,4.9
DLR-0076,BMW Kolkata Sawhney Motors,Kolkata,East,283,4.7
DLR-0077,BMW Chennai Dhaliwal Motors,Chennai,South,107,4.8
DLR-0078,BMW Delhi Ramakrishnan Motors,Delhi,North,224,4.9
DLR-0079,BMW Hyderabad Majumdar Motors,Hyderabad,East,227,4.1
DLR-0080,BMW Mumbai Deshmukh Motors,Mumbai,West,205,3.9
DLR-0081,BMW Mumbai Sidhu Motors,Mumbai,West,256,4.0
DLR-0082,BMW Mumbai Shukla Motors,Mumbai,West,256,4.6
DLR-0083,BMW Kolkata Dhillon Motors,Kolkata,East,279,4.0
DLR-0084,BMW Mumbai Raja Motors,Mumbai,West,289,4.1
DLR-0085,BMW Hyderabad Mani Motors,Hyderabad,East,185,4.2
DLR-0086,BMW Bangalore Dhawan Motors,Bangalore,South,209,3.9
DLR-0087,BMW Kolkata Pathak Motors,Kolkata,East,199,4.8
DLR-0088,BMW Delhi Nair Motors,Delhi,North,290,4.8
DLR-0089,BMW Delhi Bala Motors,Delhi,North,117,4.2
DLR-0090,BMW Hyderabad Atwal Motors,Hyderabad,East,97,4.7
DLR-0091,BMW Delhi Morar Motors,Delhi,North,194,4.0
DLR-0092,BMW Delhi Kothari Motors,Delhi,North,174,4.4
DLR-0093,BMW Hyderabad Mallick Motors,Hyderabad,South,270,4.5
DLR-0094,BMW Chennai Krishna Motors,Chennai,South,92,4.5
DLR-0095,BMW Chennai Mohanty Motors,Chennai,South,113,4.3
DLR-0096,BMW Delhi Bumb Motors,Delhi,North,156,4.7
DLR-0097,BMW Delhi Chaudry Motors,Delhi,North,199,4.9
DLR-0098,BMW Chennai Sandhu Motors,Chennai,South,190,4.3
DLR-0099,BMW Hyderabad Bhalla Motors,Hyderabad,South,289,4.0
DLR-0100,BMW Chennai Lanka Motors,Chennai,South,288,4.2
DLR-0101,BMW Kolkata Tripathi Motors,Kolkata,East,245,4.8
DLR-0102,BMW Mumbai Goel Motors,Mumbai,West,86,4.9
DLR-0103,BMW Mumbai Loke Motors,Mumbai,West,223,5.0
DLR-0104,BMW Kolkata Murty Motors,Kolkata,East,88,4.6
DLR-0105,BMW Hyderabad Yadav Motors,Hyderabad,East,170,4.7
DLR-0106,BMW Delhi Sarma Motors,Delhi,North,166,4.5
DLR-0107,BMW Pune Mann Motors,Pune,West,257,4.7
DLR-0108,BMW Hyderabad Dhar Motors,Hyderabad,East,169,4.9
DLR-0109,BMW Delhi Rama Motors,Delhi,North,298,3.8
DLR-0110,BMW Mumbai Sura Motors,Mumbai,West,135,3.8
DLR-0111,BMW Delhi Keer Motors,Delhi,North,183,4.8
DLR-0112,BMW Delhi Upadhyay Motors,Delhi,North,141,4.5
