service_id,vehicle_id,dealer_id,service_date,service_type,odometer,parts_cost,labour_cost,failure_code
SRV-00001,BMW-00103,DLR-0089,2026-03-13,Routine Service,49235.6,81321.92,13333.38,
SRV-00002,BMW-00057,DLR-0065,2025-09-07,Routine Service,884.8,7788.05,2437.81,
SRV-00003,BMW-00069,DLR-0007,2025-05-05,Routine Service,39222.1,45215.32,6662.07,
SRV-00004,BMW-00202,DLR-0095,2026-03-24,Annual Maintenance,4787.5,32003.8,25284.44,
SRV-00005,BMW-00097,DLR-0080,2026-04-17,Brake Inspection,61630.9,62684.34,5886.09,
SRV-00006,BMW-00137,DLR-0053,2025-08-03,Annual Maintenance,71394.6,48300.72,20757.97,
SRV-00007,BMW-00128,DLR-0098,2025-05-10,Battery Health Check,56082.7,33632.54,14135.95,
SRV-00008,BMW-00142,DLR-0083,2025-06-16,Routine Service,30772.2,30489.19,11579.55,
SRV-00009,BMW-00199,DLR-0103,2025-02-05,Brake Inspection,73936.3,22277.26,12233.04,
SRV-00010,BMW-00180,DLR-0113,2026-04-10,Annual Maintenance,68878.1,73454.56,15198.28,
SRV-00011,BMW-00188,DLR-0052,2025-01-05,Annual Maintenance,76482.0,30062.33,3199.84,
SRV-00012,BMW-00113,DLR-0099,2026-05-23,Annual Maintenance,78427.7,30516.47,7964.63,ELE-005
SRV-00013,BMW-00077,DLR-0090,2026-02-07,Annual Maintenance,19485.3,72936.24,19947.88,
SRV-00014,BMW-00013,DLR-0112,2025-01-21,Brake Inspection,48544.1,7716.07,6496.46,
SRV-00015,BMW-00196,DLR-0011,2025-06-29,Brake Inspection,47510.1,18911.6,9443.13,
SRV-00016,BMW-00205,DLR-0001,2025-10-01,Software Update,14545.2,22176.78,17029.27,
SRV-00017,BMW-00020,DLR-0116,2025-11-29,Routine Service,28245.0,21567.08,17975.95,
SRV-00018,BMW-00012,DLR-0040,2026-04-15,Routine Service,27823.1,27783.75,23644.94,ELE-005
SRV-00019,BMW-00213,DLR-0003,2025-04-14,Brake Inspection,38783.9,44271.03,12204.49,
SRV-00020,BMW-00129,DLR-0053,2025-02-07,Battery Health Check,13560.9,71138.58,20772.51,
SRV-00021,BMW-00081,DLR-0057,2025-03-29,Battery Health Check,27113.2,58997.47,9280.46,
SRV-00022,BMW-00180,DLR-0119,2025-06-22,Software Update,35824.7,7059.17,16461.78,
SRV-00023,BMW-00113,DLR-0038,2025-05-30,Annual Maintenance,7566.8,35713.48,17040.49,
SRV-00024,BMW-00070,DLR-0088,2025-12-09,Software Update,75514.9,70240.63,26664.43,
SRV-00025,BMW-00249,DLR-0013,2025-10-26,Annual Maintenance,83762.6,66619.26,27838.45,
SRV-00026,BMW-00045,DLR-0029,2025-08-18,Routine Service,74288.3,16029.02,27999.9,
SRV-00027,BMW-00152,DLR-0013,2025-09-15,Battery Health Check,49625.9,83009.04,8872.58,
SRV-00028,BMW-00162,DLR-0088,2025-05-12,Brake Inspection,30548.9,50872.88,3190.22,
SRV-00029,BMW-00118,DLR-0091,2025-01-21,Recall Inspection,41861.1,74921.23,3324.7,
SRV-00030,BMW-00115,DLR-0063,2025-04-27,Routine Service,81150.6,76150.2,16881.58,
SRV-00031,BMW-00125,DLR-0051,2026-08-09,Recall Inspection,74526.4,64445.17,20500.39,
SRV-00032,BMW-00120,DLR-0031,2025-01-21,Software Update,72706.8,52949.24,12200.58,
SRV-00033,BMW-00021,DLR-0062,2025-04-02,Battery Health Check,7820.8,33739.76,3973.91,
SRV-00034,BMW-00127,DLR-0093,2025-03-24,Annual Maintenance,37283.3,31873.16,15863.71,
SRV-00035,BMW-00128,DLR-0065,2025-01-03,Recall Inspection,1213.7,70833.03,3446.38,
SRV-00036,BMW-00030,DLR-0099,2026-07-17,Brake Inspection,15911.3,31234.77,8992.04,
SRV-00037,BMW-00128,DLR-0029,2025-01-28,Recall Inspection,43771.4,33354.32,24333.81,
SRV-00038,BMW-00242,DLR-0039,2026-05-23,Brake Inspection,55720.9,31356.65,8275.78,
SRV-00039,BMW-00213,DLR-0072,2025-06-08,Battery Health Check,80199.5,38142.58,10232.02,
SRV-00040,BMW-00196,DLR-0011,2025-10-14,Software Update,49559.6,79336.1,19047.97,SUS-006
SRV-00041,BMW-00084,DLR-0025,2026-01-21,Annual Maintenance,32605.4,24459.2,11566.34,SUS-006
SRV-00042,BMW-00106,DLR-0113,2025-02-08,Battery Health Check,19155.2,61367.42,5648.68,
SRV-00043,BMW-00021,DLR-0006,2025-09-02,Routine Service,11747.1,59738.96,25982.82,TRN-004
SRV-00044,BMW-00232,DLR-0044,2025-03-25,Recall Inspection,17768.1,75868.73,17070.76,
SRV-00045,BMW-00110,DLR-0062,2026-07-22,Routine Service,39487.6,60685.12,4797.67,TRN-004
SRV-00046,BMW-00070,DLR-0010,2026-08-20,Brake Inspection,70581.7,51688.31,24682.74,
SRV-00047,BMW-00003,DLR-0035,2025-06-07,Brake Inspection,41957.5,51100.38,26854.38,
SRV-00048,BMW-00039,DLR-0102,2025-08-18,Software Update,82775.2,6461.64,24806.31,
SRV-00049,BMW-00111,DLR-0067,2025-09-10,Software Update,2413.4,48555.5,16023.45,
SRV-00050,BMW-00064,DLR-0093,2025-10-09,Software Update,77616.5,47083.39,9728.33,
SRV-00051,BMW-00196,DLR-0116,2026-02-26,Battery Health Check,57525.1,61749.54,14785.11,
SRV-00052,BMW-00230,DLR-0091,2025-07-03,Routine Service,25362.1,52979.08,1540.45,TRN-004
SRV-00053,BMW-00098,DLR-0101,2025-11-13,Recall Inspection,15307.6,60109.1,16919.63,
SRV-00054,BMW-00005,DLR-0029,2025-11-11,Battery Health Check,62444.8,5337.12,22868.55,
SRV-00055,BMW-00224,DLR-0022,2025-04-22,Brake Inspection,3887.5,60133.82,12311.11,
SRV-00056,BMW-00228,DLR-0043,2026-03-19,Brake Inspection,13564.6,52234.72,19933.48,ELE-005
SRV-00057,BMW-00042,DLR-0029,2026-02-17,Routine Service,60508.4,36135.77,2220.2,BAT-002
SRV-00058,BMW-00063,DLR-0039,2025-12-02,Recall Inspection,18311.3,75858.31,2674.46,BAT-002
SRV-00059,BMW-00013,DLR-0092,2026-03-23,Annual Maintenance,31082.7,71276.44,27855.05,
SRV-00060,BMW-00231,DLR-0012,2025-03-09,Annual Maintenance,28104.1,15324.49,22372.07,
SRV-00061,BMW-00244,DLR-0061,2025-03-05,Recall Inspection,5643.3,71602.83,20372.92,
SRV-00062,BMW-00074,DLR-0033,2025-06-06,Routine Service,38639.0,52965.75,20200.46,
SRV-00063,BMW-00081,DLR-0057,2025-08-15,Routine Service,46165.3,63356.44,16640.06,BRK-001
SRV-00064,BMW-00143,DLR-0063,2026-02-12,Brake Inspection,83241.6,52182.28,24127.9,ELE-005
SRV-00065,BMW-00200,DLR-0040,2026-05-20,Battery Health Check,84845.2,71209.41,20068.46,
SRV-00066,BMW-00008,DLR-0090,2026-07-13,Annual Maintenance,8226.1,82366.86,24504.04,
SRV-00067,BMW-00086,DLR-0087,2026-03-02,Battery Health Check,79654.5,31078.63,22658.15,
SRV-00068,BMW-00238,DLR-0038,2025-09-18,Battery Health Check,20692.0,19606.54,1416.13,BRK-001
SRV-00069,BMW-00106,DLR-0119,2025-12-29,Brake Inspection,82483.6,68877.46,8319.78,
SRV-00070,BMW-00007,DLR-0094,2025-07-28,Recall Inspection,55945.3,14998.67,11271.22,ENG-003
SRV-00071,BMW-00113,DLR-0065,2026-02-08,Annual Maintenance,46175.9,6879.1,4097.32,
SRV-00072,BMW-00216,DLR-0032,2025-12-09,Battery Health Check,24653.3,65253.3,10113.0,
SRV-00073,BMW-00088,DLR-0010,2025-03-26,Brake Inspection,44837.0,30832.02,4425.73,
SRV-00074,BMW-00193,DLR-0091,2025-02-27,Software Update,42977.8,13217.36,17076.32,
SRV-00075,BMW-00219,DLR-0077,2026-01-10,Software Update,41512.0,27091.93,25663.77,
SRV-00076,BMW-00203,DLR-0017,2025-05-17,Routine Service,26346.7,68038.38,3612.55,
