sale_id,vehicle_id,dealer_id,customer_id,sale_date,model,region,price,quantity
SAL-00001,BMW-00146,DLR-0098,CUS-875786,2025-08-08,X3,South,7281238.74,1
SAL-00002,BMW-00152,DLR-0032,CUS-399754,2026-01-12,X3,West,7424997.29,1
SAL-00003,BMW-00097,DLR-0048,CUS-421922,2025-01-11,iX,West,13079540.15,2
SAL-00004,BMW-00058,DLR-0089,CUS-359132,2025-04-24,iX,North,12562274.82,1
SAL-00005,BMW-00149,DLR-0112,CUS-212779,2026-04-28,iX,North,11983796.18,1
SAL-00006,BMW-00013,DLR-0020,CUS-569887,2026-03-16,iX,North,13596407.87,1
SAL-00007,BMW-00185,DLR-0065,CUS-695593,2026-08-27,X7,South,15103951.41,1
SAL-00008,BMW-00017,DLR-0113,CUS-823884,2025-06-22,iX,North,13164775.52,2
SAL-00009,BMW-00112,DLR-0115,CUS-919014,2025-02-25,X7,West,14068036.28,1
SAL-00010,BMW-00171,DLR-0045,CUS-338777,2025-07-21,iX,South,12425036.98,1
SAL-00011,BMW-00075,DLR-0120,CUS-577252,2025-04-20,X5,North,11057383.45,1
SAL-00012,BMW-00172,DLR-0007,CUS-659285,2026-07-20,X3,South,6903584.89,2
SAL-00013,BMW-00199,DLR-0021,CUS-536711,2025-06-19,X1,West,5119953.55,1
SAL-00014,BMW-00035,DLR-0001,CUS-367710,2025-08-16,X1,East,5014423.83,1
SAL-00015,BMW-00244,DLR-0109,CUS-251916,2026-02-11,X1,North,4900983.11,2
SAL-00016,BMW-00080,DLR-0043,CUS-121966,2026-01-06,i4,South,7465592.0,1
SAL-00017,BMW-00082,DLR-0082,CUS-476184,2025-02-14,X1,West,5661386.34,1
SAL-00018,BMW-00222,DLR-0117,CUS-162368,2025-02-14,X3,South,7007304.91,1
SAL-00019,BMW-00228,DLR-0067,CUS-229701,2025-07-27,X7,South,13778996.97,1
SAL-00020,BMW-00073,DLR-0120,CUS-924903,2025-02-19,iX,North,13338345.48,1
SAL-00021,BMW-00202,DLR-0056,CUS-553998,2025-12-16,iX,South,13376283.8,2
SAL-00022,BMW-00107,DLR-0085,CUS-689000,2025-11-29,X1,East,5265548.2,2
SAL-00023,BMW-00157,DLR-0063,CUS-610853,2026-07-29,i7,West,20998513.19,1
SAL-00024,BMW-00165,DLR-0096,CUS-108141,2025-11-10,i4,North,7026234.14,1
SAL-00025,BMW-00228,DLR-0095,CUS-244606,2026-06-01,X7,South,14688020.53,1
SAL-00026,BMW-00029,DLR-0010,CUS-102226,2025-11-04,X3,North,6678906.39,1
SAL-00027,BMW-00063,DLR-0058,CUS-272654,2025-03-07,X1,East,5007511.12,1
SAL-00028,BMW-00125,DLR-0120,CUS-534166,2025-12-15,X1,North,5016321.65,2
SAL-00029,BMW-00186,DLR-0048,CUS-899471,2026-05-04,X1,West,5264429.15,1
SAL-00030,BMW-00025,DLR-0057,CUS-468631,2025-11-07,iX,West,13412315.51,1
SAL-00031,BMW-00206,DLR-0003,CUS-664847,2026-07-22,X3,East,6908835.65,1
SAL-00032,BMW-00168,DLR-0042,CUS-785329,2025-06-15,X7,South,14138604.71,2
SAL-00033,BMW-00250,DLR-0091,CUS-115330,2025-10-27,i7,North,22120143.37,2
SAL-00034,BMW-00236,DLR-0094,CUS-853451,2025-09-17,X3,South,7507353.53,1
SAL-00035,BMW-00169,DLR-0070,CUS-200819,2026-07-01,X7,North,15161398.43,1
