event_id,vehicle_id,timestamp,speed,battery_level,temperature,odometer,latitude,longitude,fault_code
EVT-000001,BMW-00217,2025-04-07 07:31:00,32.3,88.0,38.9,21559.4,22.016495,77.310507,
EVT-000002,BMW-00075,2025-03-26 06:59:00,82.0,67.0,52.0,64621.5,9.764226,77.132468,
EVT-000003,BMW-00234,2025-02-17 08:09:00,22.9,68.9,8.0,72382.0,24.32248,74.64585,
EVT-000004,BMW-00192,2025-02-12 19:16:00,47.1,81.7,26.0,43493.7,27.659637,79.991528,
EVT-000005,BMW-00070,2025-04-28 23:12:00,33.9,70.4,30.5,10491.2,21.295487,73.36434,
EVT-000006,BMW-00137,2025-09-10 07:00:00,76.1,73.1,35.4,33234.3,23.115468,75.770402,
EVT-000007,BMW-00013,2025-10-19 14:39:00,34.5,32.0,27.6,45892.5,23.69387,79.793955,
EVT-000008,BMW-00152,2025-04-09 01:49:00,34.7,43.6,30.7,25582.6,8.515075,74.083638,
EVT-000009,BMW-00235,2026-03-03 21:00:00,29.1,72.4,26.0,65937.1,17.930066,73.694978,
EVT-000010,BMW-00151,2026-05-24 13:06:00,33.5,89.5,35.1,56840.3,22.858128,77.242025,
EVT-000011,BMW-00196,2025-01-26 19:23:00,18.6,74.5,12.0,69853.1,20.095582,79.073002,
EVT-000012,BMW-00181,2025-09-26 11:56:00,70.7,84.7,20.2,77662.8,11.60649,79.913503,
EVT-000013,BMW-00192,2025-05-26 08:47:00,38.8,62.6,29.2,12900.9,18.568918,74.26632,
EVT-000014,BMW-00250,2026-06-09 02:30:00,96.0,70.0,27.0,84711.8,24.099658,74.743638,P0300
EVT-000015,BMW-00205,2025-04-18 23:00:00,58.8,54.0,22.1,69647.4,13.229948,79.951311,
EVT-000016,BMW-00172,2025-12-23 21:25:00,28.4,55.7,43.1,41510.5,12.734852,79.950012,
EVT-000017,BMW-00163,2025-07-23 02:10:00,16.1,60.0,26.5,68085.9,17.327584,77.659905,E1101
EVT-000018,BMW-00023,2025-11-27 05:44:00,21.4,84.1,30.5,35476.4,26.912315,80.239314,
EVT-000019,BMW-00241,2025-02-07 03:41:00,74.1,57.9,36.1,49263.5,9.501227,74.723692,
EVT-000020,BMW-00041,2026-08-17 07:16:00,40.5,60.5,38.1,81896.1,23.34575,80.207678,
EVT-000021,BMW-00219,2025-02-10 17:15:00,69.7,75.8,36.0,59418.4,18.313501,73.456558,
EVT-000022,BMW-00149,2025-01-14 19:12:00,78.7,85.9,30.0,58636.0,21.549228,75.09462,
EVT-000023,BMW-00184,2026-01-23 04:31:00,42.7,79.6,29.2,72798.7,17.598715,80.288679,
EVT-000024,BMW-00194,2025-04-15 11:49:00,46.6,73.1,23.3,34232.1,16.906945,75.174223,
EVT-000025,BMW-00223,2025-07-02 09:21:00,59.6,93.2,21.0,16400.6,21.542069,78.378016,
EVT-000026,BMW-00152,2025-04-30 01:16:00,42.5,62.4,24.6,68053.6,18.456312,76.393839,
EVT-000027,BMW-00188,2025-10-12 08:01:00,69.6,32.9,24.6,35787.2,10.338944,79.361594,
EVT-000028,BMW-00106,2025-01-19 10:53:00,60.9,41.6,31.9,54637.7,9.117084,76.160146,U0100
EVT-000029,BMW-00221,2025-02-23 07:44:00,17.3,71.4,23.0,40305.9,19.96219,75.335245,
EVT-000030,BMW-00032,2025-08-16 19:56:00,45.3,32.0,38.2,8309.5,25.660838,80.098951,
EVT-000031,BMW-00095,2025-11-21 11:40:00,65.5,61.2,30.7,62939.5,15.665393,79.171896,
EVT-000032,BMW-00209,2025-01-01 21:40:00,70.1,84.8,27.7,50981.8,14.15842,79.417567,
EVT-000033,BMW-00241,2025-08-26 02:37:00,51.9,36.6,45.6,27734.9,25.013259,75.92039,
EVT-000034,BMW-00218,2026-05-12 23:44:00,65.1,36.6,28.0,77877.2,16.990243,80.185418,
EVT-000035,BMW-00250,2026-03-14 05:05:00,57.5,63.8,13.2,68757.0,13.95129,79.055651,
