vehicle_id,vin,model,model_year,fuel_type,region,manufacturing_date
BMW-00001,WBA92293768262482,X5,2026,Petrol,South,2025-05-07
BMW-00002,WBA25966878479609,X5,2026,Petrol,South,2025-04-14
BMW-00003,WBA18898255844885,X3,2025,Diesel,North,2025-04-01
BMW-00004,WBA43775556473820,i4,2026,Electric,North,2025-10-01
BMW-00005,WBA11479496933174,i4,2025,Electric,South,2025-03-05
BMW-00006,WBA79249371657915,iX,2025,Electric,West,2025-06-17
BMW-00007,WBA85462632326948,X3,2025,Diesel,South,2025-06-24
BMW-00008,WBA95451800730100,iX,2025,Electric,East,2025-11-24
BMW-00009,WBA91825030395783,X1,2025,Petrol,West,2026-02-05
BMW-00010,WBA70844711826819,i7,2025,Electric,South,2025-04-18
BMW-00011,WBA50976162310211,i4,2025,Electric,South,2026-04-28
BMW-00012,WBA38025059971017,X1,2025,Petrol,South,2026-02-20
BMW-00013,WBA28889862475000,iX,2026,Electric,North,2026-06-22
BMW-00014,WBA12602496679873,X3,2025,Diesel,West,2026-06-19
BMW-00015,WBA32079476991629,X5,2026,Petrol,North,2025-08-08
BMW-00016,WBA59345700508983,i7,2024,Electric,East,2026-03-05
BMW-00017,WBA86741763785226,iX,2026,Electric,North,2025-04-19
BMW-00018,WBA71182072723630,iX,2026,Electric,East,2025-04-05
BMW-00019,WBA83041405435280,iX,2026,Electric,East,2025-10-20
BMW-00020,WBA13668698139719,i7,2026,Electric,West,2026-01-25
BMW-00021,WBA71883166050213,iX,2026,Electric,West,2025-02-18
BMW-00022,WBA16110009261154,i4,2026,Electric,East,2025-06-21
BMW-00023,WBA31851586682099,iX,2025,Electric,North,2026-03-30
BMW-00024,WBA46681145899637,X5,2024,Petrol,South,2026-06-20
BMW-00025,WBA64260888101105,iX,2025,Electric,West,2025-04-22
BMW-00026,WBA82355605785603,X3,2025,Diesel,North,2025-02-17
BMW-00027,WBA77291040560844,X7,2025,Petrol,West,2026-06-02
BMW-00028,WBA23555913245770,iX,2025,Electric,West,2025-04-04
BMW-00029,WBA52919806288091,X3,2025,Diesel,North,2025-09-05
BMW-00030,WBA24682256647139,X3,2026,Diesel,South,2025-11-20
BMW-00031,WBA44438638836345,X5,2026,Petrol,West,2025-04-22
BMW-00032,WBA74871235801363,X7,2025,Petrol,North,2025-09-22
BMW-00033,WBA93190610290573,i4,2025,Electric,West,2025-03-08
BMW-00034,WBA64401044408655,X5,2025,Petrol,West,2026-06-29
BMW-00035,WBA79273314655029,X1,2025,Petrol,East,2025-01-11
BMW-00036,WBA21035280049974,X1,2025,Petrol,West,2026-04-18
BMW-00037,WBA20712551657512,X3,2025,Diesel,West,2026-02-08
BMW-00038,WBA21571730526499,X5,2025,Petrol,South,2025-06-11
BMW-00039,WBA21706163802242,iX,2026,Electric,West,2026-01-23
BMW-00040,WBA88097579035702,X3,2024,Diesel,North,2025-08-28
BMW-00041,WBA78480466423285,X3,2025,Diesel,South,2025-06-16
BMW-00042,WBA10784843411519,X3,2025,Diesel,South,2025-12-17
BMW-00043,WBA96252305246604,iX,2024,Electric,North,2025-05-18
BMW-00044,WBA24152771511104,i4,2025,Electric,South,2026-01-27
BMW-00045,WBA77787819354648,X7,2024,Petrol,South,2025-12-31
BMW-00046,WBA53599818867148,iX,2025,Electric,North,2025-03-21
BMW-00047,WBA68598865851027,X7,2024,Petrol,North,2025-09-27
BMW-00048,WBA15821989034173,X3,2025,Diesel,West,2025-10-14
BMW-00049,WBA37363793510965,i4,2026,Electric,South,2026-05-24
BMW-00050,WBA69131444515062,X1,2026,Petrol,West,2026-06-27
BMW-00051,WBA85765784937493,X7,2026,Petrol,West,2025-03-29
BMW-00052,WBA80254406770367,X1,2025,Petrol,South,2026-06-04
BMW-00053,WBA57528265044961,X3,2024,Diesel,East,2025-07-08
