claim_id,vehicle_id,claim_date,component,claim_amount,claim_status
CLM-00001,BMW-00160,2026-05-20,Battery,403878.22,Approved
CLM-00002,BMW-00109,2026-01-12,Brake System,192746.59,Approved
CLM-00003,BMW-00059,2025-01-29,Suspension,271308.87,Rejected
CLM-00004,BMW-00146,2026-08-08,Cooling System,144426.17,Rejected
CLM-00005,BMW-00235,2026-01-05,Brake System,84065.61,Paid
CLM-00006,BMW-00248,2026-03-28,Engine,169010.82,Approved
CLM-00007,BMW-00188,2025-10-08,Battery,237147.12,Paid
CLM-00008,BMW-00250,2025-03-24,Brake System,398387.83,Open
CLM-00009,BMW-00130,2026-08-18,Battery,41382.63,Approved
CLM-00010,BMW-00139,2026-08-14,Suspension,137490.21,Approved
CLM-00011,BMW-00099,2025-11-19,Infotainment,60630.98,Approved
CLM-00012,BMW-00034,2025-09-12,Infotainment,259201.55,Paid
CLM-00013,BMW-00233,2025-01-01,Infotainment,240291.43,Approved
CLM-00014,BMW-00053,2025-04-28,Suspension,236117.2,Rejected
CLM-00015,BMW-00218,2025-08-16,Transmission,67353.28,Approved
CLM-00016,BMW-00134,2025-06-05,Engine,332321.21,Paid
CLM-00017,BMW-00009,2026-07-31,Brake System,399883.61,Approved
CLM-00018,BMW-00061,2026-07-25,Transmission,278850.69,Approved
CLM-00019,BMW-00224,2025-01-12,Battery,80447.72,Paid
CLM-00020,BMW-00188,2025-06-26,Infotainment,122579.75,Approved
CLM-00021,BMW-00161,2026-06-07,Brake System,234276.67,Paid
CLM-00022,BMW-00096,2026-04-08,Suspension,12126.13,Approved
CLM-00023,BMW-00200,2025-01-16,Engine,333728.87,Rejected
CLM-00024,BMW-00205,2025-05-13,Infotainment,131068.17,Approved
CLM-00025,BMW-00246,2025-05-07,Battery,246254.43,Rejected
CLM-00026,BMW-00101,2026-03-18,Transmission,446349.23,Open
CLM-00027,BMW-00070,2026-03-01,Engine,222539.98,Approved
CLM-00028,BMW-00044,2025-10-07,Suspension,392005.94,Paid
CLM-00029,BMW-00173,2026-03-17,Infotainment,362579.98,Approved
CLM-00030,BMW-00250,2025-05-06,Suspension,116880.68,Paid
CLM-00031,BMW-00233,2026-04-29,Brake System,294071.59,Paid
CLM-00032,BMW-00110,2026-01-06,Engine,175529.3,Approved
CLM-00033,BMW-00182,2026-04-13,Cooling System,445415.68,Open
CLM-00034,BMW-00052,2025-08-15,Brake System,170745.22,Paid
CLM-00035,BMW-00051,2025-10-25,Infotainment,363104.21,Paid
CLM-00036,BMW-00038,2025-02-11,Battery,138813.94,Paid
CLM-00037,BMW-00127,2025-02-22,Transmission,350668.05,Rejected
CLM-00038,BMW-00213,2026-05-07,Suspension,128304.83,Paid
CLM-00039,BMW-00219,2026-08-05,Battery,104262.33,Open
CLM-00040,BMW-00051,2025-10-21,Infotainment,310168.58,Approved
CLM-00041,BMW-00238,2025-04-16,Engine,69281.29,Rejected
CLM-00042,BMW-00024,2026-05-20,Suspension,125471.66,Approved
CLM-00043,BMW-00220,2026-01-22,Battery,146626.06,Approved
CLM-00044,BMW-00095,2026-06-27,Transmission,51167.95,Open
CLM-00045,BMW-00116,2026-01-31,Suspension,415250.65,Paid
CLM-00046,BMW-00172,2026-06-30,Battery,57531.79,Approved
CLM-00047,BMW-00036,2025-02-24,Infotainment,142589.44,Approved
CLM-00048,BMW-00196,2025-10-13,Infotainment,121584.42,Approved
CLM-00049,BMW-00192,2026-03-10,Brake System,202695.82,Paid
CLM-00050,BMW-00193,2025-12-08,Cooling System,5163.28,Rejected
CLM-00051,BMW-00178,2025-04-20,Suspension,21475.68,Paid
CLM-00052,BMW-00060,2025-03-20,Engine,292385.41,Approved
CLM-00053,BMW-00175,2026-06-30,Suspension,80492.7,Paid
CLM-00054,BMW-00077,2025-01-04,Brake System,62772.31,Paid
CLM-00055,BMW-00038,2025-04-18,Suspension,228134.91,Rejected
CLM-00056,BMW-00125,2026-03-08,Engine,292078.94,Paid
CLM-00057,BMW-00085,2026-08-06,Infotainment,92226.52,Approved
CLM-00058,BMW-00247,2025-02-16,Brake System,8128.3,Paid
CLM-00059,BMW-00008,2026-03-24,Suspension,176452.76,Rejected
CLM-00060,BMW-00033,2026-03-31,Battery,226532.38,Rejected
CLM-00061,BMW-00139,2025-09-18,Engine,170026.5,Approved
CLM-00062,BMW-00232,2025-04-22,Suspension,39972.01,Paid
CLM-00063,BMW-00101,2026-02-17,Brake System,334499.18,Open
CLM-00064,BMW-00167,2025-02-28,Battery,126408.19,Open
CLM-00065,BMW-00186,2025-11-07,Battery,354317.62,Open
CLM-00066,BMW-00006,2026-02-15,Cooling System,424144.48,Paid
CLM-00067,BMW-00165,2025-01-31,Battery,285168.45,Paid
CLM-00068,BMW-00144,2025-04-30,Transmission,386802.89,Paid
CLM-00069,BMW-00050,2025-08-27,Engine,146816.89,Approved
CLM-00070,BMW-00002,2026-07-07,Battery,114483.46,Open
CLM-00071,BMW-00178,2025-06-01,Battery,237132.83,Approved
CLM-00072,BMW-00110,2025-07-30,Brake System,359385.07,Rejected
CLM-00073,BMW-00164,2026-08-31,Suspension,302818.6,Open
CLM-00074,BMW-00138,2026-01-23,Engine,342782.88,Paid
CLM-00075,BMW-00230,2025-08-17,Transmission,356158.08,Paid
CLM-00076,BMW-00089,2025-09-24,Infotainment,53497.7,Paid
CLM-00077,BMW-00026,2026-03-16,Brake System,302623.61,Paid
CLM-00078,BMW-00150,2025-06-03,Transmission,30882.25,Approved
CLM-00079,BMW-00094,2025-05-06,Engine,415223.63,Approved
CLM-00080,BMW-00100,2025-01-13,Infotainment,11438.68,Approved
CLM-00081,BMW-00172,2025-12-30,Infotainment,104183.6,Open
CLM-00082,BMW-00105,2025-07-08,Battery,382683.56,Approved
CLM-00083,BMW-00067,2026-08-22,Brake System,49911.79,Paid
CLM-00084,BMW-00029,2025-06-05,Transmission,12225.51,Paid
CLM-00085,BMW-00186,2025-01-09,Brake System,329300.84,Approved
CLM-00086,BMW-00249,2025-06-28,Suspension,255173.56,Approved
CLM-00087,BMW-00015,2025-10-20,Infotainment,394876.34,Paid
CLM-00088,BMW-00174,2026-02-23,Suspension,250365.22,Rejected
CLM-00089,BMW-00235,2026-05-16,Brake System,401306.33,Paid
CLM-00090,BMW-00155,2026-08-16,Transmission,9945.34,Approved
CLM-00091,BMW-00209,2025-05-19,Cooling System,164769.69,Approved
CLM-00092,BMW-00164,2025-07-23,Infotainment,339921.49,Paid
CLM-00093,BMW-00222,2025-04-26,Engine,265000.38,Approved
CLM-00094,BMW-00049,2025-03-03,Brake System,430833.87,Paid
CLM-00095,BMW-00158,2025-10-19,Transmission,270898.53,Rejected
CLM-00096,BMW-00172,2025-05-25,Infotainment,143592.94,Paid
CLM-00097,BMW-00101,2026-04-13,Engine,183175.08,Approved
CLM-00098,BMW-00229,2026-06-15,Infotainment,369575.1,Approved
CLM-00099,BMW-00216,2025-09-25,Battery,361089.24,Approved
CLM-00100,BMW-00135,2026-06-21,Battery,347731.63,Approved
CLM-00101,BMW-00145,2026-01-28,Brake System,136880.51,Approved
CLM-00102,BMW-00012,2026-03-27,Suspension,416079.46,Paid
CLM-00103,BMW-00198,2025-04-19,Battery,390944.4,Approved
CLM-00104,BMW-00113,2025-06-14,Cooling System,307104.32,Paid
CLM-00105,BMW-00250,2025-02-10,Brake System,383798.06,Approved
CLM-00106,BMW-00109,2026-05-12,Suspension,230757.2,Approved
CLM-00107,BMW-00048,2025-08-04,Infotainment,70086.77,Rejected
CLM-00108,BMW-00079,2026-03-09,Infotainment,300707.83,Approved
CLM-00109,BMW-00042,2026-03-25,Transmission,6598.82,Approved
CLM-00110,BMW-00048,2026-04-07,Suspension,297442.97,Open
CLM-00111,BMW-00079,2025-07-19,Cooling System,88801.96,Paid
CLM-00112,BMW-00005,2026-03-09,Suspension,384396.35,Approved
CLM-00113,BMW-00222,2025-06-04,Engine,347000.03,Paid
CLM-00114,BMW-00173,2026-03-30,Infotainment,45697.75,Paid
CLM-00115,BMW-00038,2026-01-26,Suspension,367576.76,Approved
CLM-00116,BMW-00250,2025-01-06,Infotainment,198946.82,Paid
CLM-00117,BMW-00187,2025-02-13,Brake System,268505.16,Paid
CLM-00118,BMW-00196,2026-01-09,Battery,30998.12,Approved
CLM-00119,BMW-00149,2026-07-04,Transmission,111818.94,Paid
CLM-00120,BMW-00075,2025-08-07,Brake System,380652.44,Open
CLM-00121,BMW-00127,2025-11-20,Battery,323453.58,Paid
CLM-00122,BMW-00155,2026-01-03,Cooling System,153356.36,Approved
CLM-00123,BMW-00194,2025-07-02,Suspension,412677.61,Open
CLM-00124,BMW-00096,2025-06-26,Cooling System,234991.13,Open
CLM-00125,BMW-00026,2025-01-31,Cooling System,244092.69,Open
CLM-00126,BMW-00029,2026-03-08,Suspension,53841.36,Paid
CLM-00127,BMW-00087,2025-05-28,Suspension,305928.64,Paid
CLM-00128,BMW-00118,2026-02-04,Engine,30697.56,Paid
CLM-00129,BMW-00126,2026-06-03,Suspension,336862.19,Paid
CLM-00130,BMW-00237,2025-08-18,Infotainment,175899.69,Paid
CLM-00131,BMW-00025,2025-06-10,Suspension,185665.32,Paid
CLM-00132,BMW-00245,2026-06-06,Transmission,322232.92,Approved
CLM-00133,BMW-00018,2025-11-18,Infotainment,410866.2,Paid
CLM-00134,BMW-00050,2026-01-25,Battery,118408.86,Paid
CLM-00135,BMW-00039,2026-05-20,Infotainment,222443.76,Approved
CLM-00136,BMW-00096,2025-12-29,Transmission,386328.53,Approved
CLM-00137,BMW-00031,2025-07-13,Infotainment,98174.25,Paid
CLM-00138,BMW-00079,2025-01-29,Infotainment,90687.12,Rejected
CLM-00139,BMW-00125,2026-08-25,Infotainment,37327.05,Paid
CLM-00140,BMW-00091,2026-05-29,Brake System,275242.79,Approved
CLM-00141,BMW-00129,2026-03-26,Cooling System,66750.77,Approved
CLM-00142,BMW-00144,2026-07-27,Infotainment,39341.16,Paid
CLM-00143,BMW-00236,2025-05-06,Transmission,64607.84,Approved
CLM-00144,BMW-00001,2025-05-16,Cooling System,130923.88,Paid
CLM-00145,BMW-00084,2025-12-10,Engine,9107.22,Paid
CLM-00146,BMW-00205,2025-03-29,Cooling System,440022.03,Paid
CLM-00147,BMW-00105,2026-04-27,Engine,94194.2,Paid
CLM-00148,BMW-00156,2025-08-13,Battery,34507.45,Paid
CLM-00149,BMW-00055,2026-05-15,Brake System,70027.3,Open
CLM-00150,BMW-00210,2025-01-11,Cooling System,239999.62,Paid
CLM-00151,BMW-00244,2025-10-10,Cooling System,6473.83,Approved
CLM-00152,BMW-00140,2026-05-02,Battery,391816.31,Paid
CLM-00153,BMW-00116,2026-07-21,Brake System,101887.48,Approved
CLM-00154,BMW-00192,2026-01-15,Suspension,85905.74,Rejected
CLM-00155,BMW-00051,2026-03-27,Suspension,114670.67,Paid
CLM-00156,BMW-00163,2025-12-25,Suspension,98172.99,Paid
CLM-00157,BMW-00038,2025-10-11,Engine,118469.5,Approved
CLM-00158,BMW-00205,2025-05-17,Cooling System,373312.63,Rejected
CLM-00159,BMW-00149,2025-07-20,Infotainment,72886.44,Rejected
CLM-00160,BMW-00231,2025-08-25,Battery,37419.95,Paid
CLM-00161,BMW-00074,2026-04-19,Battery,321565.02,Approved
CLM-00162,BMW-00147,2025-03-12,Engine,118540.03,Open
CLM-00163,BMW-00234,2026-07-18,Suspension,124381.49,Paid
CLM-00164,BMW-00209,2025-09-30,Infotainment,220740.31,Paid
CLM-00165,BMW-00147,2025-11-07,Infotainment,412073.63,Paid
CLM-00166,BMW-00103,2025-06-23,Cooling System,290860.53,Approved
CLM-00167,BMW-00091,2025-04-24,Transmission,249990.29,Open
CLM-00168,BMW-00156,2025-02-28,Suspension,156120.23,Paid
CLM-00169,BMW-00235,2026-02-19,Engine,363886.42,Approved
CLM-00170,BMW-00116,2025-06-25,Transmission,447296.13,Approved
CLM-00171,BMW-00088,2025-03-18,Cooling System,187236.89,Rejected
CLM-00172,BMW-00153,2025-06-08,Battery,135403.91,Paid
CLM-00173,BMW-00002,2025-02-27,Battery,77773.14,Approved
CLM-00174,BMW-00080,2025-03-25,Battery,250332.45,Rejected
CLM-00175,BMW-00174,2025-04-14,Transmission,207712.46,Rejected
CLM-00176,BMW-00129,2026-01-16,Transmission,159299.72,Paid
CLM-00177,BMW-00044,2025-03-21,Battery,125523.68,Approved
