Plant,Country,Production_2025,Production_2024,Change_Percent
Spartanburg,USA,412799,396117,4.2
Regensburg,Germany,356901,342521,4.2
Tiexi,China,330691,284045,16.4
Dingolfing,Germany,279553,297761,-6.1
Leipzig,Germany,259430,246195,5.4
Dadong,China,205783,343973,-40.2
Munich,Germany,177481,200590,-11.5
Oxford,UK,124283,110939,12.0
San Luis Potosi,Mexico,95525,95236,0.3
Rosslyn,South Africa,79160,55516,42.6
Zhangjiagang - Spotlight,China,67831,67561,0.4
Chennai,India,16380,14568,12.4
Araquari,Brazil,11304,11472,-1.5
Rayong,Thailand,8304,8666,-4.2
Goodwood,UK,5385,5924,-9.1
Debrecen,Hungary,4221,92,
TOTAL,,2456561,2513830,-2.3
