event_id,vehicle_id,vin,timestamp,battery_level,speed,temperature,latitude,longitude
EVT0000884,BMW00223,WBA00000000000223,2026-01-04 01:35:00,54.8,71.63,9.38,47.605919,65.859893
EVT0012163,BMW00110,WBA00000000000110,2026-02-12 05:30:00,77.31,70.54,1.13,10.778385,-59.287234
EVT0085899,BMW00213,WBA00000000000213,2026-10-26 06:10:00,67.19,124.02,53.58,32.507361,92.097106
EVT0064625,BMW00855,WBA00000000000855,2026-08-13 09:20:00,10.38,129.28,11.24,19.573808,23.975855
EVT0068094,BMW00625,WBA00000000000625,2026-08-25 10:25:00,11.42,42.22,-1.47,39.906547,-53.872321
EVT0025386,BMW00327,WBA00000000000327,2026-03-30 03:25:00,16.72,141.7,13.6,54.147804,-23.450885
EVT0055529,BMW00867,WBA00000000000867,2026-07-12 19:20:00,71.65,85.14,1.05,49.183623,87.6213
EVT0067816,BMW00090,WBA00000000000090,2026-08-24 11:15:00,66.8,0.77,5.5,43.083716,85.274552
EVT0084268,BMW00577,WBA00000000000577,2026-10-20 14:15:00,48.86,50.0,51.19,17.569053,21.801311
EVT0025115,BMW00363,WBA00000000000363,2026-03-29 04:50:00,31.0,100.53,-5.19,10.446737,-67.707395
EVT0054450,BMW00399,WBA00000000000399,2026-07-09 01:25:00,34.06,10.31,13.38,18.271186,73.392956
EVT0018830,BMW00986,WBA00000000000986,2026-03-07 09:05:00,89.82,36.86,5.4,10.063609,6.063078
EVT0045075,BMW00646,WBA00000000000646,2026-06-06 12:10:00,45.3,27.99,2.62,10.989488,78.208515
EVT0036417,BMW00301,WBA00000000000301,2026-05-07 10:40:00,20.31,110.6,-5.15,47.593309,96.536101
EVT0001350,BMW00679,WBA00000000000679,2026-01-05 16:25:00,55.97,74.93,38.93,49.223304,141.086398
EVT0050496,BMW00253,WBA00000000000253,2026-06-25 07:55:00,99.43,3.09,2.0,49.754277,124.655883
EVT0082672,BMW00511,WBA00000000000511,2026-10-15 01:15:00,42.71,78.07,5.25,33.780872,-42.214606
EVT0033966,BMW00995,WBA00000000000995,2026-04-28 22:25:00,85.09,109.68,37.58,39.946468,-101.448025
EVT0066888,BMW00543,WBA00000000000543,2026-08-21 05:55:00,83.53,133.12,-8.5,9.796883,92.615788
EVT0070506,BMW00257,WBA00000000000257,2026-09-02 19:25:00,61.5,29.1,31.87,20.514936,3.08198
EVT0086401,BMW00349,WBA00000000000349,2026-10-28 00:00:00,51.52,98.97,0.34,50.843488,73.295038
EVT0062639,BMW00533,WBA00000000000533,2026-08-06 11:50:00,10.75,19.37,23.36,44.134378,-117.383974
EVT0074162,BMW00538,WBA00000000000538,2026-09-15 12:05:00,74.57,115.06,28.65,14.90011,124.4871
EVT0082745,BMW00383,WBA00000000000383,2026-10-15 07:20:00,73.85,27.77,2.75,26.383442,-69.879689
EVT0098266,BMW00607,WBA00000000000607,2026-12-08 04:45:00,91.77,57.28,3.02,38.074239,98.316868
EVT0045127,BMW00221,WBA00000000000221,2026-06-06 16:30:00,68.09,26.32,-2.81,44.927676,100.119095
EVT0052068,BMW00747,WBA00000000000747,2026-06-30 18:55:00,80.71,15.33,7.09,52.520866,82.562199
EVT0092099,BMW00131,WBA00000000000131,2026-11-16 18:50:00,81.03,21.0,35.51,54.775739,-60.490533
EVT0017114,BMW00216,WBA00000000000216,2026-03-01 10:05:00,12.45,100.84,-2.35,31.338653,67.948425
EVT0010239,BMW00949,WBA00000000000949,2026-02-05 13:10:00,81.3,53.75,11.89,28.944779,-119.142136
EVT0090794,BMW00231,WBA00000000000231,2026-11-12 06:05:00,32.95,71.07,22.33,16.074963,10.929727
EVT0007985,BMW00333,WBA00000000000333,2026-01-28 17:20:00,17.49,100.52,3.5,43.142104,-82.520952
EVT0083448,BMW00592,WBA00000000000592,2026-10-17 17:55:00,35.68,31.22,5.29,28.954705,-8.112504
EVT0080283,BMW00847,WBA00000000000847,2026-10-06 18:10:00,59.3,55.32,22.3,32.49916,-42.150053
EVT0026865,BMW00475,WBA00000000000475,2026-04-04 06:40:00,90.26,71.7,1.15,43.30485,73.602108
EVT0011791,BMW00004,WBA00000000000004,2026-02-10 22:30:00,68.94,110.27,31.13,33.402288,-28.220157
EVT0026749,BMW00886,WBA00000000000886,2026-04-03 21:00:00,73.19,130.3,7.31,36.860509,32.427055
EVT0090528,BMW00987,WBA00000000000987,2026-11-11 07:55:00,10.1,10.81,39.06,49.733834,-96.317286
EVT0081849,BMW00631,WBA00000000000631,2026-10-12 04:40:00,41.55,114.11,37.4,23.810986,138.385165
EVT0012142,BMW00628,WBA00000000000628,2026-02-12 03:45:00,13.71,22.8,25.95,8.528246,136.214162
EVT0008649,BMW00769,WBA00000000000769,2026-01-31 00:40:00,56.92,101.62,4.82,29.465664,-93.258342
EVT0088670,BMW00894,WBA00000000000894,2026-11-04 21:05:00,44.51,96.59,44.66,50.829456,-107.385913
EVT0023368,BMW00319,WBA00000000000319,2026-03-23 03:15:00,,137.94,40.25,38.369319,122.174081
EVT0039875,BMW00865,WBA00000000000865,2026-05-19 10:50:00,26.76,67.77,21.99,13.398967,54.260501
EVT0023379,BMW00918,WBA00000000000918,2026-03-23 04:10:00,16.52,144.75,34.67,12.186738,146.34522
EVT0067928,BMW00572,WBA00000000000572,2026-08-24 20:35:00,97.32,151.63,1.97,34.349343,140.747626
EVT0085891,BMW00727,WBA00000000000727,2026-10-26 05:30:00,86.81,66.5,12.33,36.942846,-50.27501
EVT0009976,BMW00020,WBA00000000000020,2026-02-04 15:15:00,18.72,1.34,20.45,48.666209,-85.160446
EVT0098653,BMW00593,WBA00000000000593,2026-12-09 13:00:00,22.63,18.11,10.85,9.365312,-113.265126
EVT0032003,BMW00151,WBA00000000000151,2026-04-22 02:50:00,89.16,90.67,40.65,27.071872,123.821124
EVT0053229,BMW00646,WBA00000000000646,2026-07-04 19:40:00,60.35,82.82,38.28,11.609361,14.295292
EVT0055248,BMW00831,WBA00000000000831,2026-07-11 19:55:00,15.68,73.86,1.03,8.249186,26.184241
EVT0010889,BMW00508,WBA00000000000508,2026-02-07 19:20:00,41.08,155.78,-1.82,42.455792,-59.79851
EVT0004912,BMW00237,WBA00000000000237,2026-01-18 01:15:00,26.36,106.83,36.56,16.194207,95.036834
EVT0025226,BMW00991,WBA00000000000991,2026-03-29 14:05:00,29.94,127.72,17.5,28.1797,-35.893598
EVT0019742,BMW00900,WBA00000000000900,2026-03-10 13:05:00,21.69,77.35,14.66,30.271181,143.154089
EVT0043510,BMW00530,WBA00000000000530,2026-06-01 01:45:00,31.17,148.06,9.98,51.077751,72.961628
EVT0064749,BMW00728,WBA00000000000728,2026-08-13 19:40:00,28.19,59.22,4.25,32.833045,5.771989
EVT0049702,BMW00624,WBA00000000000624,2026-06-22 13:45:00,93.04,126.57,10.03,8.043444,19.763966
EVT0097281,BMW00013,WBA00000000000013,2026-12-04 18:40:00,56.35,153.95,39.0,25.85766,-0.891672
EVT0006371,BMW00833,WBA00000000000833,2026-01-23 02:50:00,40.09,72.69,-9.21,34.712861,115.42614
EVT0094124,BMW00821,WBA00000000000821,2026-11-23 19:35:00,29.08,102.45,22.57,48.730575,34.707829
EVT0047353,BMW00196,WBA00000000000196,2026-06-14 10:00:00,28.22,127.06,20.86,31.638138,109.882335
EVT0071268,BMW00688,WBA00000000000688,2026-09-05 10:55:00,31.13,38.48,53.35,22.940885,-70.535955
EVT0074929,BMW00592,WBA00000000000592,2026-09-18 04:00:00,17.29,49.59,13.37,14.643797,41.930887
EVT0037140,BMW00636,WBA00000000000636,2026-05-09 22:55:00,22.78,56.82,0.13,19.601303,-103.981958
EVT0025881,BMW00851,WBA00000000000851,2026-03-31 20:40:00,28.1,41.34,0.65,54.282175,55.023937
