vehicle_id,vin,model,model_year,region,status
BMW00001,WBA00000000000001,3 Series,2025,Oceania,Active
BMW00002,WBA00000000000002,i4,2025,Europe,Inactive
BMW00003,WBA00000000000003,X7,2023,Asia,Active
BMW00004,WBA00000000000004,X3,2026,North America,Active
BMW00005,WBA00000000000005,X3,2020,Middle East,Active
BMW00006,WBA00000000000006,i5,2026,Europe,Active
BMW00007,WBA00000000000007,3 Series,2025,North America,Active
BMW00008,WBA00000000000008,X7,2023,Europe,Active
BMW00009,WBA00000000000009,7 Series,2025,Middle East,Active
BMW00010,WBA00000000000010,3 Series,2023,Middle East,Active
BMW00011,WBA00000000000011,X5,2021,North America,Active
BMW00012,WBA00000000000012,iX,2025,Asia,Active
BMW00013,WBA00000000000013,i4,2021,Europe,Active
BMW00014,WBA00000000000014,i4,2022,Oceania,Active
BMW00015,WBA00000000000015,i4,2023,Middle East,Active
BMW00016,WBA00000000000016,i4,2025,Asia,Active
BMW00017,WBA00000000000017,X5,2022,North America,Active
BMW00018,WBA00000000000018,5 Series,2023,Middle East,Inactive
BMW00019,WBA00000000000019,i5,2020,Middle East,Active
BMW00020,WBA00000000000020,X3,2020,North America,Active
BMW00021,WBA00000000000021,X5,2020,Asia,Active
BMW00022,WBA00000000000022,X1,2020,Middle East,Active
BMW00023,WBA00000000000023,5 Series,2026,Middle East,Active
BMW00024,WBA00000000000024,iX,2025,North America,Active
BMW00025,WBA00000000000025,i4,2025,Europe,Active
BMW00026,WBA00000000000026,X7,2020,North America,Active
BMW00027,WBA00000000000027,X3,2020,Middle East,Active
BMW00028,WBA00000000000028,i5,2021,Oceania,Active
BMW00029,WBA00000000000029,X5,2023,North America,Active
BMW00030,WBA00000000000030,X3,2022,Asia,Active
BMW00031,WBA00000000000031,X3,2023,North America,Active
BMW00032,WBA00000000000032,7 Series,2021,Europe,Active
BMW00033,WBA00000000000033,3 Series,2025,Europe,Active
BMW00034,WBA00000000000034,X5,2022,Middle East,Active
BMW00035,WBA00000000000035,i5,2020,Oceania,Active
BMW00036,WBA00000000000036,3 Series,2025,Oceania,Active
BMW00037,WBA00000000000037,i5,2026,North America,Active
BMW00038,WBA00000000000038,i5,2020,Europe,Active
BMW00039,WBA00000000000039,7 Series,2023,Oceania,Active
BMW00040,WBA00000000000040,X7,2025,North America,Active
