event_id,vehicle_id,vin,timestamp,battery_level,speed,temperature,latitude,longitude
EVT0081268,BMW00362,WBA00000000000362,2026-10-10 04:15:00,41.79,0.71,2.65,25.09362,22.853463
EVT0028061,BMW00805,WBA00000000000805,2026-04-08 10:20:00,88.57,133.4,21.69,41.290113,45.563001
EVT0077591,BMW00806,WBA00000000000806,2026-09-27 09:50:00,46.33,143.96,26.95,51.656052,86.048077
EVT0048821,BMW00805,WBA00000000000805,2026-06-19 12:20:00,69.47,147.59,36.39,37.607105,68.917007
EVT0096881,BMW00160,WBA00000000000160,2026-12-03 09:20:00,28.72,74.25,1.45,25.849527,13.316745
EVT0092126,BMW00744,WBA00000000000744,2026-11-16 21:05:00,45.05,96.67,28.0,14.300852,-73.468908
EVT0054407,BMW00944,WBA00000000000944,2026-07-08 21:50:00,41.83,51.78,20.15,44.051778,48.17592
EVT0010556,BMW00874,WBA00000000000874,2026-02-06 15:35:00,76.93,95.66,48.63,8.751439,45.625572
EVT0094160,BMW00146,WBA00000000000146,2026-11-23 22:35:00,43.33,16.85,35.49,43.362883,37.018799
EVT0009684,BMW00286,WBA00000000000286,2026-02-03 14:55:00,52.4,147.56,21.01,45.573379,80.92494
EVT0050554,BMW00948,WBA00000000000948,2026-06-25 12:45:00,25.01,11.27,27.57,35.774177,77.895716
EVT0053857,BMW00906,WBA00000000000906,2026-07-07 00:00:00,13.6,86.35,43.92,33.872877,129.41262
EVT0061564,BMW00339,WBA00000000000339,2026-08-02 18:15:00,65.27,81.36,4.53,54.693767,-44.862792
EVT0012846,BMW00007,WBA00000000000007,2026-02-14 14:25:00,72.82,53.37,10.56,22.315808,18.462665
EVT0007037,BMW00515,WBA00000000000515,2026-01-25 10:20:00,76.16,158.12,43.56,48.32965,149.934976
EVT0022220,BMW00299,WBA00000000000299,2026-03-19 03:35:00,30.25,91.33,1.31,13.870135,-39.991332
EVT0034116,BMW00892,WBA00000000000892,2026-04-29 10:55:00,56.49,37.4,-8.21,47.131035,42.511734
EVT0037047,BMW00315,WBA00000000000315,2026-05-09 15:10:00,93.28,2.27,45.41,38.093305,-83.320063
EVT0072094,BMW00566,WBA00000000000566,2026-09-08 07:45:00,41.51,17.04,4.77,10.954331,4.601147
EVT0038645,BMW00259,WBA00000000000259,2026-05-15 04:20:00,15.43,128.15,5.58,24.404121,129.388906
