event_id,vehicle_id,vin,timestamp,battery_level,speed,temperature,latitude,longitude,quarantine_dataset,quarantine_error_type,quarantine_error_message,quarantine_validation_rule,quarantine_timestamp
EVT0093403,BMW00006,WBA00000000000006,2026-11-21 07:30:00,143.93,51.68,18.77,9.471768,-109.068932,telemetry,OUT_OF_RANGE,Out-of-range value in: battery_level,OUT_OF_RANGE,2026-09-16T17:39:46.226977+00:00
EVT0041063,BMWX00064,WBA00000000000107,2026-05-23 13:50:00,88.81,67.84,44.78,9.969029,29.480467,telemetry,REFERENTIAL_INTEGRITY,Referential integrity violation,REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0092474,BMW00320,WBA00000000000320,2026-11-18 02:05:00,36.77,19.56,,21.048304,57.474096,telemetry,NULL_VALUE|OUT_OF_RANGE,Null values in: temperature | Out-of-range value in: temperature,NULL_VALUE|OUT_OF_RANGE,2026-09-16T17:39:46.226977+00:00
EVT0016400,BMW00848,,2026-02-26 22:35:00,62.68,148.12,45.89,42.98951,-96.423894,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0042948,,WBA00000000000561,2026-05-30 02:55:00,76.29,6.23,29.15,54.105006,37.568691,telemetry,NULL_VALUE|REFERENTIAL_INTEGRITY,Null values in: vehicle_id | Referential integrity violation,NULL_VALUE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0018513,BMW00371,WBA00000000000371,2026-03-06 06:40:00,92.96,155.84,200.0,44.11888,21.711724,telemetry,OUT_OF_RANGE,Out-of-range value in: temperature,OUT_OF_RANGE,2026-09-16T17:39:46.226977+00:00
EVT0001680,BMW00521,WBA00000000000521,2026-01-06 19:55:00,-10.0,86.9,17.08,35.119967,-96.952431,telemetry,OUT_OF_RANGE,Out-of-range value in: battery_level,OUT_OF_RANGE,2026-09-16T17:39:46.226977+00:00
EVT0090758,BMW00795,,2026-11-12 03:05:00,43.68,104.12,27.44,30.528167,-108.378096,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0094059,BMW00260,WBA00000000000260,2026-11-23 14:10:00,155.6,22.66,2.74,19.422713,99.614903,telemetry,OUT_OF_RANGE,Out-of-range value in: battery_level,OUT_OF_RANGE,2026-09-16T17:39:46.226977+00:00
EVT0003016,BMW00153,,2026-01-11 11:15:00,84.69,144.48,54.33,46.613771,-43.84972,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
