"BMW001#TEMP:85,SPEED:120,FUEL:40"
"BMW002#TEMP:90,SPEED:100"
"BMW003#TEMP:70,SPEED:80,FUEL:60"
"BMW004#TEMP:106,SPEED:122,FUEL:94"
"BMW005#TEMP:82,SPEED:73,FUEL:30"
"BMW006#TEMP:69,SPEED:16,FUEL:37"
"BMW007#TEMP:99,SPEED:85,FUEL:37"
"BMW008#TEMP:88,SPEED:103,FUEL:28"
"BMW009#TEMP:80,SPEED:61,FUEL:67"
"BMW010#TEMP:69,SPEED:163"
"BMW011#TEMP:101,SPEED:167,FUEL:15"
"BMW012#TEMP:104,SPEED:108,FUEL:58"
"BMW013#TEMP:68,SPEED:168,FUEL:61"
"BMW014#TEMP:87,SPEED:3,FUEL:87"
"BMW015#TEMP:95,SPEED:64,FUEL:22"
"BMW016#TEMP:104,SPEED:86,FUEL:83"
"BMW017#TEMP:106,SPEED:58,FUEL:95"
"BMW018#TEMP:98,SPEED:36"
"BMW019#TEMP:71,SPEED:100,FUEL:43"
"BMW020#TEMP:67,SPEED:174,FUEL:72"
"BMW021#TEMP:70,SPEED:43,FUEL:63"
"BMW022#TEMP:110,SPEED:38,FUEL:38"
"BMW023#TEMP:99,SPEED:13,FUEL:27"
"BMW024#TEMP:106,SPEED:3,FUEL:62"
"BMW025#TEMP:74,SPEED:88,FUEL:78"
"BMW026#TEMP:101,SPEED:106"
"BMW027#TEMP:69,SPEED:78,FUEL:61"
"BMW028#TEMP:94,SPEED:90,FUEL:6"
"BMW029#TEMP:88,SPEED:40,FUEL:38"
"BMW030#TEMP:76,SPEED:123,FUEL:50"
"BMW031#TEMP:98,SPEED:15,FUEL:71"
"BMW032#TEMP:80,SPEED:43,FUEL:31"
"BMW033#TEMP:96,SPEED:142,FUEL:16"
"BMW034#TEMP:86,SPEED:86"
"BMW035#TEMP:68,SPEED:100,FUEL:48"
"BMW036#TEMP:105,SPEED:29,FUEL:43"
"BMW037#TEMP:81,SPEED:142,FUEL:94"
"BMW038#TEMP:109,SPEED:21,FUEL:43"
"BMW039#TEMP:94,SPEED:118,FUEL:41"
"BMW040#TEMP:97,SPEED:30,FUEL:79"
"BMW041#TEMP:66,SPEED:72,FUEL:32"
"BMW042#TEMP:95,SPEED:141"
"BMW043#TEMP:99,SPEED:175,FUEL:20"
"BMW044#TEMP:65,SPEED:151,FUEL:12"
"BMW045#TEMP:88,SPEED:48,FUEL:42"
"BMW046#TEMP:109,SPEED:157,FUEL:17"
"BMW047#TEMP:67,SPEED:143,FUEL:59"
"BMW048#TEMP:91,SPEED:117,FUEL:99"
"BMW049#TEMP:65,SPEED:46,FUEL:50"
"BMW050#TEMP:65,SPEED:158"
"BMW051#TEMP:77,SPEED:58,FUEL:53"
"BMW052#TEMP:77,SPEED:84,FUEL:54"
"BMW053#TEMP:69,SPEED:88,FUEL:10"
"BMW054#TEMP:76,SPEED:16,FUEL:15"
"BMW055#TEMP:83,SPEED:59,FUEL:22"
"BMW056#TEMP:94,SPEED:154,FUEL:66"
"BMW057#TEMP:71,SPEED:59,FUEL:81"
"BMW058#TEMP:88,SPEED:71"
"BMW059#TEMP:66,SPEED:168,FUEL:67"
"BMW060#TEMP:75,SPEED:79,FUEL:73"
"BMW061#TEMP:94,SPEED:54,FUEL:60"
"BMW062#TEMP:84,SPEED:171,FUEL:31"
"BMW063#TEMP:97,SPEED:38,FUEL:96"
"BMW064#TEMP:110,SPEED:85,FUEL:77"
"BMW065#TEMP:109,SPEED:14,FUEL:34"
"BMW066#TEMP:72,SPEED:120"
"BMW067#TEMP:103,SPEED:157,FUEL:82"
"BMW068#TEMP:109,SPEED:20,FUEL:36"
"BMW069#TEMP:92,SPEED:81,FUEL:44"
"BMW070#TEMP:67,SPEED:32,FUEL:18"
"BMW071#TEMP:90,SPEED:22,FUEL:52"
"BMW072#TEMP:78,SPEED:42,FUEL:74"
"BMW073#TEMP:110,SPEED:5,FUEL:28"
"BMW074#TEMP:93,SPEED:12"
"BMW075#TEMP:102,SPEED:152,FUEL:71"
"BMW076#TEMP:93,SPEED:154,FUEL:11"
"BMW077#TEMP:79,SPEED:71,FUEL:74"
"BMW078#TEMP:77,SPEED:24,FUEL:76"
"BMW079#TEMP:103,SPEED:139,FUEL:61"
"BMW080#TEMP:88,SPEED:84,FUEL:86"
"BMW081#TEMP:97,SPEED:53,FUEL:55"
"BMW082#TEMP:109,SPEED:48"
"BMW083#TEMP:75,SPEED:2,FUEL:49"
"BMW084#TEMP:80,SPEED:133,FUEL:30"
"BMW085#TEMP:85,SPEED:97,FUEL:65"
"BMW086#TEMP:86,SPEED:16,FUEL:36"
"BMW087#TEMP:103,SPEED:18,FUEL:79"
"BMW088#TEMP:68,SPEED:178,FUEL:85"
"BMW089#TEMP:73,SPEED:12,FUEL:82"
"BMW090#TEMP:96,SPEED:139"
"BMW091#TEMP:70,SPEED:114,FUEL:18"
"BMW092#TEMP:107,SPEED:34,FUEL:44"
"BMW093#TEMP:107,SPEED:146,FUEL:67"
"BMW094#TEMP:109,SPEED:84,FUEL:96"
"BMW095#TEMP:98,SPEED:138,FUEL:53"
"BMW096#TEMP:86,SPEED:159,FUEL:13"
"BMW097#TEMP:96,SPEED:88,FUEL:51"
"BMW098#TEMP:95,SPEED:77"
"BMW099#TEMP:96,SPEED:48,FUEL:83"
"BMW100#TEMP:106,SPEED:56,FUEL:72"
