vehicle_id,model,fuel_type,speed_kmph,rpm,engine_temp_c,coolant_temp_c,battery_soc_pct,battery_voltage_v,fuel_level_pct,tire_fl_psi,tire_fr_psi,tire_rl_psi,tire_rr_psi,outside_temp_c,odometer_km
BMW0001,BMW_330e,Hybrid,6,1412,88,75,95,338.0,21,32.0,31.1,30.8,35.9,35,72597
BMW0002,BMW_X3,Diesel,129,5527,102,75,72,14.3,25,34.5,35.7,35.6,33.4,32,7456
BMW0003,BMW_i4,Electric,71,5635,0,26,92,368.5,0,31.7,36.1,30.8,33.0,29,41258
BMW0004,BMW_iX,Electric,137,5925,0,27,88,363.5,0,37.8,33.0,34.4,36.6,37,33222
BMW0005,BMW_320i,Petrol,169,2977,98,98,84,13.9,25,36.2,37.9,36.8,36.9,30,60242
BMW0006,BMW_i4,Electric,53,11946,0,37,46,361.4,0,35.6,35.5,30.6,35.1,35,70486
BMW0007,BMW_X5,Diesel,163,3284,95,88,80,12.9,77,31.8,32.6,36.1,30.4,19,146501
BMW0008,BMW_X3,Diesel,167,5298,100,102,89,12.9,79,33.2,37.3,33.7,32.1,25,131370
BMW0009,BMW_i4,Electric,56,2621,0,37,69,391.7,0,34.1,30.7,30.4,30.9,38,36762
BMW0010,BMW_i5,Electric,152,1876,0,49,83,402.6,0,34.2,37.8,36.9,30.1,41,123196
BMW0011,BMW_i4,Electric,28,8201,0,28,37,385.5,0,33.5,33.6,37.6,37.0,26,77439
BMW0012,BMW_X5,Diesel,163,5044,82,106,55,13.8,7,34.9,31.2,36.1,34.3,42,133580
BMW0013,BMW_i4,Electric,78,1133,0,29,83,403.6,0,30.5,37.0,37.6,30.7,33,63270
BMW0014,BMW_iX,Electric,140,11959,0,37,40,399.9,0,32.1,37.0,33.4,31.7,35,43787
BMW0015,BMW_i4,Electric,112,3770,0,27,90,365.4,0,33.6,32.0,30.5,30.2,35,136179
BMW0016,BMW_320i,Petrol,58,4676,105,105,68,13.6,36,37.2,36.9,30.6,31.9,39,18168
BMW0017,BMW_i5,Electric,48,887,0,28,98,418.9,0,30.8,33.4,33.4,33.7,41,25226
BMW0018,BMW_320i,Petrol,103,4156,103,90,66,12.9,14,36.4,30.9,31.5,34.3,22,89446
BMW0019,BMW_330e,Hybrid,12,4029,78,102,82,343.3,61,36.7,37.8,37.4,36.8,23,142211
BMW0020,BMW_X1,Petrol,97,6406,87,106,90,13.9,24,37.9,32.1,36.3,33.6,31,1065
BMW0021,BMW_X5,Diesel,55,4605,78,108,87,14.6,25,34.6,34.3,36.0,30.5,36,15831
BMW0022,BMW_330e,Hybrid,47,2716,101,94,94,353.5,20,34.8,35.4,31.9,31.0,36,18462
BMW0023,BMW_i4,Electric,66,4915,0,49,73,372.1,0,35.4,32.5,32.1,31.0,38,54045
BMW0024,BMW_330e,Hybrid,2,2872,90,103,36,384.0,18,35.0,34.5,30.8,34.3,34,120636
BMW0025,BMW_i4,Electric,72,8666,0,42,16,396.8,0,33.5,34.3,32.4,37.9,38,41852
BMW0026,BMW_X5,Diesel,169,1973,96,88,72,12.9,96,37.5,31.1,30.9,30.9,35,27654
BMW0027,BMW_X3,Diesel,175,4169,115,96,72,12.3,21,34.0,32.0,37.3,30.4,38,69701
BMW0028,BMW_X5,Diesel,41,1921,110,98,89,12.3,79,34.4,33.4,30.1,30.6,40,116324
BMW0029,BMW_X1,Petrol,110,3631,110,81,68,14.0,50,30.3,32.9,37.5,37.8,19,33909
BMW0030,BMW_i5,Electric,158,6755,0,54,18,362.6,0,37.4,31.9,31.3,36.4,23,41015
BMW0031,BMW_i4,Electric,105,3644,0,39,40,407.2,0,32.1,36.3,30.9,37.0,33,65555
BMW0032,BMW_i4,Electric,78,4573,0,37,59,394.9,0,31.8,35.3,33.2,32.2,20,60162
BMW0033,BMW_i4,Electric,7,1776,0,48,91,380.4,0,37.0,32.1,34.6,37.9,19,30736
BMW0034,BMW_i4,Electric,111,27,0,42,81,414.8,0,30.9,37.2,31.5,30.4,31,134566
BMW0035,BMW_X3,Diesel,93,3160,100,101,87,13.0,46,30.6,35.3,32.6,32.5,21,113562
BMW0036,BMW_X5,Diesel,141,5742,94,110,91,13.0,5,31.5,35.3,33.0,36.0,23,33867
BMW0037,BMW_X5,Diesel,53,2450,80,85,87,13.4,89,36.3,34.9,32.6,33.5,39,113192
BMW0038,BMW_X5,Diesel,131,1907,79,105,56,12.3,83,30.7,37.6,31.9,32.5,24,88367
BMW0039,BMW_iX,Electric,106,90,0,32,28,404.5,0,35.7,33.1,33.2,31.2,40,51470
BMW0040,BMW_X1,Petrol,178,4506,95,110,97,13.6,81,33.7,34.5,37.3,31.0,22,136279
BMW0041,BMW_iX,Electric,156,7373,0,51,48,402.6,0,33.4,37.3,33.6,31.3,33,132824
BMW0042,BMW_X5,Diesel,133,3451,84,80,75,14.5,22,35.0,32.2,30.6,32.3,26,127534
BMW0043,BMW_X3,Diesel,98,1210,76,99,68,14.4,79,35.7,30.5,33.3,34.3,31,40556
BMW0044,BMW_i5,Electric,122,8818,0,53,84,406.0,0,37.5,32.4,33.1,37.1,31,2045
BMW0045,BMW_X3,Diesel,124,2052,100,109,84,14.6,8,32.2,33.9,33.1,35.4,30,58020
